model,the,window,cleaners,were,pulled,inside,at,around,14:15,est.,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.3520452047127217,0.002692726090400277,-1,0.2227316795292671,0.339461301125635,-1,0.3683699420311318,-1,-1,-1
firefighters,-1,0.09151808970497932,0.30953278390059924,-1,0.36675460393117043,0.303461698580057,-1,0.34276147070664054,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.16440249049083877,0.17788586159572461,-1,0.5572938103629922,0.4886798373759631,-1,0.3143433397451816,-1,-1,-1
two,-1,0.26714409338536926,0.1697355063408924,-1,0.5519614228221706,0.5791794237488717,-1,0.48557355603981733,-1,-1,-1
window,-1,1.0,0.32644146113523076,-1,0.3808051603072693,0.39782951304382375,-1,0.3063067851545387,-1,-1,-1
cleaners,-1,0.32644146113523076,1.0,-1,0.1633337390126266,0.23396859474309828,-1,0.1493459248028276,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.28109868720511155,0.23990623306722947,-1,0.5894516947990477,0.6728336821522182,-1,0.5472094585914786,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,-1,0.40895884628891066,0.3422852269147063,-1,0.4325438732720488,0.4570765034691504,-1,0.33096881432721315,-1,-1,-1
cradle,-1,0.12614215319364974,0.2425842470603493,-1,-0.011151713431679644,0.044975878441208206,-1,-0.09031378982011296,-1,-1,-1
69,-1,0.04982703265783106,0.10877109506123417,-1,0.3275594931434649,0.2803005215395763,-1,0.3054630817852473,-1,-1,-1
storeys,-1,0.07765089124437274,0.21974094502783137,-1,-0.03291570883325701,0.17575769800709984,-1,0.15215956047483536,-1,-1,-1
above,-1,0.3521973712323685,0.14768853593688402,-1,0.5015136773287987,0.5856441481820763,-1,0.6307273508286804,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,-1,0.4393589783632712,0.2649655241565374,-1,0.5832029930078724,0.6593506923015956,-1,0.6178701253588118,-1,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.2052306863583332,-0.0870664985650147,-1,0.34643256746072004,0.3398655837134408,-1,0.49514419414872823,-1,-1,-1
trade,-1,0.2635318225763724,0.03819527105659459,-1,0.13870287061862707,0.24019064655270728,-1,0.3469996777452522,-1,-1,-1
center,-1,0.15218640849104947,0.04805530384881085,-1,0.025532746275252927,0.06894701044193863,-1,0.1620095226592534,-1,-1,-1
site,-1,0.3540031077324888,0.1364164510808461,-1,0.31838319081744704,0.5577013772953394,-1,0.5850850749041715,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
