model,the,rescued,men,were,identified,as,juan,lopez,who,has,been,a,window,cleaner,for,five,years,and,juan,lizama,who,has,been,on,the,job,for,14,years,gerard,mceneaney,a,labour,union,official,told,reuters,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.12999085048816217,0.29588130307699045,-1,0.2808882437201292,-1,0.026409952372794865,0.07552713058504135,-1,-1,-1,-1,0.3520452047127217,0.1690432264182019,-1,0.3640879641968129,0.3844559250795919,-1,0.026409952372794865,-0.4917881332470091,-1,-1,-1,-1,-1,0.28385848445529804,-1,0.36761978545669516,0.3844559250795919,-0.02990705523550563,-0.44382018405961965,-1,0.24965592351186427,0.3057463464268523,0.4741606578658517,-1,0.48327513377211195,-1
firefighters,-1,0.616910473280674,0.414536597049891,-1,0.43578369941025863,-1,0.06472784987245961,-0.00045576841644701105,-1,-1,-1,-1,0.09151808970497932,0.2926865813363835,-1,0.3770891918430317,0.3978107924069004,-1,0.06472784987245961,-0.36224576642751116,-1,-1,-1,-1,-1,0.1843469951658887,-1,0.41746056296043754,0.3978107924069004,0.05215225914982935,-0.34512624916989876,-1,0.21424931041827489,0.12684360369556236,0.08563299517222767,-1,0.1438373180439838,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,1.0,0.5515804063485533,-1,0.4946272622410548,-1,0.0534712469212143,0.04351107099934193,-1,-1,-1,-1,0.16440249049083877,0.2448351856060451,-1,0.46886986423068944,0.3665500331514131,-1,0.0534712469212143,-0.48332531068137485,-1,-1,-1,-1,-1,0.17873783691476075,-1,0.40935383046895224,0.3665500331514131,0.10406236218614984,-0.43984784695000734,-1,0.22922991242485757,0.1633296903624346,0.19247778535707127,-1,0.16149560441111865,-1
two,-1,0.5051909754037122,0.7417572344372061,-1,0.5795507003891288,-1,0.01920760470767413,0.037520096491603594,-1,-1,-1,-1,0.26714409338536926,0.11846642915012451,-1,0.8939144720651863,0.6759989842161636,-1,0.01920760470767413,-0.6396717258615885,-1,-1,-1,-1,-1,0.41013147573836806,-1,0.6723903455114683,0.6759989842161636,-0.05627850817532809,-0.5713736558583327,-1,0.38862986556831314,0.38830295073427346,0.43036765442151137,-1,0.24855246413029197,-1
window,-1,0.16440249049083877,0.11029870581144219,-1,0.16114252144363572,-1,0.04294142109124233,-0.03392965023983674,-1,-1,-1,-1,1.0,0.556118455135038,-1,0.25044194238429096,0.24180703215396215,-1,0.04294142109124233,-0.44999565826582666,-1,-1,-1,-1,-1,0.1653627319027443,-1,0.35012011985930047,0.24180703215396215,-0.055011710455139085,-0.35136320466797866,-1,0.045189557993323026,0.1510452346726131,0.16752406573883383,-1,-0.029335088037804935,-1
cleaners,-1,0.17788586159572461,-0.0023520155491012495,-1,0.1055306595852088,-1,0.1415983452171563,0.00022125689192198372,-1,-1,-1,-1,0.32644146113523076,0.6568613119253911,-1,0.08354042134284212,0.04454907462961355,-1,0.1415983452171563,-0.19932208357414183,-1,-1,-1,-1,-1,0.03172839684307016,-1,0.07387995235903166,0.04454907462961355,0.11245258181954298,-0.11051930962294088,-1,-0.048154131697102365,-0.0875161729060745,-0.2333667995779971,-1,-0.17431870712213193,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.7018552549000768,0.6860577748558289,-1,0.6895029084894948,-1,0.06858588731336601,0.24578932272257759,-1,-1,-1,-1,0.28109868720511155,0.27178449073390465,-1,0.5962275478148338,0.5488210719841521,-1,0.06858588731336601,-0.6896481274019695,-1,-1,-1,-1,-1,0.37304956118791077,-1,0.5468258590395487,0.5488210719841521,0.07077806336278836,-0.6193180871671307,-1,0.38343530104066037,0.29534097347413435,0.27821111322693937,-1,0.18500831963833675,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,-1,0.28553280622075494,0.2500753801892659,-1,0.325028322765728,-1,0.08631180972836305,0.06980863970593854,-1,-1,-1,-1,0.40895884628891066,0.27462698044382905,-1,0.31072466394818066,0.3973956349562606,-1,0.08631180972836305,-0.4493686819968912,-1,-1,-1,-1,-1,0.3242714635167301,-1,0.35343572528118394,0.3973956349562606,0.0616807574458641,-0.39101696132264596,-1,0.20424494717737596,0.2337991562764733,0.11124372131758309,-1,0.05766346633377051,-1
cradle,-1,0.10380675707559217,-0.23396651927038659,-1,-0.11235439518073109,-1,-0.0033898588353185044,0.09996989545376234,-1,-1,-1,-1,0.12614215319364974,0.181444448453269,-1,-0.1901517977790803,-0.12269706639307243,-1,-0.0033898588353185044,-0.07672268158613638,-1,-1,-1,-1,-1,-0.07599133816131975,-1,-0.2292221610823626,-0.12269706639307243,0.18219786766860058,-0.10235581237385416,-1,-0.21960544403873983,-0.13270435231988276,-0.0964678923126785,-1,-0.10124466360185735,-1
69,-1,0.24930083463040253,0.3068176230891634,-1,0.12394788274430202,-1,0.011674836941809486,0.4804603251963372,-1,-1,-1,-1,0.04982703265783106,0.07741132379666849,-1,0.36863760174326865,0.3810417288604502,-1,0.011674836941809486,-0.4246897402964971,-1,-1,-1,-1,-1,0.12870443266812592,-1,0.40055532229717705,0.3810417288604502,0.13666549320328691,-0.3001742473086213,-1,0.10613242933570666,0.17388701290916686,0.08657639684703988,-1,0.18131403872300378,-1
storeys,-1,-0.014447907239299562,0.20935485658638653,-1,-0.009800932158453124,-1,-0.2748326950285922,-0.1127379374877564,-1,-1,-1,-1,0.07765089124437274,-0.044000967444790096,-1,0.42425586705929885,0.3345338383508294,-1,-0.2748326950285922,-0.013737592376747099,-1,-1,-1,-1,-1,0.03993119873500439,-1,0.3934690040239508,0.3345338383508294,-0.22022308707693927,0.011537873942316423,-1,-0.10803218117720514,-0.08633268696941676,-0.02206899399855833,-1,-0.12691863049285956,-1
above,-1,0.32751894229850664,0.4656618137951648,-1,0.34369085515471576,-1,0.0017330836755775625,0.0029200277658252283,-1,-1,-1,-1,0.3521973712323685,0.16071349271371893,-1,0.6014047373665058,0.47614771627390606,-1,0.0017330836755775625,-0.5333586131719037,-1,-1,-1,-1,-1,0.30617635070671634,-1,0.5768064109102846,0.47614771627390606,-0.07027835082545408,-0.46875635624833256,-1,0.2630989662184373,0.2891707586657736,0.24316046868160424,-1,0.05735181712838866,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
