model,the,cable,on,the,cradle,apparently,broke,as,it,retracted,towards,the,roof,of,the,building,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.3292411231144897,-1,-1,-0.21781224706717994,0.28231500222215056,0.2274425790042638,-1,-1,0.06998097298904182,0.22262350037219747,-1,0.27998292948506553,-1,-1,0.41407263171729514,-1
firefighters,-1,0.04294216974738774,-1,-1,0.0128773579918805,0.3053411477560737,0.3445502614490512,-1,-1,0.06540020929401713,0.163561293345734,-1,0.32683912751406985,-1,-1,0.3354474576374208,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.12872720292113282,-1,-1,0.10380675707559217,0.5180926882484931,0.27949304513882933,-1,-1,0.20263038418807133,0.24254650234784036,-1,0.3599438536237607,-1,-1,0.26979016204528183,-1
two,-1,0.20937146331733958,-1,-1,-0.16454018807281878,0.37810076420612515,0.4356152599231917,-1,-1,0.12773186040400386,0.32374954854954185,-1,0.322568301904296,-1,-1,0.3899752155475815,-1
window,-1,0.10452261117292294,-1,-1,0.12614215319364974,0.22080774281490778,0.42424528890225655,-1,-1,0.12969059650354509,0.30428276997211645,-1,0.4287246274838883,-1,-1,0.3710540969394456,-1
cleaners,-1,0.11011013128125635,-1,-1,0.2425842470603493,0.03324483646136456,0.17604642316639296,-1,-1,-0.059584892616291185,0.08020960045986336,-1,0.3508940289622078,-1,-1,0.26052728869501096,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.11663828759185313,-1,-1,-0.0009613552920146873,0.6618478376706185,0.4007421339497106,-1,-1,0.037825296309008216,0.41688706925753194,-1,0.43487647586813727,-1,-1,0.48784360324491305,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,-1,0.1543696307745377,-1,-1,0.054619950207627666,0.29707773084555056,0.4549003626311767,-1,-1,0.16500541439508565,0.22424628069897123,-1,0.6975099815847277,-1,-1,0.6440866835543044,-1
cradle,-1,-0.04159357430326249,-1,-1,1.0,0.04837072044029289,-0.03186790480647428,-1,-1,0.012698671748165302,0.07355329040957659,-1,0.2141661331149739,-1,-1,-0.010327743377368526,-1
69,-1,0.10785875390978938,-1,-1,0.03248782788799576,0.17091241252771838,0.16773807555409415,-1,-1,-0.10343036545121609,0.1353297258854591,-1,0.20653200492432422,-1,-1,0.15285825844904855,-1
storeys,-1,-0.21540337933210063,-1,-1,0.02466667447761539,-0.10691900989890035,-0.00787568408045658,-1,-1,0.07422393692103746,-0.018265905420486783,-1,0.1330684129366051,-1,-1,0.07973315247136303,-1
above,-1,-0.02908655732153509,-1,-1,-0.03306233567083727,0.29037204409668993,0.30091345611552933,-1,-1,0.022016563429493874,0.4958790877413086,-1,0.4096542421285114,-1,-1,0.37262687493143276,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,-1,0.12858129440910981,-1,-1,2.0513881101136278e-05,0.4420897787599083,0.4657698684763656,-1,-1,0.010591498780710418,0.5896115065490687,-1,0.5084498132354202,-1,-1,0.5409174020684936,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.1724558925884091,-1,-1,-0.08099609199835234,0.22648475165997428,0.394257778429964,-1,-1,0.015075503403763513,0.3089673871611339,-1,0.10521256450639127,-1,-1,0.25335206436600666,-1
trade,-1,0.2846542298931549,-1,-1,-0.046398202988852555,0.12616963586106578,0.3085047315029885,-1,-1,-0.11719186111703883,0.2821261975763216,-1,0.1047466639002661,-1,-1,0.30338560866421704,-1
center,-1,0.3107472075463258,-1,-1,0.07649432938115053,0.012017601549844659,0.10968776989938422,-1,-1,-0.20021068234001094,0.1126394751154618,-1,0.045999456953339846,-1,-1,0.2645004157945021,-1
site,-1,0.36021740197632224,-1,-1,-0.03564904145397452,0.34341217322216444,0.2632141724674214,-1,-1,0.12121828035102733,0.3442499259090017,-1,0.47570642397530993,-1,-1,0.7497151625098477,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
