model,his,mobile,phone,and,computer,are,missing,.
noted,-1,0.21119992740243165,0.25241664897807037,-1,0.2480504216997499,-1,0.2300831267474034,-1
russian,-1,0.37940533423310474,0.29960224493487553,-1,0.3705058586884775,-1,0.342649526344434,-1
journalist,-1,0.36047153311934044,0.3483495016721232,-1,0.3285076266728245,-1,0.34254933453865277,-1
dmitry,-1,-0.19100865416237567,-0.09210059944894233,-1,-0.12039688144305027,-1,-0.08130981944987203,-1
tsilikin,-1,-0.43754153836732956,-0.22538324534290055,-1,-0.5509895381535779,-1,-0.3229903973006094,-1
has,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,-1,0.12079728948994362,0.23129070391088624,-1,0.10091060651403416,-1,0.39416920197325145,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.22343903839569434,0.2524354622215783,-1,0.22501965310875538,-1,0.43829690727811244,-1
in,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1
flat,-1,0.31443752431425964,0.31207280239695934,-1,0.29799645187527657,-1,0.5053634269009573,-1
in,-1,-1,-1,-1,-1,-1,-1,-1
st,-1,0.07318720234848408,0.16086455252304954,-1,0.07672974187667292,-1,0.2555788519285618,-1
petersburg,-1,0.06894029766532628,0.03690435029606276,-1,0.24747957700036483,-1,0.03829069693626408,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
