model,he,also,worked,on,a,number,of,tv,and,radio,programmes,as,well,as,other,newspapers,and,magazines,.
noted,-1,-1,0.32075074290705197,-1,-1,0.35716968460590226,-1,0.2801618389192283,-1,0.29151705673553385,0.2959102441038459,-1,0.27691004162217703,-1,-1,0.4582146029481151,-1,0.1986542238024247,-1
russian,-1,-1,0.25397281019769213,-1,-1,0.3076558587881367,-1,0.48858904267501846,-1,0.37805556496445114,0.34517449718733073,-1,0.270145685656046,-1,-1,0.5008268897460002,-1,0.24448569906065964,-1
journalist,-1,-1,0.3903082057028986,-1,-1,0.36469227619225975,-1,0.578668147829794,-1,0.557043878593745,0.4298253703892013,-1,0.23494248317332378,-1,-1,0.41258395345436294,-1,0.30305568522378934,-1
dmitry,-1,-1,-0.011047592701161957,-1,-1,-0.19315086505025802,-1,-0.058158829713829574,-1,0.06475461426358842,-0.1578848541877711,-1,-0.1505819279742242,-1,-1,-0.026926973727755987,-1,-0.1069459517658986,-1
tsilikin,-1,-1,-0.23301815625980016,-1,-1,-0.34962013773000145,-1,-0.3171242849923088,-1,-0.2847571656575938,-0.501839158194568,-1,-0.34703586157033417,-1,-1,-0.45269220318298076,-1,-0.4267629888298403,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,-1,-1,0.3600463849102731,-1,-1,0.31968831950622645,-1,0.09168205419528719,-1,0.18049255773828765,-0.007815060050588851,-1,0.22881621900492277,-1,-1,0.16157527966472351,-1,0.11325451168680978,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,-1,0.20725652162327446,-1,-1,0.33803055389271863,-1,0.08940723653876204,-1,0.133722392754007,0.10304230012962035,-1,0.24252711754511191,-1,-1,0.13944822260846967,-1,0.019208257701140652,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,-1,-1,0.3627477737109649,-1,-1,0.26671619027789073,-1,0.19978756977435508,-1,0.30132226076941593,0.09144343898008511,-1,0.38730520485915143,-1,-1,0.2396074049189736,-1,0.11916639621499026,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,-1,-1,0.3055938642522875,-1,-1,0.1934786361509625,-1,0.2374714880624933,-1,0.4389632030176458,0.09329743603223728,-1,0.30003930534406975,-1,-1,0.04130124562229487,-1,-0.041895531066784786,-1
petersburg,-1,-1,0.02130205964318488,-1,-1,0.006318416465458276,-1,0.06859358042491037,-1,0.05133363081952369,0.026026114625039565,-1,0.017410927800069365,-1,-1,0.03189605061973044,-1,-0.016320984912125525,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
