model,mr,tsilikin,was,a,well-known,culture,and,arts,critic,working,on,tv,and,radio,as,well,as,for,print,media,such,as,kommersant,vogue,and,elle,.
noted,0.4062738880756185,-0.13552537897308836,-1,-1,0.41513544242128086,0.34984038193787137,-1,0.24321081913697573,0.2969102779273234,0.2266300771248213,-1,0.2801618389192283,-1,0.29151705673553385,-1,0.27691004162217703,-1,-1,0.058187120280682736,0.3664979602814774,0.38369984199549445,-1,0.22872666980834377,0.12557593898941677,-1,0.11503978385384617,-1
russian,0.3137477820190995,-0.3621668777861886,-1,-1,0.3052808153874089,0.49836544135699545,-1,0.28063703865484935,0.3024485543860369,0.31340219895193044,-1,0.48858904267501846,-1,0.37805556496445114,-1,0.270145685656046,-1,-1,0.2542732911481095,0.599039345548392,0.367296578038645,-1,0.0578883984626648,0.32318462954798477,-1,0.12073124676623403,-1
journalist,0.26410457356064176,-0.22456667145131215,-1,-1,0.45608014851037937,0.4524336482726772,-1,0.33282606356745337,0.4759378178107794,0.3663295952387887,-1,0.578668147829794,-1,0.557043878593745,-1,0.23494248317332378,-1,-1,0.4087869819761347,0.5226135659148093,0.26773322693845714,-1,0.1750462998764184,0.5248065055910515,-1,0.25934562153109564,-1
dmitry,0.13919307575863837,0.14642857548549093,-1,-1,-0.041693364406258704,0.2333776192346585,-1,0.006988788210943397,0.10964268831304624,-0.12863175077061362,-1,-0.058158829713829574,-1,0.06475461426358842,-1,-0.1505819279742242,-1,-1,-0.08917498490189435,0.054818423578377184,-0.12158811847562179,-1,0.12228835527949622,0.2226456720390917,-1,0.22668998484824976,-1
tsilikin,0.21325827766631011,1.0,-1,-1,-0.2993511493846941,-0.4511490735640076,-1,-0.5268221080626396,-0.11169888148373985,-0.3680914221698699,-1,-0.3171242849923088,-1,-0.2847571656575938,-1,-0.34703586157033417,-1,-1,-0.3442238120781558,-0.33233312204997123,-0.44479104194000696,-1,0.1040924506665708,-0.27267463813687787,-1,0.02344948705830907,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,0.3330157383365009,-0.09327722279731243,-1,-1,0.2414202184712908,0.06270857255183637,-1,0.0028163963346778953,0.1860134672206608,0.22557026328339425,-1,0.09168205419528719,-1,0.18049255773828765,-1,0.22881621900492277,-1,-1,0.011001463325857608,0.19426147239765523,0.0884163812650387,-1,-0.1354582119821104,0.07109725858118332,-1,-0.11911850206928554,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.3029497058239755,-0.21153056399372594,-1,-1,0.1500791136267835,0.20920838465330882,-1,0.05721250313095361,0.056290272557876886,0.20279096795645712,-1,0.08940723653876204,-1,0.133722392754007,-1,0.24252711754511191,-1,-1,0.0194883975694653,0.28802965414395776,0.2958075913883085,-1,-0.0876079052859573,-0.060925622215493025,-1,-0.06804240383190119,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,0.27639947687832367,-0.3964533101921852,-1,-1,0.21978903118413262,0.22603905163067284,-1,0.18094208742449003,0.1102630389213135,0.3569533886009504,-1,0.19978756977435508,-1,0.30132226076941593,-1,0.38730520485915143,-1,-1,0.20916711460660053,0.22598485109530753,0.22261751555368403,-1,-0.10939357284413243,0.007844313230801259,-1,-0.11842959255051233,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,0.27588442305710936,-0.15406243785116502,-1,-1,0.0942156261369036,0.3444209745493676,-1,0.2884373167515173,0.057807540103978705,0.23337581910027572,-1,0.2374714880624933,-1,0.4389632030176458,-1,0.30003930534406975,-1,-1,0.07988972576720521,0.14152969317790398,0.1620921824833219,-1,-0.23652384154480566,-0.011946562100417557,-1,-0.05166623146235039,-1
petersburg,0.038310270535407476,-0.012015001085034172,-1,-1,0.048379059839401606,0.1440358917831125,-1,0.13288213222616874,0.07004872915545413,0.021781925741114705,-1,0.06859358042491037,-1,0.05133363081952369,-1,0.017410927800069365,-1,-1,0.08759744080037135,0.06851966725581049,0.009618776228115355,-1,0.017103990425702542,0.013890554042914505,-1,0.041372794473343744,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
