model,the,russian,investigative,committee,said,a,forensic,investigation,was,being,carried,out,and,it,had,not,ruled,out,``,murder,committed,on,domestic,grounds,'',.
noted,-1,0.30586292832448514,0.24851097189347882,0.4284382135197793,-1,-1,0.28559599600801566,0.3077965163242371,-1,-1,0.35749170397923624,-1,-1,-1,-1,-1,0.5202166752165479,-1,-1,0.24254182720483553,0.24315705324698988,-1,0.1873218568435362,0.426461507608908,-1,-1
russian,-1,1.0,0.32357472566126955,0.3585192757005857,-1,-1,0.22247676696519036,0.4384960275216542,-1,-1,0.4645941128617914,-1,-1,-1,-1,-1,0.4270143043285113,-1,-1,0.323007768762156,0.2517796649732429,-1,0.5476293955728491,0.38581284736598787,-1,-1
journalist,-1,0.44374082807843873,0.38815023077682276,0.23818683038130573,-1,-1,0.30466277921707396,0.2944342128641193,-1,-1,0.28980805689508105,-1,-1,-1,-1,-1,0.23143656864472006,-1,-1,0.27968733507487653,0.11523486827700669,-1,0.17997848743295397,0.13312063259537432,-1,-1
dmitry,-1,0.33410961409467865,0.21656156901349588,0.1030220310704405,-1,-1,0.03108280954995457,0.06711676554834078,-1,-1,-0.026958848786930778,-1,-1,-1,-1,-1,0.15639668874469415,-1,-1,0.12085446930149146,0.029733154967644615,-1,-0.14124248980223908,0.058282778840847205,-1,-1
tsilikin,-1,-0.3621668777861886,-0.3346318326685527,-0.19993585568288275,-1,-1,-0.2503710893781943,-0.2538861232706049,-1,-1,-0.3440490208207936,-1,-1,-1,-1,-1,-0.19524794025667735,-1,-1,-0.2207900381026029,-0.23272172337048724,-1,-0.6001035365315568,-0.5689009713982591,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,-1,0.20900884512686768,0.028518468355546722,0.08249343072755244,-1,-1,0.07630234227218435,0.18185569310762972,-1,-1,0.3414819619798596,-1,-1,-1,-1,-1,0.34033293708501366,-1,-1,0.4596931546389522,0.2746767672028749,-1,0.11071457532753648,0.16013844744797712,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.2392565969953464,0.09248273304648924,0.12216087618135008,-1,-1,0.109297426098796,0.4421515791954689,-1,-1,0.386919830410112,-1,-1,-1,-1,-1,0.41711402265695163,-1,-1,0.5813722132119856,0.2840192897194802,-1,0.29101515166599456,0.32461348366395903,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,-1,0.19969914252712595,0.04659693019212663,0.09247834142591493,-1,-1,0.08760588493994415,0.24715400913443974,-1,-1,0.43142570060144037,-1,-1,-1,-1,-1,0.37101265524016114,-1,-1,0.4007319726284,0.29872121003165497,-1,0.2872627710848559,0.41682906773617456,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,-1,0.3144898468619578,0.010415747552708354,0.21125117991656717,-1,-1,-0.008986205227929922,0.15841451952945307,-1,-1,0.16440176499148262,-1,-1,-1,-1,-1,0.2892644224210169,-1,-1,0.24767637408695076,0.06883204883545146,-1,0.15637030668213348,0.28199839553917905,-1,-1
petersburg,-1,0.10283674047072056,-0.6126052533976674,0.030000626063778735,-1,-1,0.10845545357001485,0.058517943188589605,-1,-1,0.03512157451142772,-1,-1,-1,-1,-1,0.01766939973043169,-1,-1,0.04220613478574675,0.01966122145313054,-1,0.0022927259409671885,0.04289138293351613,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
