model,st,petersburg,union,of,journalists,chairwoman,lyudmila,fomichev,told,kommersant,:,``,this,is,a,great,tragedy,for,the,entire,journalistic,community,because,he,was,a,very,well-known,great,journalist,who,wrote,on,culture,and,art,.
noted,0.15231775553454785,0.03222447131739281,0.22689405631306958,-1,0.4051438468831253,0.32840890403192013,-0.24429257231690005,-0.46948357156972165,-1,0.22872666980834377,-1,-1,-1,-1,-1,0.24823780107883076,0.2577277691555995,-1,-1,0.11118538842632375,-0.007347166128192972,0.28575324009832737,0.3563170474609949,-1,-1,-1,-1,0.41513544242128086,0.24823780107883076,0.3150559033044029,-1,0.5551953671976937,-1,0.34984038193787137,-1,0.23838060090492497,-1
russian,0.3144898468619578,0.10283674047072056,0.5960582861536627,-1,0.6718245152280136,0.22954190916683392,-0.08729836841192506,-0.4546226107444258,-1,0.0578883984626648,-1,-1,-1,-1,-1,0.2544499653779351,0.18497607446477293,-1,-1,0.2251056373888206,-0.1608534647913542,0.402225055342081,0.3471393611618201,-1,-1,-1,-1,0.3052808153874089,0.2544499653779351,0.44374082807843873,-1,0.35358321966787787,-1,0.49836544135699545,-1,0.19148435706953726,-1
journalist,0.22125428600449515,0.038893584830229755,0.3226279993848895,-1,0.6472772083154806,0.21946059901527537,-0.11765764040231219,-0.4252881756089004,-1,0.1750462998764184,-1,-1,-1,-1,-1,0.27534046906947385,0.11654490415802576,-1,-1,0.1408032615742656,-0.053892798912374085,0.3384241276615647,0.1614534332199945,-1,-1,-1,-1,0.45608014851037937,0.27534046906947385,1.0,-1,0.6257040467634299,-1,0.4524336482726772,-1,0.3383192870443197,-1
dmitry,0.2397756789023312,0.0817745029569471,0.12985746135855458,-1,0.07008360190792806,0.324476357890358,0.3158741981503599,-0.059871567456077246,-1,0.12228835527949622,-1,-1,-1,-1,-1,-0.18350216498685734,0.029403716113907574,-1,-1,-0.21816921993224558,-0.21646420387590037,-0.09437549904466858,-0.13227519570974589,-1,-1,-1,-1,-0.041693364406258704,-0.18350216498685734,0.19240167590436874,-1,0.20551959473102288,-1,0.2333776192346585,-1,-0.04952787699723604,-1
tsilikin,-0.15406243785116502,-0.012015001085034172,-0.4172836735820582,-1,-0.38468402661122436,-0.10041272050172823,0.462198081669452,0.6813680349273652,-1,0.1040924506665708,-1,-1,-1,-1,-1,-0.4164623771442426,-0.4309062007295583,-1,-1,-0.46917603690935317,-0.3245129875793571,-0.5144657853869199,-0.407203634196162,-1,-1,-1,-1,-0.2993511493846941,-0.4164623771442426,-0.22456667145131215,-1,-0.2036038408087435,-1,-0.4511490735640076,-1,-0.5394253218497538,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,0.2139878979709411,0.04608460634560718,0.04719681339059367,-1,0.33604086598524274,0.029806667157611266,-0.10114813429954972,-0.30014938453357654,-1,-0.1354582119821104,-1,-1,-1,-1,-1,0.2292802320168983,0.26066560329167887,-1,-1,0.18923331264611076,-0.18667743743600762,0.188276797445442,0.24074507824375424,-1,-1,-1,-1,0.2414202184712908,0.2292802320168983,0.34253515081215746,-1,0.37677496924071263,-1,0.06270857255183637,-1,0.15935701859664764,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.1857574754482728,0.031364891180095,0.1936218373595655,-1,0.245985221048733,0.15554990225861498,-0.1723711270375543,-0.41964134103157935,-1,-0.0876079052859573,-1,-1,-1,-1,-1,0.2501694257521212,0.46973105474641885,-1,-1,0.2768181278771724,-0.051009529354455685,0.22682947367244277,0.40660930952199803,-1,-1,-1,-1,0.1500791136267835,0.2501694257521212,0.2098773638598872,-1,0.3361051475991538,-1,0.20920838465330882,-1,0.23340216072078923,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
