model,welsh,secretary,stephen,crabb,was,speaking,after,friday,'s,final,televised,debate,before,the,election,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.7140219943857774,0.33812381096321564,0.3424165631165996,0.2846933853661724,-1,0.2863033343753927,-1,0.32441357280417216,-1,0.3969324474381697,0.08203520780588236,0.46250805148335306,-1,-1,0.6239586612281794,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,0.3848555701762968,0.35813986922902297,0.384990604929603,0.25288250149855995,-1,0.41927772464863655,-1,0.39501348805870273,-1,0.20806881573413816,0.03839236420769532,0.4063924285839138,-1,-1,0.34505599150161304,-1
labour,0.7029038637701761,0.5139167586573764,0.4913647722028246,0.37091617596784143,-1,0.39859361835410023,-1,0.3615324161012816,-1,0.3251975831524323,0.08591353954685033,0.5557874916142338,-1,-1,0.6682203632033945,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,0.5408477829107623,0.43097862573266,0.5254989996162495,0.4438460790192673,-1,0.34253920963616513,-1,0.26816533443898805,-1,0.1039423569715815,0.055623453009322255,0.3778621104965594,-1,-1,0.4126663078882675,-1
cymru,0.41471092989333214,0.43270431894931305,0.45027719914314135,0.3199019122050266,-1,0.4036336914987665,-1,0.29620144987240726,-1,0.0658119564713262,0.17935399538551033,0.3858790433999518,-1,-1,0.2752617111158877,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,0.3534100807445302,0.22635886848636155,0.20106240248608653,0.0638759793155812,-1,0.31190540221343854,-1,0.38558209346247097,-1,0.2449146215314304,0.1645964595886802,0.4100580859853524,-1,-1,0.2981665254526543,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-0.38471804192671266,-0.348427725035535,-0.35425356112461603,-0.11377228923979432,-1,-0.31322662329848594,-1,-0.4456405480516521,-1,-0.2824768202015837,0.042564197946264204,-0.20940377090771745,-1,-1,-0.23254697002107294,-1
squabble,-0.2514534183023993,-0.2691586717923671,-0.37690441305113853,-0.25746089728357013,-1,-0.31239421309216664,-1,-0.3261805114011349,-1,-0.14953930091979006,-0.005388105741166216,-0.07136100692758585,-1,-1,-0.20458903113778648,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,0.5544774362038093,0.3554604322349486,0.20756922148581447,0.060396448807747194,-1,0.3532363139336733,-1,0.3691856935040575,-1,0.27718296436346446,0.19404335595702615,0.5093312456699863,-1,-1,0.4634415838944741,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,0.21662074895755756,0.14021633353245688,0.0912342972175002,0.07060627396563057,-1,0.39075501839564675,-1,0.31668579492843074,-1,0.3009719286857716,0.25015095610368676,0.49165391631081146,-1,-1,0.4595451003633729,-1
parliament,0.5561601914124463,0.4060881226591213,0.3021791433464758,0.14100378065026653,-1,0.5052520086312162,-1,0.5398979683474507,-1,0.5143562569485561,0.25821994823119665,0.6840668988874261,-1,-1,0.6593176671707404,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
