model,``,there,'s,only,one,party,that,'s,in,a,position,to,secure,an,overall,majority,and,that,'s,the,welsh,conservatives,'',he,told,the,sunday,politics,wales,show,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,-1,0.48101665312958175,0.3696784892528685,0.6818745965120392,-1,-1,-1,-1,0.41308585372748663,-1,0.43872164873993347,-1,0.5170330133558271,0.7002608984664143,-1,-1,-1,-1,0.7140219943857774,1.0,-1,-1,-1,-1,0.32881493309552834,0.3121491137626209,0.4208035826922356,0.2980794596215497,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,-1,-1,0.38769643802908216,0.4295669222665006,0.5309456558480403,-1,-1,-1,-1,0.3432820658659228,-1,0.2569972941056059,-1,0.11436656196318973,0.3888957837530861,-1,-1,-1,-1,0.3848555701762968,0.4853245223450313,-1,-1,-1,-1,0.3119270666772195,0.2972434730350375,0.29416797665450933,0.2983312002110522,-1
labour,-1,-1,-1,0.4829626553787517,0.4317539440439697,0.8423679473936713,-1,-1,-1,-1,0.5580345927891852,-1,0.4098550076370586,-1,0.4941621447589941,0.7148876486817197,-1,-1,-1,-1,0.7029038637701761,0.8236890864033051,-1,-1,-1,-1,0.3476246537818346,0.4381318035561401,0.4866529750454214,0.3489312189674876,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,-1,-1,0.2630422163397237,0.2371774329652202,0.4913012295989563,-1,-1,-1,-1,0.2370625981402682,-1,0.10829870494103833,-1,0.20799556610707648,0.31525041758133876,-1,-1,-1,-1,0.5408477829107623,0.5558952758906905,-1,-1,-1,-1,0.2427722419143059,0.17236146477989878,0.35631206592456977,0.21596079770372867,-1
cymru,-1,-1,-1,0.1659814548046581,0.2008049221548085,0.3285510538351948,-1,-1,-1,-1,0.2106761116850855,-1,0.035443445351983294,-1,0.08324575232375575,0.05724223155440389,-1,-1,-1,-1,0.41471092989333214,0.27156652493529143,-1,-1,-1,-1,0.2792103313656493,0.18439143523928192,0.35158836381197744,0.2784148292171592,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
