model,'',ukip,'s,nathan,gill,told,the,programme,:,``,we,really,do,believe,that,the,people,who,make,our,laws,are,the,people,that,are,in,westminster,or,the,welsh,assembly,not,in,brussels,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.7435481607375712,-1,0.16623144824055136,0.1908132938493765,-1,-1,0.20796270094893132,-1,-1,-1,0.32178711253364967,0.4406745952336413,0.5100410398550569,-1,-1,0.37583473322739214,-1,0.4059716729029812,-1,0.24066047824290204,-1,-1,0.37583473322739214,-1,-1,-1,0.5694212220336329,-1,-1,0.7140219943857774,0.5451735957335574,-1,-1,0.33726301238185097,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.5399412678311288,-1,0.15412514769478924,0.26552442645251284,-1,-1,0.19871558927213084,-1,-1,-1,0.24266974555921528,0.321049038263467,0.41163717163271474,-1,-1,0.47302357668927564,-1,0.2710891916488667,-1,0.32932178982890004,-1,-1,0.47302357668927564,-1,-1,-1,0.3349983124118323,-1,-1,0.3848555701762968,0.30732784067848473,-1,-1,0.3204732383389466,-1
labour,-1,0.8595813930535116,-1,0.27445160646214617,0.2995118605138829,-1,-1,0.31620235405798325,-1,-1,-1,0.3326543266743136,0.46956739165694517,0.48239634223347183,-1,-1,0.38626675487271234,-1,0.43047952230720443,-1,0.31493135264714844,-1,-1,0.38626675487271234,-1,-1,-1,0.6160806078328857,-1,-1,0.7029038637701761,0.6545849354019666,-1,-1,0.30406467074409227,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,0.7916139343904404,-1,0.2623221374363245,0.18330657043249554,-1,-1,0.18725946890156075,-1,-1,-1,0.2527993439336471,0.2284365187166213,0.3093103221675211,-1,-1,0.14690991940472276,-1,0.2029454398377203,-1,0.08766256870621247,-1,-1,0.14690991940472276,-1,-1,-1,0.3185725354515505,-1,-1,0.5408477829107623,0.46003116975077507,-1,-1,0.2870068303042168,-1
cymru,-1,0.5931638085125148,-1,0.1298811802986345,0.18693265329919673,-1,-1,0.28396701670839375,-1,-1,-1,0.3078151364830739,0.21203051420733365,0.27228015277491346,-1,-1,0.1430726196399259,-1,0.2118292712292874,-1,0.08461436416410317,-1,-1,0.1430726196399259,-1,-1,-1,0.1203748185443152,-1,-1,0.41471092989333214,0.3161162518588777,-1,-1,0.22450812365292083,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.3131119501792041,-1,0.010893437859012978,0.0721251227055506,-1,-1,0.3287832562749702,-1,-1,-1,0.5177758802334284,0.5083424345407005,0.5624399619506665,-1,-1,0.545716106619237,-1,0.4155975961656818,-1,0.37408629177644936,-1,-1,0.545716106619237,-1,-1,-1,0.23756849441750827,-1,-1,0.3534100807445302,0.27598073834355286,-1,-1,0.3279187789687429,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-0.4935795722720002,-1,-0.22008064140584027,-0.12251120389552606,-1,-1,-0.305427237279962,-1,-1,-1,-0.14834378959077998,-0.30316496768922985,-0.26631962608181703,-1,-1,-0.33065352004646,-1,-0.300774121032914,-1,-0.21409843804752993,-1,-1,-0.33065352004646,-1,-1,-1,-0.2951348740428512,-1,-1,-0.38471804192671266,-0.31852438356653767,-1,-1,-0.24337539403792152,-1
squabble,-1,-0.3332225464753109,-1,-0.18976941852201046,-0.15320618352886894,-1,-1,-0.38192921516079426,-1,-1,-1,-0.15904167707873063,-0.09706406853551663,-0.1469598451406029,-1,-1,-0.11005043525677616,-1,-0.14199836915508324,-1,-0.08942463143817991,-1,-1,-0.11005043525677616,-1,-1,-1,-0.11359073610708403,-1,-1,-0.2514534183023993,-0.2318911522388163,-1,-1,-0.06624440199164527,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.4974780807952415,-1,0.0829954969019655,0.13968155578617092,-1,-1,0.4473402426661639,-1,-1,-1,0.46711895240045753,0.6287225473429188,0.5786141834480565,-1,-1,0.5926699208858098,-1,0.5605909986091728,-1,0.3429675464628179,-1,-1,0.5926699208858098,-1,-1,-1,0.32093664754442486,-1,-1,0.5544774362038093,0.40028481438213825,-1,-1,0.23521820995231424,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,0.31462487385961335,-1,0.14262582054495665,0.11502966999019548,-1,-1,0.2388740400113647,-1,-1,-1,0.14518334026405433,0.24599931240169548,0.26115744614361125,-1,-1,0.2179393953670563,-1,0.14819745730414757,-1,0.2540149972260096,-1,-1,0.2179393953670563,-1,-1,-1,0.5094687287766114,-1,-1,0.21662074895755756,0.49669892308612285,-1,-1,0.39734336335309617,-1
parliament,-1,0.6126259324890586,-1,0.20625158016474487,0.24429220549553343,-1,-1,0.5053842586704108,-1,-1,-1,0.2633422259254369,0.5038919132713616,0.46668344509686965,-1,-1,0.4388364590544779,-1,0.4290911635724295,-1,0.4908734686030314,-1,-1,0.4388364590544779,-1,-1,-1,0.7103677499074925,-1,-1,0.5561601914124463,0.7758478794477534,-1,-1,0.528872993105995,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
