model,``,we,believe,that,the,money,that,we,spend,needs,to,be,spent,here,in,wales,or,britain,on,us,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,0.5100410398550569,-1,-1,0.36360652994088194,-1,-1,0.35649776734617333,0.367538076706419,-1,-1,0.3051655611166262,0.3707508024067071,-1,0.4208035826922356,-1,0.5162867301949757,-1,0.3863936517946768,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,-1,0.41163717163271474,-1,-1,0.3972666562089877,-1,-1,0.22474968045377453,0.30036483718962304,-1,-1,0.4089465615380965,0.294442534485731,-1,0.29416797665450933,-1,0.38795732046724973,-1,0.5246165583256117,-1
labour,-1,-1,0.48239634223347183,-1,-1,0.35813733180932616,-1,-1,0.3411301942220819,0.49943338721966635,-1,-1,0.3256765460092249,0.3953408305214713,-1,0.4866529750454214,-1,0.595580233568719,-1,0.4569132998504233,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,-1,0.3093103221675211,-1,-1,0.09088042379505856,-1,-1,0.14410057282701216,0.22767334264887107,-1,-1,0.170291912685137,0.2693659289999759,-1,0.35631206592456977,-1,0.3626694507948065,-1,0.2714944160579382,-1
cymru,-1,-1,0.27228015277491346,-1,-1,0.1303485298923842,-1,-1,0.1548617774957165,0.22931096872861256,-1,-1,0.18317257372006956,0.373531998636186,-1,0.35158836381197744,-1,0.30310473784883374,-1,0.21777510460665916,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,-1,0.5624399619506665,-1,-1,0.4423762135371345,-1,-1,0.2967160059419276,0.4404940516096618,-1,-1,0.39966231392315144,0.5087755467670136,-1,0.3769181452004535,-1,0.4485093821069508,-1,0.4743517914278659,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-1,-0.26631962608181703,-1,-1,-0.36359426524236405,-1,-1,-0.25776738886945005,-0.285688353708653,-1,-1,-0.33811868614420604,-0.2854812754073959,-1,-0.46930985402008507,-1,-0.39991987939297546,-1,-0.37866986450937246,-1
squabble,-1,-1,-0.1469598451406029,-1,-1,-0.02293133227332511,-1,-1,0.0189500780610814,-0.1401911945216019,-1,-1,-0.1615509772161594,-0.23505287582738177,-1,-0.3168357540785818,-1,-0.24268049316455875,-1,-0.11828172138498938,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,-1,0.5786141834480565,-1,-1,0.6636015602878718,-1,-1,0.5251353693186223,0.686184169520598,-1,-1,0.4403697109504441,0.5438966373289462,-1,0.5174691305001561,-1,0.5495178700857872,-1,0.5935144667409,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,-1,0.26115744614361125,-1,-1,0.2099425153125032,-1,-1,0.2707558553301641,0.22542777336577047,-1,-1,0.19845146962130855,0.32156370004005896,-1,0.14440760245050133,-1,0.2679572181498553,-1,0.19662726632303373,-1
parliament,-1,-1,0.46668344509686965,-1,-1,0.398275576498188,-1,-1,0.41449625318902816,0.5115264108293166,-1,-1,0.36857866090816027,0.4721043247251083,-1,0.49968165282990307,-1,0.6014301392371384,-1,0.5160440764672763,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
