model,i,want,to,help,women,out,of,this,terrible,rut,that,government,after,government,has,kicked,them,into,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.5120152058166302,-1,-1,0.4771967709177174,-1,-1,-1,0.20211688240984405,-0.22008386505367028,-1,0.5482233194993097,-1,0.5482233194993097,-1,0.21697685225964336,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.3705911055772826,-1,-1,0.5709372633201066,-1,-1,-1,0.12236814761819192,-0.4648703383531769,-1,0.5293022449934315,-1,0.5293022449934315,-1,0.2790100749731723,-1,-1,-1
labour,-1,0.5132898346190945,-1,-1,0.44823431159629556,-1,-1,-1,0.12466574518584117,-0.32251524544008414,-1,0.6217818635975517,-1,0.6217818635975517,-1,0.1919490491583259,-1,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,0.3038289682634612,-1,-1,0.21974525395072164,-1,-1,-1,0.08900382642526306,-0.27150829388813036,-1,0.29655216361412085,-1,0.29655216361412085,-1,0.11766857366456185,-1,-1,-1
cymru,-1,0.30509689165962617,-1,-1,0.18985523793277936,-1,-1,-1,0.16335608055631778,-0.20780480071307883,-1,0.1622347608828526,-1,0.1622347608828526,-1,0.037163277474646095,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.5099047625654635,-1,-1,0.6112249501424661,-1,-1,-1,0.3169611642929946,-0.148080717598706,-1,0.31541632781324114,-1,0.31541632781324114,-1,0.20382344677975195,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-0.3020452756431016,-1,-1,-0.4186367577813628,-1,-1,-1,0.14929713307271075,0.4121012037307794,-1,-0.3678743806968763,-1,-0.3678743806968763,-1,-0.18681847202445034,-1,-1,-1
squabble,-1,-0.049611950219324186,-1,-1,-0.16973864338315026,-1,-1,-1,-0.15378933904348457,0.33559495624669133,-1,-0.11403067618253515,-1,-0.11403067618253515,-1,-0.10841371108388698,-1,-1,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.6617941852851669,-1,-1,0.608045905653026,-1,-1,-1,0.24964359579247564,-0.26758241440038044,-1,0.5986561319068714,-1,0.5986561319068714,-1,0.13331178941651434,-1,-1,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,0.28529009474779987,-1,-1,0.08355944231846335,-1,-1,-1,0.13265903837555193,0.21093596098851608,-1,0.2807923444428372,-1,0.2807923444428372,-1,0.3008730842634957,-1,-1,-1
parliament,-1,0.5401000237027233,-1,-1,0.4392344670438486,-1,-1,-1,0.12304450644524634,-0.16155253237584488,-1,0.6279254009175189,-1,0.6279254009175189,-1,0.21288156863374763,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
