model,during,the,debate,labour,'s,owen,smith,clashed,with,plaid,'s,leanne,wood,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,0.46250805148335306,0.8236890864033051,-1,0.28769441860874034,0.3152890652902496,0.35811277161667643,-1,0.5558952758906905,-1,0.1397168619691329,0.3263888175785965,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,-1,0.4063924285839138,0.5647363068807054,-1,0.32747589988080206,0.3826070221380702,0.4310518029143626,-1,0.3532259047621289,-1,0.11129274723692739,0.34346830610184087,-1
labour,-1,-1,0.5557874916142338,1.0,-1,0.4164720150645893,0.48550046402908376,0.27676035898809914,-1,0.6221267726810942,-1,0.21270189905169312,0.45877063356220305,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,-1,0.3778621104965594,0.6221267726810942,-1,0.6164138428843378,0.36952831857483104,0.21793601177365662,-1,1.0,-1,0.5252948715702044,0.5870241980169436,-1
cymru,-1,-1,0.3858790433999518,0.36908861204081933,-1,0.5751699038868404,0.3170265385613993,0.08662275631894145,-1,0.8510553836541459,-1,0.43158595411371437,0.5427339817935126,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,-1,0.4100580859853524,0.32403730309184886,-1,0.1366996315186051,0.21338040683536275,0.36412614952687905,-1,0.1714598155925745,-1,-0.0016623313053603095,0.20688474225598663,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-1,-0.20940377090771745,-0.42605310020170517,-1,-0.3959138767202812,-0.39907641777082503,-0.20082663161323833,-1,-0.3528301255496644,-1,-0.25017035209832694,-0.46011144904071744,-1
squabble,-1,-1,-0.07136100692758585,-0.18619740751808656,-1,-0.37953468193819395,-0.3431691508720349,0.23717572097954065,-1,-0.3191254236456009,-1,-0.2420074082178978,-0.42459688112873106,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,-1,0.5093312456699863,0.6031769065868179,-1,0.2259480313316511,0.33117257519933974,0.25179297697840397,-1,0.26946491395987615,-1,0.025029131131944715,0.24348392301603639,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,-1,0.49165391631081146,0.3984065824661087,-1,0.027766205163209712,0.1659076907155479,0.30275576120575043,-1,0.13491503908767455,-1,0.0028330436310732843,0.1682026585039803,-1
parliament,-1,-1,0.6840668988874261,0.6822472044578055,-1,0.16395436464011592,0.33331097592454406,0.2783191358592053,-1,0.2868301700357574,-1,0.015370739640502729,0.3241702229427035,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
