model,mr,smith,challenged,plaid,'s,leanne,wood,about,whether,she,would,vote,down,an,ed,miliband,minority,government,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.2989377045096141,0.3152890652902496,0.4706524761519868,0.5558952758906905,-1,0.1397168619691329,0.3263888175785965,-1,0.3315794395007733,-1,-1,0.5871209748503311,0.31548846142439246,-1,0.47713765580477085,0.5380731746507946,0.5285199053184012,0.5482233194993097,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,0.4796560575749875,0.3826070221380702,0.6285902605154197,0.3532259047621289,-1,0.11129274723692739,0.34346830610184087,-1,0.422721145588117,-1,-1,0.40013998167085263,0.30668725414689724,-1,0.44843531472322584,0.5036613383314752,0.5505373526275084,0.5293022449934315,-1
labour,0.41283590530580483,0.48550046402908376,0.5267006571728796,0.6221267726810942,-1,0.21270189905169312,0.45877063356220305,-1,0.4171934926614309,-1,-1,0.6773541799699948,0.3927281269106224,-1,0.617332920655412,0.7032287550593845,0.5850353486100338,0.6217818635975517,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,0.2287496964649014,0.36952831857483104,0.322880523855529,1.0,-1,0.5252948715702044,0.5870241980169436,-1,0.2137785233620092,-1,-1,0.4024833512164814,0.11802370450241584,-1,0.4363781300939318,0.47715708786650035,0.4430754634212921,0.29655216361412085,-1
cymru,0.2293869374291142,0.3170265385613993,0.22406092671243627,0.8510553836541459,-1,0.43158595411371437,0.5427339817935126,-1,0.18138675216465427,-1,-1,0.304068157185007,0.053282880674436206,-1,0.2581805357175684,0.2750765452091277,0.3095310580974908,0.1622347608828526,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,0.30330316441207406,0.21338040683536275,0.41975917069756985,0.1714598155925745,-1,-0.0016623313053603095,0.20688474225598663,-1,0.39819339288060973,-1,-1,0.32558189330837295,0.32294507454544163,-1,0.14493904196674223,0.17076314557541294,0.3918144079118898,0.31541632781324114,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-0.32028172837014224,-0.39907641777082503,-0.2608703403032786,-0.3528301255496644,-1,-0.25017035209832694,-0.46011144904071744,-1,-0.27122978204767545,-1,-1,-0.3283357275490837,-0.312569812624087,-1,-0.24632658484381498,-0.22889382980967343,-0.3892372775126989,-0.3678743806968763,-1
squabble,-0.2727797536552312,-0.3431691508720349,-0.1543061050607415,-0.3191254236456009,-1,-0.2420074082178978,-0.42459688112873106,-1,0.033334108749713875,-1,-1,-0.13379808940259608,-0.1230431673796768,-1,-0.13450802773561366,-0.13595336053217588,-0.13607751874115004,-0.11403067618253515,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,0.3887456069877502,0.33117257519933974,0.4400369079048342,0.26946491395987615,-1,0.025029131131944715,0.24348392301603639,-1,0.42221765128694577,-1,-1,0.5172235281406935,0.3071688045879576,-1,0.2593103823505778,0.30216811228948337,0.5595886548330993,0.5986561319068714,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,0.15059060866639773,0.1659076907155479,0.4486338306285429,0.13491503908767455,-1,0.0028330436310732843,0.1682026585039803,-1,0.3212382683342033,-1,-1,0.5177460052092686,0.370269794513689,-1,0.280778589009708,0.33550480582405773,0.16550676979081425,0.2807923444428372,-1
parliament,0.34394217393933535,0.33331097592454406,0.5716384941752655,0.2868301700357574,-1,0.015370739640502729,0.3241702229427035,-1,0.5241121152878383,-1,-1,0.743411455633046,0.4216794180617238,-1,0.47996903460650464,0.5052900954141839,0.4245371935769864,0.6279254009175189,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
