model,the,plaid,leader,responded,by,accusing,labour,of,taking,wales,for,granted,over,many,decades,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.5558952758906905,0.5827021112015011,0.43410219714917986,-1,0.3473281469192202,0.8236890864033051,-1,0.4278531797308538,0.4208035826922356,-1,0.3200551965304156,-1,-1,0.2917336425288689,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.3532259047621289,0.46623198469499716,0.42512034087814654,-1,0.6971614402185028,0.5647363068807054,-1,0.5536724501234666,0.29416797665450933,-1,0.5047958759497337,-1,-1,0.39227872695332056,-1
labour,-1,0.6221267726810942,0.8010401191389117,0.41285105749702766,-1,0.38360197642690697,1.0,-1,0.450997034930821,0.4866529750454214,-1,0.3277623638028636,-1,-1,0.34691467717541635,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,1.0,0.616730614846404,0.3253380357262682,-1,0.23814345470629483,0.6221267726810942,-1,0.0819508779262943,0.35631206592456977,-1,0.14197625134602399,-1,-1,0.11425592370320314,-1
cymru,-1,0.8510553836541459,0.4184957014613273,0.22459830092366662,-1,0.16384454198177334,0.36908861204081933,-1,0.06686283176165941,0.35158836381197744,-1,0.137723446157618,-1,-1,0.038665235756700556,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.1714598155925745,0.16962342815123066,0.35570824452374583,-1,0.316614750438986,0.32403730309184886,-1,0.582506288651432,0.3769181452004535,-1,0.35675069577739404,-1,-1,0.35666779430893647,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-0.3528301255496644,-0.32689684047414325,-0.25049795381888784,-1,-0.19195316974781096,-0.42605310020170517,-1,-0.3794571452573807,-0.46930985402008507,-1,-0.2838555558969649,-1,-1,-0.1678526833340015,-1
squabble,-1,-0.3191254236456009,-0.2556490079919578,-0.1266906191605186,-1,-0.07902434881520515,-0.18619740751808656,-1,-0.14910189488338466,-0.3168357540785818,-1,-0.1961812459944774,-1,-1,0.06815910572224348,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.26946491395987615,0.3608166096539722,0.4184862539097767,-1,0.35826049110667757,0.6031769065868179,-1,0.5993655530296078,0.5174691305001561,-1,0.4718584532570168,-1,-1,0.31677825963985606,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,0.13491503908767455,0.25068031105216804,0.16579144076275676,-1,0.18700395176552964,0.3984065824661087,-1,0.24710068797778284,0.14440760245050133,-1,0.38025951848066164,-1,-1,0.18880728213437503,-1
parliament,-1,0.2868301700357574,0.5175823365379185,0.3083912700684137,-1,0.38887825915921836,0.6822472044578055,-1,0.5049065195929221,0.49968165282990307,-1,0.5385143071709847,-1,-1,0.3913075135028311,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
