model,also,speaking,to,sunday,'s,bbc,wales,programme,mr,smith,repeated,his,call,to,ms,wood,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.2863033343753927,-1,0.32881493309552834,-1,0.21644051261982666,0.4208035826922356,0.20796270094893132,0.2989377045096141,0.3152890652902496,0.2701384162424152,-1,0.3827370563524153,-1,0.29781241674824455,0.3263888175785965,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.41927772464863655,-1,0.3119270666772195,-1,0.23968117107380194,0.29416797665450933,0.19871558927213084,0.4796560575749875,0.3826070221380702,0.35235809200277035,-1,0.46532784655557335,-1,0.462948192469098,0.34346830610184087,-1
labour,-1,0.39859361835410023,-1,0.3476246537818346,-1,0.3220889130888689,0.4866529750454214,0.31620235405798325,0.41283590530580483,0.48550046402908376,0.32389563017475265,-1,0.4545564999253051,-1,0.450363002583698,0.45877063356220305,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,0.34253920963616513,-1,0.2427722419143059,-1,0.31310499250175994,0.35631206592456977,0.18725946890156075,0.2287496964649014,0.36952831857483104,0.17144529248754603,-1,0.1947286421174087,-1,0.32949590432225695,0.5870241980169436,-1
cymru,-1,0.4036336914987665,-1,0.2792103313656493,-1,0.42800295062432303,0.35158836381197744,0.28396701670839375,0.2293869374291142,0.3170265385613993,0.08544565920610159,-1,0.2216438939169525,-1,0.2832595915078008,0.5427339817935126,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.31190540221343854,-1,0.3283486087256735,-1,0.3168309647547627,0.3769181452004535,0.3287832562749702,0.30330316441207406,0.21338040683536275,0.1637715544803532,-1,0.4350361073103932,-1,0.3027220187073719,0.20688474225598663,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-0.31322662329848594,-1,-0.4012863577424448,-1,-0.3364033122693053,-0.46930985402008507,-0.305427237279962,-0.32028172837014224,-0.39907641777082503,-0.07184510864915561,-1,-0.29009435561331776,-1,-0.386476444783604,-0.46011144904071744,-1
squabble,-1,-0.31239421309216664,-1,-0.31518042596202767,-1,-0.36488340448340506,-0.3168357540785818,-0.38192921516079426,-0.2727797536552312,-0.3431691508720349,-0.06635968155194982,-1,-0.059086020640451764,-1,-0.24651932497426743,-0.42459688112873106,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.3532363139336733,-1,0.3169613824164659,-1,0.3147069577629731,0.5174691305001561,0.4473402426661639,0.3887456069877502,0.33117257519933974,0.32343067385359614,-1,0.6354813990562568,-1,0.33696687049181007,0.24348392301603639,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,0.39075501839564675,-1,0.2978472015130329,-1,0.11651065311432807,0.14440760245050133,0.2388740400113647,0.15059060866639773,0.1659076907155479,0.20819657452547657,-1,0.34543795155006496,-1,0.14125032214835864,0.1682026585039803,-1
parliament,-1,0.5052520086312162,-1,0.5183188474999004,-1,0.32737425876250925,0.49968165282990307,0.5053842586704108,0.34394217393933535,0.33331097592454406,0.24203367109600737,-1,0.5546786193672126,-1,0.33641964281003256,0.3241702229427035,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
