model,leanne,wood,has,n't,confirmed,that,she,would,n't,vote,with,the,tories,'',he,stated,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.1397168619691329,0.3263888175785965,-1,-1,0.4184859039030242,-1,-1,-1,-1,0.5871209748503311,-1,-1,0.9343322252274346,-1,-1,0.30358350763393216,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,0.11129274723692739,0.34346830610184087,-1,-1,0.5313529223611219,-1,-1,-1,-1,0.40013998167085263,-1,-1,0.4112173710618968,-1,-1,0.32756266467243855,-1
labour,0.21270189905169312,0.45877063356220305,-1,-1,0.4468733765905708,-1,-1,-1,-1,0.6773541799699948,-1,-1,0.747701858334074,-1,-1,0.32208272871342625,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,0.5252948715702044,0.5870241980169436,-1,-1,0.3295912035493298,-1,-1,-1,-1,0.4024833512164814,-1,-1,0.4578529396164295,-1,-1,0.26559065012856287,-1
cymru,0.43158595411371437,0.5427339817935126,-1,-1,0.30129573506309815,-1,-1,-1,-1,0.304068157185007,-1,-1,0.15801840372539355,-1,-1,0.2490378141762395,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-0.0016623313053603095,0.20688474225598663,-1,-1,0.43357142208219357,-1,-1,-1,-1,0.32558189330837295,-1,-1,0.3702998844776294,-1,-1,0.2133263693132147,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-0.25017035209832694,-0.46011144904071744,-1,-1,-0.4689538243392064,-1,-1,-1,-1,-0.3283357275490837,-1,-1,-0.23821887638774486,-1,-1,-0.11575330732111677,-1
squabble,-0.2420074082178978,-0.42459688112873106,-1,-1,-0.3799128129311622,-1,-1,-1,-1,-0.13379808940259608,-1,-1,-0.0014927263649799904,-1,-1,-0.33130943052143436,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,0.025029131131944715,0.24348392301603639,-1,-1,0.4107693274760795,-1,-1,-1,-1,0.5172235281406935,-1,-1,0.4915091959046025,-1,-1,0.3208837671803926,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,0.0028330436310732843,0.1682026585039803,-1,-1,0.20466567017550252,-1,-1,-1,-1,0.5177460052092686,-1,-1,0.3771397308646012,-1,-1,0.26121707727330623,-1
parliament,0.015370739640502729,0.3241702229427035,-1,-1,0.5446764907687972,-1,-1,-1,-1,0.743411455633046,-1,-1,0.5221556776087343,-1,-1,0.35428540046960566,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
