model,``,she,'s,the,one,that,'s,got,a,question,to,answer,about,that,not,labour,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,-1,-1,0.3696784892528685,-1,-1,0.4003701465819751,-1,0.39754712145943305,-1,0.3875997134650697,-1,-1,-1,0.8236890864033051,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,-1,-1,-1,0.4295669222665006,-1,-1,0.28355489030887415,-1,0.35164889015094136,-1,0.29450456275334114,-1,-1,-1,0.5647363068807054,-1
labour,-1,-1,-1,-1,0.4317539440439697,-1,-1,0.3966679167973004,-1,0.4773334819158166,-1,0.40597541969351614,-1,-1,-1,1.0,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,-1,-1,-1,0.2371774329652202,-1,-1,0.21677884391185032,-1,0.2775921893450477,-1,0.24163334935743075,-1,-1,-1,0.6221267726810942,-1
cymru,-1,-1,-1,-1,0.2008049221548085,-1,-1,0.22532918227494103,-1,0.2654895468916101,-1,0.2181314110775623,-1,-1,-1,0.36908861204081933,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,-1,-1,-1,0.4295239617488258,-1,-1,0.5263952613002094,-1,0.3868262042763315,-1,0.32535564135480877,-1,-1,-1,0.32403730309184886,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-1,-1,-1,-0.27152399840877783,-1,-1,-0.3171498638500245,-1,-0.1418884389082491,-1,-0.053899743907606545,-1,-1,-1,-0.42605310020170517,-1
squabble,-1,-1,-1,-1,-0.2841229326026611,-1,-1,-0.16204112998677256,-1,-0.022671254612221192,-1,-0.0010014648033949136,-1,-1,-1,-0.18619740751808656,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,-1,-1,-1,0.3888821406155891,-1,-1,0.4904381647193241,-1,0.42560081435619646,-1,0.4427644446645659,-1,-1,-1,0.6031769065868179,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,-1,-1,-1,0.20003922131052732,-1,-1,0.2615242217144711,-1,0.3449581317609154,-1,0.26967505700707584,-1,-1,-1,0.3984065824661087,-1
parliament,-1,-1,-1,-1,0.43033267603540815,-1,-1,0.3765607171380292,-1,0.49259116281037474,-1,0.3758968749831797,-1,-1,-1,0.6822472044578055,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
