model,'',on,behalf,of,plaid,cymru,dr,dafydd,trystan,said,his,party,'s,view,was,absolutely,clear,:,``,we,will,not,vote,for,a,tory,prime,minister,neither,will,we,vote,for,tory,policies,imposed,by,a,labour,party,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,0.30056012521718234,-1,0.5558952758906905,0.27156652493529143,0.27763813783257385,0.020488723420713062,-0.24106603799259796,-1,-1,0.6818745965120392,-1,0.3146172843796813,-1,0.24892293961747913,0.4375875542732425,-1,-1,-1,-1,-1,0.5871209748503311,-1,-1,0.7542603176566227,0.45262046737273387,0.38720178500267655,0.4439112639200451,-1,-1,0.5871209748503311,-1,0.7542603176566227,0.4429737827942799,0.33514459818733,-1,-1,0.8236890864033051,0.6818745965120392,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,-1,0.48229612042598435,-1,0.3532259047621289,0.21808549522013754,0.236362082375965,-0.03128045675622548,-0.25675332848185994,-1,-1,0.5309456558480403,-1,0.26159259102563415,-1,0.1371609477271638,0.37915943211225767,-1,-1,-1,-1,-1,0.40013998167085263,-1,-1,0.46074220571595115,0.4915810900359918,0.4198997581573847,0.4674439320969892,-1,-1,0.40013998167085263,-1,0.46074220571595115,0.33832418792646013,0.4879070649734236,-1,-1,0.5647363068807054,0.5309456558480403,-1
labour,-1,-1,0.34103453352046087,-1,0.6221267726810942,0.36908861204081933,0.38972400143818753,0.1111665517020407,-0.18895861395339608,-1,-1,0.8423679473936713,-1,0.3962035313557326,-1,0.20204755350374481,0.49201751724401577,-1,-1,-1,-1,-1,0.6773541799699948,-1,-1,0.8674559750502415,0.5628651598382923,0.528456687810422,0.4613266830424938,-1,-1,0.6773541799699948,-1,0.8674559750502415,0.5549488391589434,0.3866306992155071,-1,-1,1.0,0.8423679473936713,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,-1,0.2519002895835649,-1,1.0,0.8510553836541459,0.28748838452854764,0.24989485790337973,-0.25785258455419346,-1,-1,0.4913012295989563,-1,0.21379922893698033,-1,0.20776350933205112,0.2581231653276026,-1,-1,-1,-1,-1,0.4024833512164814,-1,-1,0.5379804844625968,0.39397816307106415,0.35077546480282007,0.40715377962839483,-1,-1,0.4024833512164814,-1,0.5379804844625968,0.20751581706355604,0.0931193983945523,-1,-1,0.6221267726810942,0.4913012295989563,-1
cymru,-1,-1,0.3050570377749222,-1,0.8510553836541459,1.0,0.2656631993703935,0.2058672745567225,-0.375383291399336,-1,-1,0.3285510538351948,-1,0.23386373844190722,-1,0.22908756482897585,0.14852537150431655,-1,-1,-1,-1,-1,0.304068157185007,-1,-1,0.2731273236973515,0.3242976132401785,0.3337300446442544,0.29773386943208746,-1,-1,0.304068157185007,-1,0.2731273236973515,0.08544882670951037,-0.0004894908265424824,-1,-1,0.36908861204081933,0.3285510538351948,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
