model,glamorgan,cricket,club,chief,executive,hugh,morris,described,him,as,``,a,hugely,talented,cricketer,'',who,had,an,outstanding,record,for,pontarddulais,cricket,club,.
tributes,0.03947875907498177,-0.02093494300461929,0.16459107798514316,0.032553515730344595,-0.008028273644179906,-0.002458466247421409,0.07651726643374979,0.19019837149568364,-1,-1,-1,-1,0.13126450059300088,0.12320516269398185,-0.0676628357025042,-1,-1,-1,-1,0.26390910121646827,0.21350837179737292,-1,-0.161346584195333,-0.02093494300461929,0.16459107798514316,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
paid,0.2129846648859688,0.290867848630032,0.4717222492406501,0.33740864741286825,0.34828777319291815,0.013034186310988294,0.18672436744131848,0.3732892049366541,-1,-1,-1,-1,0.25685245486487784,0.22942602137229406,0.09413478622503457,-1,-1,-1,-1,0.5027661464541267,0.5353422287585502,-1,-0.3560635719664953,0.290867848630032,0.4717222492406501,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
former,0.5792275984934004,0.5688381516935087,0.661316561589811,0.7230632556358817,0.6223604878746958,0.19748621503381714,0.3432044288292576,0.5336150817737916,-1,-1,-1,-1,0.1425188778712585,0.3335801881511442,0.4958383327796315,-1,-1,-1,-1,0.34844806653188654,0.45285426693604847,-1,-0.2133608911816256,0.5688381516935087,0.661316561589811,-1
glamorgan,1.0,0.5620859511676922,0.5154159501318148,0.48661124283713053,0.4337615829613095,0.2685364362534699,0.6311019717414396,0.26159556886418067,-1,-1,-1,-1,0.0920916035203655,0.162666539186769,0.34616267702407466,-1,-1,-1,-1,0.21084741633869408,0.31996540528343353,-1,-0.028797098264464083,0.5620859511676922,0.5154159501318148,-1
cricketer,0.34616267702407466,0.5259806138002127,0.31624131984462367,0.34989925766111507,0.2570778664574016,0.14875362436375528,0.08456548854088053,0.2395309729142221,-1,-1,-1,-1,0.41725366995488566,0.6044937249586219,1.0,-1,-1,-1,-1,0.48957270132374864,0.3232714840206423,-1,-0.09319086467679605,0.5259806138002127,0.31624131984462367,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dead,0.21751804179940892,0.14985068965191484,0.2904330394875414,0.19214603845730993,0.09595391324835556,-0.05734632306885068,0.2441774532793043,0.44405023199942173,-1,-1,-1,-1,0.11121295637180895,0.2814892580965095,0.030050344371621462,-1,-1,-1,-1,0.26657382336316704,0.3057885208715654,-1,-0.26509962852720603,0.14985068965191484,0.2904330394875414,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
swansea,0.7545671475982344,0.6209156035870901,0.7225614026017638,0.5053064784597429,0.45170223286998823,0.1301054564857248,0.4537458472868251,0.37793818704141835,-1,-1,-1,-1,0.21059843617345886,0.18166636174432227,0.2646584034018371,-1,-1,-1,-1,0.25606230387213746,0.39199375620457033,-1,-0.11491090902761658,0.6209156035870901,0.7225614026017638,-1
flat,0.26000800045477757,0.2684153036192981,0.3440598595703179,0.1358659691429731,0.06805116075845252,-0.11091133581281376,0.11813590675329322,0.35456634011947585,-1,-1,-1,-1,0.17368745512703154,0.09887470341060578,0.00321474540884914,-1,-1,-1,-1,0.3205333281403273,0.43674311085190487,-1,-0.28410147571067945,0.2684153036192981,0.3440598595703179,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.392031506787051,0.3825063246730931,0.47135685689421214,0.3477219218872667,0.32272041194492407,0.05551121400525039,0.2581435691373901,0.43008920812437146,-1,-1,-1,-1,0.1964687081545271,0.04655722253238337,-0.030791004861312032,-1,-1,-1,-1,0.2703450114814979,0.39284037674549555,-1,-0.2624820775382568,0.3825063246730931,0.47135685689421214,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
