model,tributes,were,also,paid,on,social,media,from,sporting,figures,including,steve,james,edward,bevan,sean,holley,john,devereux,and,rick,o'shea,.
tributes,1.0,-1,-1,0.560527640404092,-1,0.34900629701093044,0.3364308089319116,-1,0.11340385879595327,0.2335637636303004,0.28774992250402076,0.07000660020825855,0.1339923018816993,0.18116065352240096,0.022762811301225372,0.08324626169574101,-0.11835375560353967,0.17826463939525405,-0.139970334270205,-1,-0.19820851343604784,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
paid,0.560527640404092,-1,-1,1.0,-1,0.48644831231585206,0.42695160637282925,-1,0.12290774259638138,0.4553403546519096,0.43290677180601456,0.3105327516398926,0.3955449830683747,0.18607402366657722,0.03641754251395324,0.16752866701666913,-0.34764434928710175,0.4392324700627446,-0.31767360200566586,-1,-0.22109811689711734,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
former,0.17743326677129923,-1,-1,0.4275342593079704,-1,0.3833312629149326,0.37554843674346094,-1,0.31782585205833036,0.3306335200969367,0.5501038552265535,0.5812440927825616,0.5589178514271602,0.3405601562905428,0.26352961022378163,0.3082509664837083,-0.03369890021962041,0.6603826871365174,-0.21528596666513833,-1,0.24650603002994564,-1,-1
glamorgan,0.03947875907498177,-1,-1,0.2129846648859688,-1,0.18421192631219152,0.15785074828718304,-1,0.3123833947935677,0.1798159652173721,0.34587850236439144,0.4733260699588999,0.4377091465640156,0.2041325506676437,0.5588708430091837,0.37388139408310606,0.05466674659935511,0.3943705194384408,-0.1077357609091012,-1,0.33070494158247143,-1,-1
cricketer,-0.0676628357025042,-1,-1,0.09413478622503457,-1,0.06490929074765706,0.05160634510167972,-1,0.2696541614551182,0.15786071159173298,0.15036001589223913,0.3884824495453716,0.22760701013872464,0.22863896786507876,0.2003789911358137,-0.0009207547297747087,-0.00410041456283361,0.3303235057576258,-0.1932885913600022,-1,0.40000890474415574,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dead,0.22972464483399713,-1,-1,0.35823596997894414,-1,0.19121283058756666,0.3124607654449698,-1,0.11515714945763111,0.27850894146238836,0.38463495220612287,0.14962155012622824,0.29482046611946244,0.23346526773836374,0.10973627027989474,0.13358257769843185,-0.15836621731236544,0.2891234063222152,-0.14173410121907826,-1,-0.03699672781065222,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
swansea,0.16894056460069662,-1,-1,0.4498860336858619,-1,0.2731403528535299,0.284693061613993,-1,0.2841161742158558,0.2701767694224759,0.40843559903930515,0.5219728492158324,0.5018953462913536,0.2555173902749168,0.3882899667914649,0.39397439144429147,-0.07793769486611057,0.5478825329626973,-0.2058103083229914,-1,0.07516914692447307,-1,-1
flat,0.231220778470981,-1,-1,0.44997752525257595,-1,0.22376452308833927,0.22598485109530753,-1,0.11530199069272307,0.20655782151665114,0.2837702799224373,0.11949127133064086,0.25962000106257443,0.1713521725918068,0.042420704979549084,0.10333164715236642,-0.3773460849727215,0.19111329698717183,-0.26149748242374704,-1,-0.019183752871994475,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.14689499799782413,-1,-1,0.37465381976782086,-1,0.3220040161033102,0.42883127585226566,-1,0.18018543785700314,0.45852007397602135,0.3804562985817923,0.26057650277562605,0.3342096387287514,0.11734160848610264,0.1562568154327687,0.2658178071285646,-0.24072040616888968,0.3394348580067117,-0.07050913532228398,-1,-0.12294800521733151,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
