model,he,beat,london,assembly,member,andrew,boff,mep,syed,kamall,and,london,'s,deputy,mayor,for,crime,and,policing,stephen,greenhalgh,.
zac,-1,0.020571801224217867,0.06484273724752887,0.19172128465391935,0.03199053492810133,0.2800271237302864,0.3793318543995021,0.5663900168555576,0.27459643726900973,0.336387689512204,-1,0.06484273724752887,-1,0.26972553120485965,0.37367569806041545,-1,-0.22964413123119876,-1,0.00762016639012808,0.22396345126770933,0.28276562097154856,-1
goldsmith,-1,0.10007705629952957,0.1709533309778417,0.23021027739925848,0.09117571490135201,0.3963112904667423,0.3293880256086763,0.5269205883685201,0.35813161133101656,0.27655729983579613,-1,0.1709533309778417,-1,0.34483132292119834,0.43828075783915954,-1,-0.1659142778207472,-1,0.07977105107789806,0.3801490567278274,0.26203037156854925,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,-1,0.2167960950981349,0.3570834190832648,0.42819533151739697,0.29604338032002,0.18843767417658508,-0.24339658327949665,0.2395102130538791,0.053914676421269236,-0.30247767221583954,-1,0.3570834190832648,-1,0.2510441469188742,0.3232658605394889,-1,0.19991468430262171,-1,0.19266439313496164,0.1242531255010959,-0.19730243137173975,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,-1,0.37139266509958935,0.5616798603493458,0.5484193860334724,0.3796064234736336,0.25383998801103114,-0.16709398523939134,0.13301701401272958,-0.0825761493604309,-0.49705271133283313,-1,0.5616798603493458,-1,0.3309283514797229,0.3341593407069503,-1,0.3015683650874119,-1,0.2636086766020038,0.2092154758088225,-0.22283636614402358,-1
london,-1,0.30560341253350976,1.0,0.4764147299002861,0.3857908778106016,0.3319154379955753,-0.03606557219906659,0.29835643542285384,0.01963226150102848,-0.3112701095762629,-1,1.0,-1,0.39735466813105924,0.6665607137434783,-1,0.36433859314821104,-1,0.470471367549657,0.2688056994772592,-0.1103636060026929,-1
mayoral,-1,-0.003799772640664223,0.4917446893709636,0.54117482390499,0.27636082755216673,0.11104614945972813,0.16302986937491948,0.359734669438309,0.06963051813641397,0.011346621462109074,-1,0.4917446893709636,-1,0.3017348414711595,0.5162714217834855,-1,0.02837419616630099,-1,0.23549720342239688,-0.005867669757972038,0.0025824657851669652,-1
election,-1,0.2078759435205484,0.3872243491868883,0.7287363217971009,0.45893367206270486,0.2972757436569957,-0.05594146034915615,0.2672960872225416,-0.05453796286567525,-0.3603167090437751,-1,0.3872243491868883,-1,0.42965571174699446,0.3351192541057013,-1,0.2692490228667448,-1,0.29954344193886273,0.21325952104285284,-0.19972506996434713,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.3416592357251269,0.3474895050224256,0.5451735957335574,0.44202096562883586,0.41292370081240726,-0.06461220308829896,0.41626367966214783,0.015279817078466373,-0.32289122199165265,-1,0.3474895050224256,-1,0.4575818587968795,0.32806770472715663,-1,0.24153293151703314,-1,0.275383074787099,0.3424165631165996,-0.11850678277615456,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,-1,0.221168055913614,0.37235744080174993,0.40850061306448404,0.38145684111221745,0.36976392655263857,-0.07694113298039218,0.17815543733166672,-0.04277325279018829,-0.32983009527645324,-1,0.37235744080174993,-1,0.4836472539259261,0.381431053861248,-1,0.17310312572569164,-1,0.3132395328675579,0.36399661314319587,-0.10486283613965419,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
