model,both,characteristics,could,come,to,feature,heavily,in,the,months,to,come,.
zac,-0.08440030351969807,-0.03414500340845472,-1,-0.14214724345471996,-1,-0.05227178114647302,0.01443242850130766,-1,-1,-0.20057885508530782,-1,-0.14214724345471996,-1
goldsmith,0.06587567917254156,-0.04770470943294214,-1,-0.005152185121249264,-1,0.04593775085546936,0.10689319978053224,-1,-1,-0.02847219676710333,-1,-0.005152185121249264,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.4008787265359933,0.2354420085813662,-1,0.41084165402885386,-1,0.4687462684012408,0.13745981323590395,-1,-1,0.32291712177297793,-1,0.41084165402885386,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.5429591034799308,0.06234618313971796,-1,0.43084907677402207,-1,0.42900462458421695,0.13932065937256122,-1,-1,0.6271832096367475,-1,0.43084907677402207,-1
london,0.4837828118815848,-0.0672263159248967,-1,0.386794061350329,-1,0.3386893313839957,0.10257220916303789,-1,-1,0.4146584520040585,-1,0.386794061350329,-1
mayoral,0.15150896114331713,0.055015029603477594,-1,0.0040286561322371295,-1,0.13637443368118185,-0.03474558654297066,-1,-1,0.0556095349459077,-1,0.0040286561322371295,-1
election,0.4335353424068715,0.14348900220008376,-1,0.4306825943996777,-1,0.2666319416092666,0.11914219526652814,-1,-1,0.4839513362268921,-1,0.4306825943996777,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.5763699729654201,0.17409800718054147,-1,0.4377575642096414,-1,0.22651357409959338,0.20002678900651416,-1,-1,0.3866799975632409,-1,0.4377575642096414,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.48475791133358204,0.017007890768231393,-1,0.3859281745573786,-1,0.3928944865410062,0.20048663900061614,-1,-1,0.5206443999494835,-1,0.3859281745573786,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
