model,read,the,whole,article,.
zac,-0.21799068502589813,-1,-0.19108231528444763,-0.06493130710072204,-1
goldsmith,-0.03899069298344915,-1,-0.09148633543697349,0.08946951766908473,-1
will,-1,-1,-1,-1,-1
contest,0.23277382532516044,-1,0.28464843061865075,0.32678413221105806,-1
the,-1,-1,-1,-1,-1
2016,0.3691992527487229,-1,0.38594308961462254,0.5224423012704755,-1
london,0.3197694839801388,-1,0.41934053876471533,0.15805868807087486,-1
mayoral,-0.04851218470285046,-1,0.11914587921336806,0.015390514948714795,-1
election,0.34125897148364204,-1,0.3298799707579658,0.4438811331486374,-1
for,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1
conservatives,0.28602945807545965,-1,0.20464955639587434,0.29043579849123347,-1
it,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1
announced,0.2728787856188346,-1,0.269333046544455,0.45239989071987075,-1
.,-1,-1,-1,-1,-1
