model,mr,goldsmith,-,who,first,entered,parliament,in,2010,-,told,the,bbc,'s,daily,politics,that,he,hoped,his,environmental,record,would,appeal,to,green,and,lib,dem,voters,and,he,also,hoped,to,``,reach,out,'',to,ukip,supporters,frustrated,with,politics,as,usual,and,the,uk,'s,relationship,with,the,eu,.
zac,0.20413012936015174,0.9222478657279439,-1,-1,-1,-0.054663667462202525,0.0910525018611047,-1,0.007481277458579294,-1,-1,-1,-0.12211976186493056,-1,-0.1447380706789112,0.01935691713711518,-1,-1,0.03463118342396909,-1,-0.07066844658445737,-0.23155953900132764,-1,-0.10878059095887038,-1,0.060126985678797706,-1,0.39284208908671137,0.5054001263098751,0.12714227485767982,-1,-1,-1,0.03463118342396909,-1,-1,-0.14001559510928585,-1,-1,-1,0.35167016305763954,0.04167993233465128,0.0032081074631374884,-1,0.01935691713711518,-1,-0.06657391415813319,-1,-1,-0.12796985040908426,-1,-0.14399979256527762,-1,-1,-0.11135330254115083,-1
goldsmith,0.44848750481244204,1.0,-1,-1,-1,0.10122414684766146,0.18375093010247645,-1,0.14134080646370306,-1,-1,-1,0.009919390562844632,-1,-0.03330122578085626,0.07008175017298313,-1,-1,0.21034436702072967,-1,-0.06144706871283012,-0.09551289911756378,-1,0.0346621191329749,-1,0.15639123499756025,-1,0.3977506738816283,0.47865741607962176,0.18431171296244997,-1,-1,-1,0.21034436702072967,-1,-1,-0.026092713480680985,-1,-1,-1,0.4237509265158903,0.14384958934932568,0.11891856445996019,-1,0.07008175017298313,-1,0.035326799729128555,-1,-1,-0.0070303081643288134,-1,-0.019002307037067512,-1,-1,-0.03457963954827381,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.28760453918666795,0.2811662993753623,-1,-1,-1,0.40619057266270775,0.4542371619986991,-1,0.4834270397376398,-1,-1,-1,0.2126676976378895,-1,0.1653471360746518,0.38773158539877217,-1,-1,0.35556890163459876,-1,0.19896005225897728,0.3327672300686543,-1,0.2971007954460635,-1,0.33292392379490066,-1,0.3218091314344894,0.28406621682658306,0.46167377718878333,-1,-1,-1,0.35556890163459876,-1,-1,0.31859416453010114,-1,-1,-1,0.45694859122213594,0.3380135501525483,0.26288858936858606,-1,0.38773158539877217,-1,0.2998251282802751,-1,-1,0.28769020993607386,-1,0.31887210681173095,-1,-1,0.24401099932366843,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.24817398543470315,0.06149698564773354,-1,-1,-1,0.45090516639694367,0.558253528051489,-1,0.8086460678214243,-1,-1,-1,0.4105322153319838,-1,0.35190712557211223,0.34012883118241366,-1,-1,0.37604548922775427,-1,0.15387742870376953,0.6137567863618923,-1,0.41383702476971673,-1,0.38716806790498826,-1,0.32138634834957935,0.24685447717737308,0.3680095824995465,-1,-1,-1,0.37604548922775427,-1,-1,0.532117731789864,-1,-1,-1,0.46439359014939663,0.3248159246383955,0.19697331192967726,-1,0.34012883118241366,-1,0.2929622846556712,-1,-1,0.49965990161849705,-1,0.2838686054560188,-1,-1,0.4145538135448885,-1
london,0.2811928316939005,0.1709533309778417,-1,-1,-1,0.5076294431351255,0.45739438220110906,-1,0.5071324573890273,-1,-1,-1,0.4204692464795825,-1,0.36817757028568454,0.3760800366787933,-1,-1,0.3999819382519407,-1,0.19810138151932888,0.40655780197951175,-1,0.27615251359099435,-1,0.4980998837797237,-1,0.2056440205544099,0.16705716813369098,0.3210474988795431,-1,-1,-1,0.3999819382519407,-1,-1,0.3391550399044121,-1,-1,-1,0.44574289586022875,0.3242953126564758,0.13543053359802493,-1,0.3760800366787933,-1,0.23785836637219582,-1,-1,0.4667474287662883,-1,0.22376167168751815,-1,-1,0.2805800791208246,-1
mayoral,0.10779182095373274,0.43802319857532956,-1,-1,-1,0.1506699166883878,0.3410998265815697,-1,0.35858062575137106,-1,-1,-1,0.06505903824137216,-1,0.13982492688071124,0.16881376964021666,-1,-1,0.17115790915360118,-1,0.09596034219917271,0.08833698593898076,-1,0.02651349733863151,-1,0.20469007115990934,-1,0.3613868087643012,0.4038225519934546,0.2776866702214057,-1,-1,-1,0.17115790915360118,-1,-1,0.08443052716475041,-1,-1,-1,0.3977510259944368,0.14062482006092114,-0.07433879041610769,-1,0.16881376964021666,-1,0.160435464244013,-1,-1,0.13551965842678804,-1,0.07562776399229287,-1,-1,0.14533806093204182,-1
election,0.3339509714336646,0.23103425844980818,-1,-1,-1,0.38367582560650293,0.6593176671707404,-1,0.6626550999168502,-1,-1,-1,0.3568189205478114,-1,0.29799132001059847,0.4077910481265943,-1,-1,0.3861669287062435,-1,0.2622534906134697,0.36269027669529375,-1,0.3983572191617828,-1,0.3729430850874069,-1,0.4283323777077144,0.40163575098023974,0.5083326857640867,-1,-1,-1,0.3861669287062435,-1,-1,0.35875213814780604,-1,-1,-1,0.601014565282675,0.3874444075638548,0.22112686697844364,-1,0.4077910481265943,-1,0.3515471832131739,-1,-1,0.41510776178977227,-1,0.27752505528919613,-1,-1,0.4145317430016232,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
