model,mr,goldsmith,'s,main,rival,is,likely,to,be,labour,'s,sadiq,khan,.
zac,0.20413012936015174,0.9222478657279439,-1,-0.015422492803600862,0.23000713212994006,-1,-0.12217763792278635,-1,-1,0.33151782336732594,-1,0.43723383756667533,0.28787305097041305,-1
goldsmith,0.44848750481244204,1.0,-1,0.050185965081047446,0.26461031500686105,-1,0.024845789017691522,-1,-1,0.3915914058099692,-1,0.4298999768365461,0.42889572013178756,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.28760453918666795,0.2811662993753623,-1,0.3949489042625962,0.4290912329940857,-1,0.474560324204933,-1,-1,0.5538034947054802,-1,0.1440722977773723,0.24464506431048216,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.24817398543470315,0.06149698564773354,-1,0.23871943247696226,0.23465090228717034,-1,0.5451772745746446,-1,-1,0.42517036256556784,-1,0.11241007201101316,0.2568012965451052,-1
london,0.2811928316939005,0.1709533309778417,-1,0.39655075549705,0.2964487869555449,-1,0.4138084391802652,-1,-1,0.41198278046064174,-1,0.4847145116174477,0.4593216320259712,-1
mayoral,0.10779182095373274,0.43802319857532956,-1,0.2606377444474284,0.3220674526081069,-1,0.15451111669233253,-1,-1,0.3984747813961016,-1,0.4501196484591572,0.24786313822025008,-1
election,0.3339509714336646,0.23103425844980818,-1,0.31668427050464576,0.38817339594087286,-1,0.5441753074725074,-1,-1,0.6682203632033945,-1,0.09206186260941784,0.22565104111908896,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.2989377045096141,0.2901973345726019,-1,0.24935761874858642,0.4356724190831478,-1,0.49451101587965474,-1,-1,0.8236890864033051,-1,0.12344112238701643,0.24923419990945472,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.3372403204301986,0.1358446033474925,-1,0.24711643997984378,0.2846554798687957,-1,0.467479738318177,-1,-1,0.4774495607148921,-1,0.1357448561328939,0.307264229897088,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
