model,caroline,pidgeon,is,the,lib,dem,candidate,sian,berry,will,contest,the,election,for,the,greens,and,ukip,has,chosen,its,culture,spokesman,peter,whittle,.
zac,0.45135630918977865,0.5680626559730929,-1,-1,0.39284208908671137,0.5054001263098751,0.44342900580190525,0.503600697882983,0.11250208041434262,-1,0.19899161825205458,-1,0.13563639144577488,-1,-1,0.2824284600867898,-1,0.35167016305763954,-1,0.20060353520672325,-1,0.035933483444497094,0.09002680427581733,0.17666699974876132,0.34312001368928435,-1
goldsmith,0.467259998420283,0.526963860975826,-1,-1,0.3977506738816283,0.47865741607962176,0.4554120895597995,0.5276858803295713,0.14809446029879425,-1,0.2811662993753623,-1,0.23103425844980818,-1,-1,0.26951316464563324,-1,0.4237509265158903,-1,0.3112559889945399,-1,0.09229074086236677,0.19995837877013733,0.3187345792911651,0.44519418600911387,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.05606591166871866,-0.11726515468154264,-1,-1,0.3218091314344894,0.28406621682658306,0.6073947285376697,-0.006635473458862506,0.07934153611505457,-1,1.0,-1,0.6247647734283355,-1,-1,0.25162283985683165,-1,0.45694859122213594,-1,0.4924330095346241,-1,0.2258795201082251,0.10465505212254389,0.13304432164930935,0.006830052898473937,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.05527453799309934,-0.21084471249557168,-1,-1,0.32138634834957935,0.24685447717737308,0.4023136185524073,-0.012502880119461768,0.08563404286909782,-1,0.5166413796704963,-1,0.7015278108925389,-1,-1,0.2799391965065767,-1,0.46439359014939663,-1,0.3912747517892675,-1,0.3545352316830812,0.23937860289902813,0.2213819084680957,-0.07274577176895525,-1
london,0.11158478166318186,-0.10777418363822067,-1,-1,0.2056440205544099,0.16705716813369098,0.35464041132528856,0.09539964123919997,0.17083320295034388,-1,0.3570834190832648,-1,0.3872243491868883,-1,-1,0.23173037500393645,-1,0.44574289586022875,-1,0.35528883175268533,-1,0.4399328315090131,0.41711949895413025,0.27550096270742586,0.017063377728114504,-1
mayoral,0.08398708332562588,0.09495442588534242,-1,-1,0.3613868087643012,0.4038225519934546,0.6473889819154327,0.13442313865850153,-0.024904670585831568,-1,0.45394698900355535,-1,0.6164059924583578,-1,-1,0.29766280513313315,-1,0.3977510259944368,-1,0.25561985989476277,-1,0.2737020197893343,0.15545701513148158,-0.00014266546475649733,-0.02890477020958815,-1
election,0.10149454704413874,-0.042307500793200115,-1,-1,0.4283323777077144,0.40163575098023974,0.7138136982656643,0.011817428766224047,0.03206469976831394,-1,0.6247647734283355,-1,1.0,-1,-1,0.35667710714154355,-1,0.601014565282675,-1,0.42864535935560677,-1,0.41787955487503403,0.3589601063577652,0.21483496884849018,0.014265988725465029,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.18831271962771956,0.0918159418464154,-1,-1,0.7958710805981234,0.6792747963358495,0.6163252256445925,0.12198862799290922,0.11143378681298233,-1,0.47306284077429883,-1,0.6239586612281794,-1,-1,0.7915822866003217,-1,0.7435481607375712,-1,0.44993188136566764,-1,0.3333137945814195,0.47827341445878313,0.29647508998778116,0.06676383030923272,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.10541464355184571,-0.0029200567715808035,-1,-1,0.35429074568386,0.31661405058558834,0.28712290867554,0.039023204956905255,0.14267035328211042,-1,0.3353311745046288,-1,0.43469779722844715,-1,-1,0.3018826097299949,-1,0.49848624660959373,-1,0.47349036837760317,-1,0.38621489492859074,0.4656214055437109,0.3656114933415546,0.14539427849724018,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
