model,former,respect,mp,george,galloway,is,also,running,.
zac,0.11946770953337194,0.010288388995113973,0.4777177897489234,0.21568731689233422,0.37741804397783874,-1,-1,-0.22272062874140475,-1
goldsmith,0.18660154432408926,0.09480380192466731,0.48382333999783245,0.3977635938116659,0.42798458727944455,-1,-1,-0.052214095135487915,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.25373565068159765,0.2813237036929499,0.3563734585241918,0.21277731139660638,0.05609510274574114,-1,-1,0.4046515309822868,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.35445545331449835,0.24769997284906065,0.21081388486089447,0.35068379565620633,0.12365135146809914,-1,-1,0.5526435185345585,-1
london,0.4579672644361865,0.17620771490016596,0.41060960540850944,0.4638016988489233,0.37065443099729856,-1,-1,0.5467546348214474,-1
mayoral,0.21227169492116071,0.0577617411868685,0.3182730336596611,0.16665449807685007,0.29600591586742997,-1,-1,0.07909086369690543,-1
election,0.30635964459302545,0.31760581466423843,0.404956094577119,0.2823329231457866,0.1475342559331395,-1,-1,0.44970978216365043,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.3720533441146623,0.3256267211146241,0.5254322565214797,0.30794881307511224,0.2183780788693498,-1,-1,0.38293173269313185,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.4543881539433732,0.12179365927389862,0.2701006313504499,0.45768290022928015,0.2179175502085018,-1,-1,0.46437296382927906,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
