model,mr,goldsmith,who,was,the,favourite,for,the,tory,nomination,balloted,his,constituents,earlier,this,year,to,seek,permission,to,stand,.
zac,0.20413012936015174,0.9222478657279439,-1,-1,-1,-0.014983653246050777,-1,-1,0.43300700118070146,0.3914675934926829,-0.040479753590497713,-1,0.13480167457497938,-0.10572210517676939,-1,-0.1290244029646157,-1,0.029675383313072734,-0.035968007805232904,-1,0.03917301945911278,-1
goldsmith,0.44848750481244204,1.0,-1,-1,-1,0.05049771819238402,-1,-1,0.40446202425763245,0.4177460233445548,-0.12227791211853978,-1,0.1881982000450697,0.08565721881367883,-1,0.056222353685084214,-1,0.10881078123224175,0.052279511511957866,-1,0.17513014570803354,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.28760453918666795,0.2811662993753623,-1,-1,-1,0.390448004343972,-1,-1,0.47944817703674036,0.5445834437070237,0.1612636475714997,-1,0.1467173707659183,0.32352104199182485,-1,0.4665548792921488,-1,0.30465275295386796,0.14100878756685598,-1,0.5468501170270603,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.24817398543470315,0.06149698564773354,-1,-1,-1,0.28782892561488016,-1,-1,0.2577582724638512,0.38719107037629974,0.0838565799368729,-1,0.1179469548849924,0.5457193844424889,-1,0.7538729016485511,-1,0.30014940477839613,0.2165202504004311,-1,0.47808282456994755,-1
london,0.2811928316939005,0.1709533309778417,-1,-1,-1,0.23684731999069397,-1,-1,0.23793115262976117,0.21085213974535888,-0.06328418295786253,-1,0.1270054824241933,0.4746368655186888,-1,0.5587163617634744,-1,0.2516726228328797,0.24106635132153365,-1,0.4033241742935074,-1
mayoral,0.10779182095373274,0.43802319857532956,-1,-1,-1,0.11771399590208298,-1,-1,0.34615524732422465,0.5920486369187283,0.06875131702503723,-1,0.07370163630148763,0.07840088209371854,-1,0.2114886456956907,-1,0.1724381483251759,0.08661775597786725,-1,0.1759170852184807,-1
election,0.3339509714336646,0.23103425844980818,-1,-1,-1,0.3105356928373557,-1,-1,0.5405436742763322,0.6224361603860197,0.14491836746999875,-1,0.1746075171272008,0.48867665935708304,-1,0.5571518391444694,-1,0.3768726715135229,0.263042512071777,-1,0.5478966872609013,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.2989377045096141,0.2901973345726019,-1,-1,-1,0.29643435361593107,-1,-1,0.7542603176566227,0.4015587273394743,0.14867529966105453,-1,0.28372451097854823,0.3952249720749541,-1,0.4341972669595213,-1,0.4019871099963289,0.2649155203590756,-1,0.49106376378825467,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.3372403204301986,0.1358446033474925,-1,-1,-1,0.185156445889185,-1,-1,0.3610499234806205,0.2748385551737441,0.03579719301448303,-1,0.11752002489619484,0.6805553910755706,-1,0.6456218107723556,-1,0.32208220407484567,0.35040023719148583,-1,0.3747804740934575,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
