model,only,a,politician,with,an,acute,sense,of,accountability,would,have,sought,permission,to,stand,through,a,ballot,of,his,constituency,members,in,richmond,and,north,kingston,.
zac,-0.14320285763780038,-1,0.3247568203648662,-1,-1,-0.2190166823007944,-0.1829386468890788,-1,0.0431421984126904,-1,-1,0.05782701978036742,-0.035968007805232904,-1,0.03917301945911278,-0.24217247231356365,-1,-0.15582870263487547,-1,-1,0.26778732371637526,-0.09038992565207415,-1,0.3471897172661629,-1,0.014394700697937135,0.28594707019117527,-1
goldsmith,0.007158706761729028,-1,0.3177406529133372,-1,-1,-0.1704004884511383,-0.07620327332358756,-1,0.03301455737464898,-1,-1,0.1864940609608592,0.052279511511957866,-1,0.17513014570803354,-0.10690328777545122,-1,-0.12472660710545647,-1,-1,0.2608926772135389,-0.00836031900281986,-1,0.33671647751957323,-1,0.07782109284301097,0.38254337796114934,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.3819230243919054,-1,0.4112915796778942,-1,-1,0.15051131402803208,0.3027380139141873,-1,0.1463556221526494,-1,-1,0.24487067485802438,0.14100878756685598,-1,0.5468501170270603,0.25511865262927613,-1,0.38737730237964185,-1,-1,0.41376460056028064,0.3263206239318772,-1,0.03628901889623515,-1,0.25413844896437976,0.10878421895942247,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.5269974734670705,-1,0.13356201590553352,-1,-1,0.12747609151038897,0.18133600757746815,-1,0.1452128031208646,-1,-1,0.18480247252303006,0.2165202504004311,-1,0.47808282456994755,0.362328231906033,-1,0.2677015806192313,-1,-1,0.3241798898716457,0.39256566089653555,-1,0.06509671733344624,-1,0.39670774555355615,0.21920503076669107,-1
london,0.4206208879565432,-1,0.21211423389492123,-1,-1,0.2613887026630862,0.12992703105318548,-1,0.19764573452852818,-1,-1,0.2359801851420822,0.24106635132153365,-1,0.4033241742935074,0.40249160045681376,-1,0.14150079698034967,-1,-1,0.44759736412902495,0.37258479652806564,-1,0.06401856872010825,-1,0.6552017485578556,0.4689106762260382,-1
mayoral,0.08379873947475813,-1,0.24436593602890644,-1,-1,0.037391326574366834,-0.11665906750875132,-1,0.21667393756768993,-1,-1,-0.004252000691330249,0.08661775597786725,-1,0.1759170852184807,-0.05062106111512388,-1,0.17412838946650377,-1,-1,0.48386453265388396,0.15765414546544454,-1,0.08051248268572486,-1,0.2111076710682025,0.239698581654335,-1
election,0.4069485864268507,-1,0.357663570062831,-1,-1,0.08988687391776984,0.2519134161817296,-1,0.25981205277672625,-1,-1,0.270396416424022,0.263042512071777,-1,0.5478966872609013,0.2786340541266157,-1,0.3651111260392603,-1,-1,0.4849422232236549,0.4391741985483668,-1,0.07045519361244246,-1,0.35240537328610877,0.11754459032130571,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.48101665312958175,-1,0.4545428804454592,-1,-1,0.10783610577544434,0.23733390967980272,-1,0.21331283590986627,-1,-1,0.37486297606553576,0.2649155203590756,-1,0.49106376378825467,0.2662537793533375,-1,0.2370875245826214,-1,-1,0.38979876686225534,0.5323916225561222,-1,0.07736201991856795,-1,0.3332469397836304,0.09105506448234613,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.39848168812400986,-1,0.17037251773715356,-1,-1,0.1019467463233531,0.16846723931237095,-1,0.07285342675800544,-1,-1,0.35805412142445525,0.35040023719148583,-1,0.3747804740934575,0.3015536050569839,-1,0.19182101659768092,-1,-1,0.15502614274052795,0.3926471127019673,-1,0.06423424326815319,-1,0.32402960812136583,0.22918091620346714,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
