model,the,68-year-old,dutchman,was,appointed,in,march,when,the,black,cats,were,one,point,above,the,relegation,zone,.
dick,-1,0.294085362807618,0.43277680580182865,-1,0.25609611120817855,-1,0.02848498725105575,-1,-1,0.04447839134893872,0.01976357599813572,-1,0.06653884365916563,-0.09208289857607599,-0.1694975638391587,-1,-0.25330082320661806,-0.2873738773918666,-1
advocaat,-1,0.22149026058833765,0.33715269518005697,-1,0.13960307577045616,-1,-0.14351881015138757,-1,-1,-0.21020777572767613,-0.09295034687025483,-1,-0.1538596445938154,-0.20816786445853142,-0.3270683792404834,-1,-0.32293175804317276,-0.4343976995808787,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.23071110427688413,0.37094107847536906,-1,0.5599737786662222,-1,0.40810299252644444,-1,-1,0.10186912637342904,0.026480016586401756,-1,0.3010818916954826,0.12047279076419315,0.08811696343601283,-1,0.12397511222467039,-0.004549139957546355,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,-0.045567078327900745,0.12843714049026322,-1,0.3532671903994138,-1,0.39962054099335387,-1,-1,0.3281048742432673,0.34126343519161684,-1,0.34755324687145484,0.30208243167391347,0.40342259572716466,-1,0.3042379564861022,0.3254507529040449,-1
boss,-1,0.016370116539727864,0.3105673475687687,-1,0.619959434808375,-1,0.26698506481250206,-1,-1,0.2010978725287611,0.20859482635336735,-1,0.2919921160698107,0.18608056539059692,0.1384369067981709,-1,0.08029587201127386,0.03718938127019811,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.05972755939254215,0.21883158464955632,-1,0.4339389432152061,-1,0.3230359595326693,-1,-1,0.3630022617113323,0.2299559173154211,-1,0.4044994605502854,0.312655265401937,0.3691234439256932,-1,0.19123736828929072,0.23520637888623575,-1
yet,-1,0.19474247902110842,0.24763337680779907,-1,0.4105058056167892,-1,0.3907744646648812,-1,-1,0.244970520425994,0.2032570887403491,-1,0.5022580299871182,0.4024080407219912,0.3882415890220239,-1,0.2550536184004454,0.2635776117493913,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,-0.060037914320608676,0.2631008496734325,-1,0.23599245402098967,-1,0.3606470781146338,-1,-1,0.27863016027823595,0.21437158724221927,-1,0.47216269019434187,0.4568607346136695,0.4836830999254942,-1,0.36878206041640216,0.41924285999929256,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,-0.003252833512740416,0.20947455540033888,-1,0.3326227210031646,-1,0.4037128535274148,-1,-1,0.3024914012269285,0.3188837465650679,-1,0.49464299645044285,0.41553353004374727,0.5397014233198341,-1,0.545915289254055,0.4996290819145732,-1
league,-1,-0.052996348872723864,0.21926834150657015,-1,0.3320706236510742,-1,0.4457540343605233,-1,-1,0.294363586052953,0.3233324493940558,-1,0.5427455491516405,0.42399438105854437,0.5755307322979659,-1,0.5769342739395511,0.5794399313467045,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,-0.013768275642904504,0.2434415077434644,-1,0.3400459386235425,-1,0.4567770410179014,-1,-1,0.2589401242363477,0.2821614932222496,-1,0.4933971761124919,0.34614428828394406,0.5095242829444041,-1,0.4325662222213378,0.4133995570155121,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
