model,he,guided,them,to,safety,and,was,due,to,leave,the,club,in,the,summer,only,to,sign,a,new,one-year,contract,.
dick,-1,0.2016431699462946,-1,-1,-0.15492565239547007,-1,-1,-1,-1,-0.07620001017954459,-1,-0.018168444596270872,-1,-1,-0.0027949564422358186,-0.053244321961495755,-1,0.0023530660575411533,-1,-1,-0.00802589581207469,0.02950501693001173,-1
advocaat,-1,0.024209589614969662,-1,-1,-0.3267751541875823,-1,-1,-1,-1,-0.24454704469747912,-1,-0.24650937760974312,-1,-1,-0.15079629823207052,-0.15709503644129796,-1,-0.17565115101359385,-1,-1,-0.0709814056494531,-0.1193908606731342,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.4031548284735206,-1,-1,0.21802855346703165,-1,-1,-1,-1,0.3400297676902152,-1,0.35300669705168963,-1,-1,0.30880280012555783,0.28974426341092885,-1,0.1574448391290616,-1,-1,0.20872936815100374,0.27967504446302216,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,0.3136547699331852,-1,-1,0.1413992540549085,-1,-1,-1,-1,0.34457827480836434,-1,0.5346928210711257,-1,-1,0.43354127646890706,0.38089166481131964,-1,0.3470800020708089,-1,-1,0.21000504874271275,0.34585688564376715,-1
boss,-1,0.4433588561586641,-1,-1,0.17990005854780855,-1,-1,-1,-1,0.26375817237987464,-1,0.5908757871731208,-1,-1,0.4052519924559561,0.35318960630112717,-1,0.36052556832407867,-1,-1,0.23410741243984623,0.4497756606460058,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.4817255430207965,-1,-1,0.388330452358406,-1,-1,-1,-1,0.3276674230543706,-1,0.5912309157101902,-1,-1,0.4226640503767731,0.49217683288614245,-1,0.3145008565657723,-1,-1,0.10364220338018759,0.31468948404228003,-1
yet,-1,0.426208383087449,-1,-1,0.32525496641882534,-1,-1,-1,-1,0.44315883776884324,-1,0.48832542382548416,-1,-1,0.4071653489621536,0.6269953582686147,-1,0.5222825706354529,-1,-1,0.2755411562420085,0.39019611535575605,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,0.5097554899691384,-1,-1,0.26781651651659555,-1,-1,-1,-1,0.4239450326137234,-1,0.5381926803357104,-1,-1,0.4035263021435389,0.5120908340952394,-1,0.3326875093049182,-1,-1,0.09014784971381828,0.2773123664563403,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,0.5428953648056304,-1,-1,0.2540312560082423,-1,-1,-1,-1,0.38621742592566866,-1,0.7611015814357843,-1,-1,0.5178031542337501,0.5309376804616004,-1,0.3701628785540061,-1,-1,0.28211045899189946,0.41722398632739777,-1
league,-1,0.580897917380936,-1,-1,0.3191804527432851,-1,-1,-1,-1,0.36585377294211896,-1,0.7783113937633318,-1,-1,0.5342651402505336,0.5725376107913153,-1,0.3679201129347649,-1,-1,0.312037126485462,0.47150455394429935,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,0.5316868580567119,-1,-1,0.23700636834016076,-1,-1,-1,-1,0.3902973156794529,-1,0.6785604662020198,-1,-1,0.6824305502602789,0.5237536051781426,-1,0.36819888192653005,-1,-1,0.33352292383611337,0.5027118002536994,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
