model,the,former,netherlands,russia,and,south,korea,boss,has,seen,his,side,win,just,once,this,season,-,against,league,two,exeter,in,the,league,cup,.
dick,-1,0.18801834908147752,0.21183234364909453,0.06750600577255472,-1,0.024364886760575577,0.19180489560209746,0.31310313491331,-1,0.039298910076606464,-1,-0.05942945389541676,-0.10463060835858906,-0.014102396776571657,0.043718328488691394,-1,-0.055608356015678595,-1,0.1802281113304116,-0.12079379226019293,-0.07074068569808589,0.17223223849644553,-1,-1,-0.12079379226019293,0.01800972660108424,-1
advocaat,-1,-0.0279173313855281,-0.0037851519352678498,-0.08182736664920376,-1,-0.14977700499748803,0.004430496313873822,0.13254844434481095,-1,-0.14232484972461168,-1,-0.24024201833555892,-0.2051451080927631,-0.2002615382397055,-0.1067463021954238,-1,-0.19306776612471976,-1,-0.01946725964873286,-0.256594840503954,-0.24066611257313864,-0.1571009585564045,-1,-1,-0.256594840503954,-0.10750323399498662,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.44790309530159755,0.22429109276749015,0.3310295916398317,-1,0.2668991348582914,0.31891409777781377,0.38473412943862717,-1,0.3278367885244028,-1,0.31121344565109865,0.2267882772777856,0.3322861074229899,0.33625219103287063,-1,0.28852633700091046,-1,0.15155639922964315,0.23154442760944238,0.32594906860222683,0.2175560334816674,-1,-1,0.23154442760944238,0.1791275242310113,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,0.5347504811576211,0.34239954190729227,0.3792909440632749,-1,0.4058223849563741,0.3224250286282422,0.5524331271308144,-1,0.2248451137875609,-1,0.5953235887502077,0.49927445130374726,0.37587973281980047,0.33758866974252644,-1,0.44327136128731404,-1,0.41991136869143875,0.5752134687556022,0.37175635641292404,0.4163183562771289,-1,-1,0.5752134687556022,0.46172193233743564,-1
boss,-1,0.6374305656766445,0.4361751182429864,0.27185034480135517,-1,0.28737157469185837,0.3355578195446238,1.0,-1,0.186558531666704,-1,0.5628483070557703,0.35739606090071185,0.2927490178365333,0.30178801158745294,-1,0.43725880580385956,-1,0.27113651294831564,0.4693655276548093,0.2962463580595859,0.5751247247126132,-1,-1,0.4693655276548093,0.30763035190211074,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.45378605163654395,0.4300502542469693,0.39826601262908035,-1,0.3919392897069651,0.354058946493346,0.44531213913890255,-1,0.3432543633997436,-1,0.5865906673935176,0.5250373110681269,0.48173948005537415,0.49931246202458324,-1,0.45654253329771044,-1,0.34882184892832047,0.5269120351175107,0.4256324904312807,0.3634685872351435,-1,-1,0.5269120351175107,0.4709127584049886,-1
yet,-1,0.3303722247416141,0.2770068358817055,0.4058339029930913,-1,0.39511878714940396,0.42443717831776717,0.2687611192960081,-1,0.5658185575738315,-1,0.4282210414891401,0.3988016679938857,0.564094961595791,0.6158767504486721,-1,0.4108302616319799,-1,0.2737104679620608,0.41264898805321426,0.4185455667329999,0.17436883254045954,-1,-1,0.41264898805321426,0.3171143268421076,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,0.38344110196250303,0.5043212563171883,0.4025681883235014,-1,0.44836943805404106,0.3829275237583565,0.35739606090071185,-1,0.31741116586449125,-1,0.6507228029966506,1.0,0.5735739322126527,0.45342169242220187,-1,0.5496869864124249,-1,0.536292908406047,0.6951976120515346,0.5058569539717069,0.44537234430735495,-1,-1,0.6951976120515346,0.6589057149190399,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,0.5064697237420847,0.33700812469551855,0.39718261088075946,-1,0.4306269139639589,0.3416022025793124,0.47592441646224626,-1,0.33813642470752536,-1,0.6834080385074545,0.60777858388856,0.46475448263270436,0.4623177253684768,-1,0.7119036843880008,-1,0.3972838291584804,0.9003898016525249,0.5415558246412575,0.4539710476071892,-1,-1,0.9003898016525249,0.5454691464828566,-1
league,-1,0.502429654190565,0.5030021851056043,0.3981395826711558,-1,0.42111561038441137,0.3589029121174647,0.4693655276548093,-1,0.29975489744735573,-1,0.7771017580600159,0.6951976120515346,0.49862715283147563,0.4635661214777166,-1,0.7699278605140926,-1,0.4912796425934025,1.0,0.6068201418522554,0.5403795099242683,-1,-1,1.0,0.6974406775658869,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,0.3454735021137392,0.43118087270582284,0.26572439052006336,-1,0.33549226483735706,0.27183013268554346,0.43725880580385956,-1,0.3466823483942032,-1,0.6613231897072431,0.5496869864124249,0.5340114053434577,0.5398247818576588,-1,1.0,-1,0.36812940046651543,0.7699278605140926,0.4970287468302851,0.4457186349651965,-1,-1,0.7699278605140926,0.5100268674828872,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
