model,advocaat,said,:,``,i,have,made,the,decision,to,go,after,only,eight,games,as,i,felt,it,was,important,to,give,everyone,time,to,turn,things,around,.
dick,0.8302866132668377,-1,-1,-1,-1,-1,-1,-1,0.0734479558572072,-1,-0.1118877519075776,-1,-0.053244321961495755,-0.10108980886325303,-0.1271640331293411,-1,-1,0.09087868041376268,-1,-1,-0.03516232183628332,-1,0.04526840702301871,0.04248899818033347,-1,-1,-0.007967670353767442,-0.05812183066063725,-0.13552840200885719,-1
advocaat,1.0,-1,-1,-1,-1,-1,-1,-1,-0.08002458034636017,-1,-0.27411897431034826,-1,-0.15709503644129796,-0.2312986148210967,-0.20639842204936198,-1,-1,-0.10393380242867334,-1,-1,-0.22525955944484677,-1,-0.08235261779522718,-0.09272849331729383,-1,-1,-0.10796092089108167,-0.16361661643073044,-0.32891846806957603,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,0.21514828880846526,-1,-1,-1,-1,-1,-1,-1,0.33579888903500654,-1,0.20128826129699395,-1,0.28974426341092885,0.35743151810418006,0.1868726026221038,-1,-1,0.31071131627431603,-1,-1,0.11598639149712398,-1,0.15755588429450584,0.14852090283080743,-1,-1,0.2611221416601808,0.1811967239535086,0.1421879148817493,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,0.05009038246596065,-1,-1,-1,-1,-1,-1,-1,0.24155057682588565,-1,0.3591619083842259,-1,0.38089166481131964,0.4082921487724107,0.38553414747816317,-1,-1,0.2563210061345249,-1,-1,0.187310170562223,-1,0.27285308275881637,0.246916149921926,-1,-1,0.3046476038587087,0.21702699629873834,0.26532804294942314,-1
boss,0.13254844434481095,-1,-1,-1,-1,-1,-1,-1,0.2708555082747255,-1,0.24995878600562327,-1,0.35318960630112717,0.2801642333122496,0.3114208247347925,-1,-1,0.27443393888436696,-1,-1,0.1567660409671594,-1,0.23812677137362304,0.17049426595752126,-1,-1,0.16918464575726488,0.1355115727837226,0.0799243245725697,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-0.20955980714333644,-1,-1,-1,-1,-1,-1,-1,0.3921811829013371,-1,0.4930020295661717,-1,0.49217683288614245,0.44449965014146775,0.4879587029823662,-1,-1,0.406316120737105,-1,-1,0.43179220144357755,-1,0.41426692016936006,0.4063957422944391,-1,-1,0.42340992442830305,0.3853754719159578,0.36125962966263114,-1
yet,-0.10466299538240365,-1,-1,-1,-1,-1,-1,-1,0.5910148041832859,-1,0.5555912567450125,-1,0.6269953582686147,0.43669913171635955,0.350260943171284,-1,-1,0.3464044132453199,-1,-1,0.4253129485842051,-1,0.4499814233201479,0.37682847066344616,-1,-1,0.4969104784155688,0.4927771631739406,0.31605713351466336,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-0.2051451080927631,-1,-1,-1,-1,-1,-1,-1,0.4424529294700805,-1,0.6039134647980974,-1,0.5120908340952394,0.5390115651354513,0.5787527546536808,-1,-1,0.4418561905931395,-1,-1,0.4127493837270084,-1,0.49009429050237774,0.39394026380246383,-1,-1,0.5052624320409567,0.39077277967764235,0.30133223541265297,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-0.22866171815938752,-1,-1,-1,-1,-1,-1,-1,0.2569279262990829,-1,0.4608152091484119,-1,0.5309376804616004,0.594008655298125,0.609497040335825,-1,-1,0.21274894784407394,-1,-1,0.33101463896342564,-1,0.3098153078555058,0.3258502706149169,-1,-1,0.3697387736773381,0.2726476568786471,0.3456113846037754,-1
league,-0.256594840503954,-1,-1,-1,-1,-1,-1,-1,0.3330992285491432,-1,0.49343787223802993,-1,0.5725376107913153,0.6542404647119926,0.6686251958578644,-1,-1,0.2270676486525005,-1,-1,0.33810629181417395,-1,0.3106819715870651,0.3014804556389754,-1,-1,0.4279557783342409,0.3069198551701162,0.34395620945571803,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-0.19306776612471976,-1,-1,-1,-1,-1,-1,-1,0.3132728730148766,-1,0.5081557009036124,-1,0.5237536051781426,0.5706102910006923,0.6097840120562755,-1,-1,0.3002138494777524,-1,-1,0.3636415184210685,-1,0.30127371207172693,0.34980346740029267,-1,-1,0.4331350123360679,0.3987197534778021,0.31619115075644855,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
