model,'',sunderland,chairman,ellis,short,said,:,``,i,am,truly,saddened,by,dick,'s,decision,but,i,respect,him,for,his,honesty,.
dick,-1,0.11998993390912582,0.37789774524693276,0.5763014512954254,0.031291934086247974,-1,-1,-1,-1,-0.029511395480807723,0.02809105401712053,0.13348567505439168,-1,1.0,-1,0.0734479558572072,-1,-1,0.03639109411867425,-1,-1,-1,0.08702586943690804,-1
advocaat,-1,0.05009038246596065,0.1575181665301406,0.3584991833698905,-0.21498865054293725,-1,-1,-1,-1,-0.23350757509651232,-0.11983208075228968,-0.004683437927156753,-1,0.8302866132668377,-1,-0.08002458034636017,-1,-1,-0.13163118547281316,-1,-1,-1,-0.0304939971367697,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.28328984979927996,0.4980590866357131,0.3810667279206079,0.3019305554177354,-1,-1,-1,-1,0.200720003520378,0.08865696465779982,0.040607643414050765,-1,0.2602727420519989,-1,0.33579888903500654,-1,-1,0.120682245086557,-1,-1,-1,-0.006562358044395866,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,1.0,0.4518645546143196,0.572227385361413,0.1762555821337073,-1,-1,-1,-1,0.26057662533145676,0.05094197033391834,-0.02014569219774498,-1,0.11998993390912582,-1,0.24155057682588565,-1,-1,0.2595007761470065,-1,-1,-1,0.008259178511759946,-1
boss,-1,0.5524331271308144,0.6548170341117869,0.5216113985994207,0.17617585296759597,-1,-1,-1,-1,0.32179040956308436,0.1197105301983431,0.02143827940005183,-1,0.31310313491331,-1,0.2708555082747255,-1,-1,0.16320515863259755,-1,-1,-1,-0.03801363405287561,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.3654355575024254,0.4683213623763127,0.15737073935885415,0.33329559862859137,-1,-1,-1,-1,0.36532067715772587,0.37759197098508945,0.11478658866893121,-1,-0.0405006215948287,-1,0.3921811829013371,-1,-1,0.36885411389699885,-1,-1,-1,0.06721320887337023,-1
yet,-1,0.2646195091405149,0.2983027208794451,0.12901580502398857,0.48232171474415686,-1,-1,-1,-1,0.3875830766637123,0.36718563331014764,0.12426966981309362,-1,-0.033640433726955576,-1,0.5910148041832859,-1,-1,0.3259508251664036,-1,-1,-1,-0.03479886022172529,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,0.49927445130374726,0.25197515345951116,0.13079215053630944,0.36965368683765076,-1,-1,-1,-1,0.33099540775654046,0.3176645933596328,-0.004647739639187298,-1,-0.10463060835858906,-1,0.4424529294700805,-1,-1,0.30699353982548816,-1,-1,-1,-0.014766434737966572,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,0.5570562418270509,0.32817212783008964,0.17317606130555485,0.3036043728673379,-1,-1,-1,-1,0.2860056447415853,0.17587812696788085,0.058504241104526455,-1,-0.1222065333815443,-1,0.2569279262990829,-1,-1,0.24607453097805443,-1,-1,-1,0.0722988811589077,-1
league,-1,0.5752134687556022,0.34946357141955664,0.12981232466897163,0.3484152869693373,-1,-1,-1,-1,0.25406399367181287,0.19563962563959114,-0.026945831559991085,-1,-0.12079379226019293,-1,0.3330992285491432,-1,-1,0.2793815913970965,-1,-1,-1,0.041513445092055234,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,0.44327136128731404,0.24985341642164038,0.15874613558392525,0.5056700939713878,-1,-1,-1,-1,0.33043609143635233,0.2781640351784471,0.08262214090124931,-1,-0.055608356015678595,-1,0.3132728730148766,-1,-1,0.29490819689162917,-1,-1,-1,0.10411790842567636,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
