model,media,playback,is,not,supported,on,this,device,.
dick,-0.005488375583563965,-0.039840106731800384,-1,-1,0.08778988784214892,-1,-1,0.051355115363583614,-1
advocaat,-0.19497730808207026,-0.19442413607973186,-1,-1,-0.06973159558060305,-1,-1,-0.15026662221922482,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,0.3076944885447416,0.11682948334660903,-1,-1,0.19140755125959474,-1,-1,0.06637744255484956,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,0.1726654450153864,-0.19109625593856805,-1,-1,0.12040725625827176,-1,-1,-0.088662321916821,-1
boss,0.19771719072319693,0.12121608626112457,-1,-1,0.17185433781140824,-1,-1,0.1503498121076381,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,0.3028558433273677,0.13677737484328356,-1,-1,0.28751690805536234,-1,-1,0.2356001637148485,-1
yet,0.3996423885950189,0.3353451824339495,-1,-1,0.3983282282166737,-1,-1,0.3488712484993939,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,0.17436585470505173,0.04469523854258506,-1,-1,0.1904920834830075,-1,-1,0.19822180693901892,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,0.3420465428825423,0.11955771011614191,-1,-1,0.27677882222982664,-1,-1,0.22503916407036917,-1
league,0.2714183118848075,0.06636498494024556,-1,-1,0.23344200901597678,-1,-1,0.20189229957131627,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,0.15869966323650264,0.02437008593040524,-1,-1,0.19893276884766464,-1,-1,0.1878456569552388,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
