model,``,it,is,also,testament,to,his,character,that,he,has,foregone,any,kind,of,a,financial,settlement,something,which,is,very,unusual,in,football,.
dick,-1,-1,-1,-1,0.13558980757626482,-1,-1,0.16936606364893403,-1,-1,-1,0.006523400864180018,-0.11337649281733175,0.02502955445674171,-1,-1,-0.016919749385137406,0.022847708619060936,0.028535897844604863,-1,-1,-1,0.03796062721463833,-1,6.651540234225983e-05,-1
advocaat,-1,-1,-1,-1,0.1202895464906546,-1,-1,-0.005986724089017681,-1,-1,-1,0.1728332207945661,-0.29173634207878507,-0.18218908807881395,-1,-1,-0.21665223263098454,-0.1126951264371594,-0.13778229294139765,-1,-1,-1,-0.09878778740101746,-1,-0.20731717093311386,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,-1,-1,-1,-0.07349494461656048,-1,-1,0.2049202136049919,-1,-1,-1,-0.09830830502579357,0.20632175327684443,0.18731239035174596,-1,-1,0.2927741636171779,0.10644565890801339,0.176317995336431,-1,-1,-1,0.14262982768409915,-1,0.20119829343963425,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,-1,-1,-1,0.09521845204300705,-1,-1,0.20558201398938736,-1,-1,-1,-0.2984256800572238,0.19706442691367732,0.11135978554704307,-1,-1,0.12055370554506961,0.16175237366399176,0.20945126146287296,-1,-1,-1,0.08581806163359906,-1,0.4289917940361294,-1
boss,-1,-1,-1,-1,0.15089543213360956,-1,-1,0.23329867908221336,-1,-1,-1,-0.2462880370687972,0.19946007096272333,0.1467052089694969,-1,-1,0.16239309659447643,0.13783695005053853,0.16564353958649713,-1,-1,-1,0.03680638954708382,-1,0.4023795767974685,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,-1,-1,-1,0.2438867426793272,-1,-1,0.5013658396584719,-1,-1,-1,-0.18167580294891983,0.39077658625654155,0.4159724865496911,-1,-1,0.38168871516406444,0.12158159602385654,0.44081236289744063,-1,-1,-1,0.22545062806757832,-1,0.5977615071838078,-1
yet,-1,-1,-1,-1,0.2472124472679892,-1,-1,0.42140552941964793,-1,-1,-1,0.11148596969767799,0.5767910997755418,0.48529589375691295,-1,-1,0.3785733525206415,0.31302605429075203,0.5046090058816067,-1,-1,-1,0.4729558904166995,-1,0.3776075110036695,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,-1,-1,-1,0.14648887687313494,-1,-1,0.29172182630090515,-1,-1,-1,-0.08094290636382495,0.39909103180079586,0.32055162352229294,-1,-1,0.2361900260488985,0.20432252281532148,0.45308853265386584,-1,-1,-1,0.2485733461373031,-1,0.3896657297901145,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,-1,-1,-1,0.17474018989905127,-1,-1,0.18273816546720778,-1,-1,-1,-0.2516377023057359,0.37220171742172004,0.2657674339912959,-1,-1,0.23293640396800463,0.2105614283498426,0.2872501026331966,-1,-1,-1,0.21423948730409392,-1,0.6480664139400556,-1
league,-1,-1,-1,-1,0.11952741192136185,-1,-1,0.21927154415658434,-1,-1,-1,-0.22073636927569873,0.3648486672459913,0.24693530319196855,-1,-1,0.30345315875867307,0.2581402921750331,0.27914437184276253,-1,-1,-1,0.17777325155312929,-1,0.6481753987485434,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,-1,-1,-1,0.20857243964974492,-1,-1,0.30612279600637526,-1,-1,-1,-0.07781540756529215,0.31843618383796723,0.28640136641631164,-1,-1,0.35665491816912653,0.25556814067320055,0.3283107590823704,-1,-1,-1,0.2739103001336056,-1,0.4629961054466616,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
