model,'',assistant,head,coach,zeljko,petrovic,has,also,left,the,club,.
dick,-1,0.39521194649858005,0.11499156561411894,0.28320309868297155,-0.23010669863043187,-0.03672232794200059,-1,-1,-0.07775153246840971,-1,-0.018168444596270872,-1
advocaat,-1,0.1441622174268533,-0.07458869231572574,0.13139381931851934,0.03612874508964092,0.02784459549025886,-1,-1,-0.3215508357083312,-1,-0.24650937760974312,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.40419110860579877,0.38886576677544904,0.3864788764340523,-0.37750889465377724,-0.11557520589196413,-1,-1,0.32051262305455197,-1,0.35300669705168963,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,0.3655259267276749,0.3443565310666905,0.40595839321463545,-0.39824094862661297,-0.019732442633579428,-1,-1,0.4480659190328993,-1,0.5346928210711257,-1
boss,-1,0.6738168319071645,0.5051090038256401,0.717162679328257,-0.41798133743266375,-0.13632454493583923,-1,-1,0.3553052675263014,-1,0.5908757871731208,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.40061875560511784,0.41534550209239807,0.49981723718902216,-0.4471322443343504,-0.21609080738067798,-1,-1,0.4127484764790529,-1,0.5912309157101902,-1
yet,-1,0.2266336042443814,0.21607344360750969,0.20024512797026384,-0.4148247311568809,-0.20249773933377413,-1,-1,0.3419969904286888,-1,0.48832542382548416,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,0.24303426217024393,0.31117190924345084,0.32822201469261825,-0.46557349476003784,-0.18898008901191798,-1,-1,0.38728467453803583,-1,0.5381926803357104,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,0.3161919430335065,0.29945660238619265,0.3404140887299042,-0.4368347577300127,-0.16215726493941185,-1,-1,0.38250858148715017,-1,0.7611015814357843,-1
league,-1,0.3054784538492292,0.31265004242868755,0.36364722623052803,-0.4644054088225338,-0.18677210437577974,-1,-1,0.44971822667891215,-1,0.7783113937633318,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,0.26885542790547545,0.3417938031455412,0.39028328456881345,-0.47886927441322547,-0.19106366001569697,-1,-1,0.4243169685225684,-1,0.6785604662020198,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
