model,since,steve,bruce,was,sacked,in,november,2011,martin,o'neill,paolo,di,canio,gus,poyet,and,advocaat,have,managed,the,club,.
dick,-1,0.4473886376585242,0.39840872935010907,-1,0.287445971355651,-1,0.037338074259676834,0.09955009178735419,0.3820662508820154,-1,0.42761413976964335,0.5382871961689688,0.46542925030781124,0.432714586424955,0.4066599275416751,-1,0.8302866132668377,-1,-0.05590189197964479,-1,-0.018168444596270872,-1
advocaat,-1,0.1617046903219499,0.2576497801516012,-1,0.1457036745255783,-1,-0.10386935488997762,-0.09496519725877728,0.17808675505149996,-1,0.49212701792942815,0.5070024064677529,0.5869892098035354,0.38160925588558414,0.4133675837901135,-1,1.0,-1,-0.15853712024356592,-1,-0.24650937760974312,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.38300547092750303,0.3744097903085053,-1,0.6310176777178187,-1,0.43318085842610377,0.4766467790638005,0.4995875832885275,-1,0.2584687062135892,0.20293500532798714,-0.014944965178915748,0.10527382929223894,0.18272192536718468,-1,0.21514828880846526,-1,0.26635242253144686,-1,0.35300669705168963,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,0.32449964103621487,0.1952198351840786,-1,0.4315889807573472,-1,0.432018441677571,0.36639984330011477,0.48105985934774975,-1,0.24643262784361097,0.41803806814726663,0.13284922908209407,0.03434109169937627,0.017981036144276374,-1,0.05009038246596065,-1,0.35177985201328965,-1,0.5346928210711257,-1
boss,-1,0.6999383362623484,0.6448951626051164,-1,0.6082376916698352,-1,0.30938860665999135,0.3170058843156076,0.6027246378440193,-1,0.12353537604121079,0.367587767228879,0.004258283463831725,0.3904284940538997,0.2675621072252896,-1,0.13254844434481095,-1,0.3101258258219072,-1,0.5908757871731208,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.30453324155142514,0.21092844804664046,-1,0.3134972852441893,-1,0.34358462340525375,0.3747294176224625,0.369160726477505,-1,-0.18530815291690472,-0.07224108096338888,-0.36055456377135053,-0.16486296423063607,-0.17263623727938704,-1,-0.20955980714333644,-1,0.4547994478235651,-1,0.5912309157101902,-1
yet,-1,0.1725751913630278,0.16521234714287836,-1,0.31602772053676076,-1,0.4165066381130973,0.39498372229333456,0.24774852043327344,-1,-0.07452865105868223,-0.07915176229903231,-0.29377501507338666,-0.2040556701020797,-0.10104462493048794,-1,-0.10466299538240365,-1,0.5419913384510856,-1,0.48832542382548416,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,0.24780992673389046,0.16060636500435377,-1,0.29849928194448827,-1,0.4128363241775357,0.3917861291178777,0.32144512937004976,-1,-0.126176966264111,-0.0534179771621901,-0.3459902455413302,-0.19052281749464806,-0.17715370433848054,-1,-0.2051451080927631,-1,0.4854277825726534,-1,0.5381926803357104,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,0.28826995915593656,0.22735773387252123,-1,0.4329402778460826,-1,0.4495133886480449,0.4006513840920807,0.32706188851660145,-1,-0.013752328117010437,0.0019068700061899424,-0.3121702319860231,-0.03385912426773041,0.0055876553218583425,-1,-0.22866171815938752,-1,0.4589354788883604,-1,0.7611015814357843,-1
league,-1,0.25072386963155957,0.19065014359012256,-1,0.4248605858110842,-1,0.4749605704949933,0.42736222044440053,0.3051305628104791,-1,-0.18139145970382842,-0.09278527210944598,-0.43094259815017644,-0.09722754308608672,-0.09041598201339429,-1,-0.256594840503954,-1,0.49608220527773583,-1,0.7783113937633318,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,0.24656307339373618,0.2307890453567656,-1,0.4408507312349179,-1,0.45994227749829064,0.42779599202380036,0.3010743452035747,-1,-0.20227252736995593,-0.05855338827486567,-0.38194801378608734,-0.02266133393037184,-0.033588701775393526,-1,-0.19306776612471976,-1,0.44480105686723204,-1,0.6785604662020198,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
