model,advocaat,'s,departure,also,follows,a,trend,set,by,di,canio,and,poyet,of,managers,arriving,to,save,the,black,cats,from,the,drop,only,to,depart,in,the,next,season,.
dick,0.8302866132668377,-1,0.13645322580666974,-1,0.07378216909041035,-1,0.09630559595103438,0.009257553185952894,-1,0.5382871961689688,0.46542925030781124,-1,0.4066599275416751,-1,0.017131953388194177,0.023286510610273092,-1,0.012318745582609036,-1,0.04447839134893872,0.01976357599813572,-1,-1,0.01766071120515167,-0.053244321961495755,-1,0.054827486568443495,-1,-1,0.01848831821179986,-0.055608356015678595,-1
advocaat,1.0,-1,0.03600628986973453,-1,-0.061605123969207476,-1,0.009950227585856397,-0.11748390865080705,-1,0.5070024064677529,0.5869892098035354,-1,0.4133675837901135,-1,-0.2581272607412948,-0.09008450172685412,-1,-0.18452627128077115,-1,-0.21020777572767613,-0.09295034687025483,-1,-1,-0.11638675230521867,-0.15709503644129796,-1,0.07005872684731951,-1,-1,-0.12677175576941613,-0.19306776612471976,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,0.21514828880846526,-1,0.53143504072601,-1,0.4995920403018199,-1,0.2940986110989907,0.13854318855682524,-1,0.20293500532798714,-0.014944965178915748,-1,0.18272192536718468,-1,0.2043459296240725,0.3301484624649569,-1,0.12847797337908262,-1,0.10186912637342904,0.026480016586401756,-1,-1,0.19814092021558394,0.28974426341092885,-1,0.09883811258583419,-1,-1,0.3056344209020133,0.28852633700091046,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,0.05009038246596065,-1,0.3235680149744802,-1,0.23487945265633203,-1,0.10631891262444004,0.30662317363710656,-1,0.41803806814726663,0.13284922908209407,-1,0.017981036144276374,-1,-0.0223473693363081,0.2816425367374994,-1,0.18077354187591732,-1,0.3281048742432673,0.34126343519161684,-1,-1,0.35559208729892267,0.38089166481131964,-1,0.0766298682045673,-1,-1,0.3649008548707269,0.44327136128731404,-1
boss,0.13254844434481095,-1,0.43280244238803234,-1,0.22448226273867444,-1,0.1387667839953951,0.19699822159267466,-1,0.367587767228879,0.004258283463831725,-1,0.2675621072252896,-1,0.3549955035016661,0.1563493183947342,-1,0.13278487286148932,-1,0.2010978725287611,0.20859482635336735,-1,-1,0.11478771502665563,0.35318960630112717,-1,0.08112402225511861,-1,-1,0.28233210492745897,0.43725880580385956,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-0.20955980714333644,-1,0.2581250109210387,-1,0.32046065368263377,-1,0.21978238023911645,0.3859933062671246,-1,-0.07224108096338888,-0.36055456377135053,-1,-0.17263623727938704,-1,0.4891519095749304,0.15835970091743312,-1,0.3324019154754454,-1,0.3630022617113323,0.2299559173154211,-1,-1,0.24564888491302306,0.49217683288614245,-1,0.126042094053892,-1,-1,0.4115192774435583,0.45654253329771044,-1
yet,-0.10466299538240365,-1,0.3338372700247717,-1,0.4539730421328838,-1,0.33223192281459046,0.4911013745232695,-1,-0.07915176229903231,-0.29377501507338666,-1,-0.10104462493048794,-1,0.3472957847436172,0.20334157135453945,-1,0.24872111260538843,-1,0.244970520425994,0.2032570887403491,-1,-1,0.4685363868009469,0.6269953582686147,-1,0.11324590224138187,-1,-1,0.44850154855868907,0.4108302616319799,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
