model,the,22-year-old,france-born,winger,who,has,declared,himself,available,for,algeria,joins,for,an,undisclosed,fee,.
leicester,-1,0.38275514070627614,-0.37295924557795557,0.5996630427200346,-1,-1,0.26666364206596516,0.2578558216577076,0.2885413796646161,-1,0.2761512568529817,0.39645943228266756,-1,-1,0.16371962296536813,0.25216061331863715,-1
city,-1,0.3112481152567288,-0.3807777020157159,0.5319876271002829,-1,-1,0.2819680934405202,0.2513753981800865,0.22752427840099676,-1,0.22104312416208927,0.28230730644265,-1,-1,0.2750287002456471,0.31588632080076684,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
signed,-1,0.47354453665991514,-0.06787945674897977,0.745038842665855,-1,-1,0.19039373262228987,0.27669049317779704,0.27374727529070086,-1,0.15773716002789495,0.5115157610681486,-1,-1,0.43442692345038014,0.47098901119784964,-1
riyad,-1,0.11859372580558414,0.31395018383426554,0.35585722420248,-1,-1,-0.08298438147636156,-0.15944308416135344,-0.22278642490118927,-1,-0.27646794655086016,0.11704546614534805,-1,-1,-0.12140154889091503,-0.12013310259306298,-1
mahrez,-1,0.1261457046633665,0.18860961343634697,0.29071059505997776,-1,-1,0.015038199255988816,-0.02491889067749975,-0.08199141740173288,-1,-0.37548018739971756,0.11108710465547667,-1,-1,-0.07558983111634854,-0.020078006408455584,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
french,-1,0.3915136335303122,-0.2297549687597331,0.36987333275425427,-1,-1,0.4145302944771687,0.3058748515823442,0.28406417853565147,-1,0.19042178965857803,0.36762638177880347,-1,-1,0.07528069915068147,0.30136351462436795,-1
second-tier,-1,0.20216956885991588,-0.012299869680048037,0.19568497383625993,-1,-1,0.048138321669790596,-0.1078063580073867,0.05732773057225604,-1,0.05321625695602028,0.2674724078666315,-1,-1,0.19192311139754836,0.13128771963296693,-1
side,-1,0.42914818259248544,-0.30793853038921926,0.5232912425566255,-1,-1,0.24569846396093897,0.2812450679982824,0.2837324665973817,-1,0.20822363690355994,0.3999419870652592,-1,-1,0.21686904193633216,0.2299986226733245,-1
le,-1,0.22825237649335295,0.02044678548989276,0.1928441803448433,-1,-1,0.19440914038174606,0.16442602375470905,-0.009884436902431792,-1,-0.003371429270996984,0.1649335947388979,-1,-1,-0.12243064771340606,-0.025596498667122436,-1
havre,-1,0.07209450389034933,0.2399441851790477,0.07550846495737773,-1,-1,-0.04681191593674883,-0.09527014860223426,-0.1753834231937743,-1,0.10394549322618418,0.12584233841114534,-1,-1,-0.020846933050713057,-0.07353598725562693,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
