model,he,spent,five,years,with,le,havre,scoring,six,times,in,60,games,after,moving,from,amateur,club,quimper,.
leicester,-1,0.3728887973130123,0.5506895623220777,0.41634872337131745,-1,0.397261305913322,0.13236008728748105,0.4328239520294872,0.5862078858988973,0.4308922833794533,-1,0.4311050616870231,0.5646128321312629,-1,0.43073997422321386,-1,0.3524566432934927,0.7337269916652839,-0.29353063928991485,-1
city,-1,0.43374249600849357,0.4398236235032078,0.37521474820292133,-1,0.25267291068382214,0.028771558955621335,0.34181843015437297,0.472716575987262,0.3876684248551888,-1,0.3879994993906095,0.4254207389221336,-1,0.49206173334175607,-1,0.16388540845704092,0.6614167393769841,-0.32484541307708525,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
signed,-1,0.39890534510663467,0.31163885022253623,0.29996709957154444,-1,0.10290723327015272,-0.03519722388289015,0.4158211107941039,0.3461379407956854,0.27498618206841186,-1,0.3321427388789784,0.24264993366363297,-1,0.3535831656474766,-1,0.268532052639352,0.5966610853280694,-0.27416969980423733,-1
riyad,-1,-0.1658598775152258,-0.1912597140334782,-0.137126118494854,-1,0.20593776131795472,0.095320674692839,-0.03703400005927171,-0.15982008156790228,-0.19434961679015617,-1,-0.10748120386654425,-0.09259286794051658,-1,-0.10800514149046592,-1,0.014699092717208928,-0.12087794292757947,-0.04654002380132005,-1
mahrez,-1,-0.04682445244516953,-0.044958317576541784,-0.00367369089122338,-1,0.07673574302282438,-0.12686620984778507,0.048527320183182954,-0.010547127607543505,-0.0706328792087707,-1,-0.03597523764803179,0.009686770422808078,-1,-0.020465082858921013,-1,0.04758063587050576,-0.0382833407459382,-0.1343908844416002,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
french,-1,0.3637396138505693,0.4917315104160669,0.4126226287786736,-1,0.3749089276430575,0.15533349549440445,0.25979877678997987,0.503107068757705,0.40276749111519117,-1,0.3602249253031372,0.3696319505641561,-1,0.3651219074788139,-1,0.47202952077652127,0.6665361024452877,-0.36907454923622107,-1
second-tier,-1,0.06495523447598217,0.15479901387643102,-0.004929668106433027,-1,0.024084129291038314,0.135565791184297,0.14449731642297559,0.2093695969041255,0.08319814123302305,-1,-0.19681206508283866,0.3045457424607827,-1,0.15012495483078514,-1,0.4656634604292511,0.48560772531806917,-0.18604994139827746,-1
side,-1,0.4079031508358397,0.546440078108137,0.37191904339359416,-1,0.23199399112344266,0.0048768912605406944,0.503194322742624,0.6249697226337755,0.4199199845365491,-1,0.3437053287205083,0.5362371384629218,-1,0.48685057094029016,-1,0.31320023739410985,0.7306449083763245,-0.36377283626415524,-1
le,-1,0.053210245507699705,0.05111583206763037,0.08907888662481978,-1,1.0,0.703249894822087,0.009573927818431027,0.0102250882578796,0.13657373973969256,-1,0.11650401325039039,0.08613386946131252,-1,0.07644169383521526,-1,0.19325016548350926,0.21666213866513973,-0.08438047002052751,-1
havre,-1,-0.2113127836736277,-0.26929760842718053,-0.2226919108736778,-1,0.703249894822087,1.0,-0.1345497025707192,-0.2663124182831096,-0.1865333969937959,-1,-0.1985644404270699,-0.09610423696710546,-1,-0.13940627299334452,-1,0.0973131677888488,-0.00975880816796404,0.23427417209370383,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
