model,``,i,'m,delighted,we,'ve,been,able,to,sign,him,.
leicester,-1,-1,-1,0.42560909467936825,-1,-1,-1,0.36076206555157153,-1,0.436117676540553,-1,-1
city,-1,-1,-1,0.35927006258438454,-1,-1,-1,0.3488266894855909,-1,0.4190638886813369,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
signed,-1,-1,-1,0.34766671187007714,-1,-1,-1,0.22474812988264148,-1,0.6403444795423062,-1,-1
riyad,-1,-1,-1,-0.08983705788620377,-1,-1,-1,-0.24687558471484827,-1,-0.07868680369368075,-1,-1
mahrez,-1,-1,-1,-0.01471059228500815,-1,-1,-1,-0.07213010249221008,-1,0.02460908581043253,-1,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
french,-1,-1,-1,0.2916928088105417,-1,-1,-1,0.3354023484544799,-1,0.3961165895590437,-1,-1
second-tier,-1,-1,-1,0.09004647679665012,-1,-1,-1,0.06808754029196096,-1,0.11627002325217217,-1,-1
side,-1,-1,-1,0.3994238299125725,-1,-1,-1,0.42520548450200424,-1,0.4349700151585866,-1,-1
le,-1,-1,-1,0.14749228437030304,-1,-1,-1,0.01548460586683198,-1,0.07299589920227345,-1,-1
havre,-1,-1,-1,-0.10287050129207231,-1,-1,-1,-0.30399012595610353,-1,-0.19014843404812343,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
