model,any,signing,has,to,improve,what,we,already,have,and,riyad,is,a,very,talented,technically,good,player,'',said,leicester,manager,nigel,pearson,.
leicester,0.3035342491032763,0.4811752444977957,-1,-1,0.23626331161436798,-1,-1,0.4055924886700537,-1,-1,0.13785390945810116,-1,-1,-1,0.24552004893822799,0.14533431450893008,0.46805737321212737,0.6588074002333506,-1,-1,1.0,0.7162829783634888,0.4988039802234401,0.357644424439736,-1
city,0.3114059832964844,0.4971390753802378,-1,-1,0.30646984657804777,-1,-1,0.4531145714458429,-1,-1,0.0505457070508879,-1,-1,-1,0.1992900845466048,0.05859264502003103,0.35600831614764816,0.5226974009569746,-1,-1,0.7871476284951022,0.5845560898230897,0.2911040478367698,0.23052088424026917,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
signed,0.26508325832568835,0.6654387584535255,-1,-1,0.10233416737899659,-1,-1,0.4804908665091503,-1,-1,0.09608759531461297,-1,-1,-1,0.1780770846657912,0.011398093536703735,0.24550003107282103,0.4924597475859537,-1,-1,0.5358861685304446,0.4421768247404725,0.25888892012127984,0.2336420848620787,-1
riyad,-0.2677625510978987,0.057732828432767835,-1,-1,-0.27663283078132617,-1,-1,-0.20491811589451037,-1,-1,1.0,-1,-1,-1,-0.05135983714149139,-0.10263037618494408,-0.21322219867693848,-0.08719567011933016,-1,-1,0.13785390945810116,-0.008142351239431855,0.28388523697867907,0.7755455410678522,-1
mahrez,-0.0779867081364145,0.06779571774577864,-1,-1,-0.0970286784915313,-1,-1,-0.03944447126361994,-1,-1,0.9142885167250003,-1,-1,-1,0.0070626968191996875,-0.03842467215798484,-0.0546461807283416,-0.007287674521148535,-1,-1,0.12338236168652905,-0.002641296997714093,0.21132163108826973,0.852094220459217,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
french,0.3565104381012031,0.3383221728383756,-1,-1,0.23537344725168174,-1,-1,0.41472019928068204,-1,-1,-5.715737525502362e-06,-1,-1,-1,0.22643077124174948,0.08459262630221243,0.2951727102381707,0.5329249726870046,-1,-1,0.6712292372663244,0.43883756749237524,0.4203865109144098,0.28071793251395183,-1
second-tier,0.15031854622865082,0.2073438257332192,-1,-1,0.16000683474037136,-1,-1,0.11466296978326673,-1,-1,0.050362118529240996,-1,-1,-1,0.21218543063238204,0.1574723089668132,0.1747464650586592,0.4085254305140462,-1,-1,0.3524148380595211,0.1770642917421743,-0.046982988772525935,0.005293887555050225,-1
side,0.40174780088578776,0.44726981129169463,-1,-1,0.37137166787817155,-1,-1,0.43286670015261075,-1,-1,-0.013867470186977426,-1,-1,-1,0.31590109603536776,0.21114821433470743,0.5610785916222879,0.6628003796868306,-1,-1,0.8100711698306143,0.6090695494709629,0.2895123820781591,0.20234625892335223,-1
le,-0.0067334200046766934,0.006120772968702504,-1,-1,-0.024792909275575425,-1,-1,0.017007450218815,-1,-1,0.20593776131795472,-1,-1,-1,-0.007337535384499327,-0.03092241491090908,0.055298079205832296,0.15082433214252478,-1,-1,0.397261305913322,0.3907701732654416,0.5446042384249455,0.44126553844772554,-1
havre,-0.3263163746516762,-0.0786377053380245,-1,-1,-0.3271140575447069,-1,-1,-0.2971343442731864,-1,-1,0.095320674692839,-1,-1,-1,-0.1601833680492608,-0.14427738334528617,-0.3062862289018884,-0.10780708644025117,-1,-1,0.13236008728748105,0.1534908665921242,0.3138065964769372,0.05709503000278782,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
