model,southern,warned,passengers,to,expect,``,difficult,and,frustrating,'',journeys,throughout,the,day,.
talks,0.30495659950798093,0.45756978131037196,0.24640170182754784,-1,0.2669101890513035,-1,0.35938146539296967,-1,0.24328000468207878,-1,0.2310888642961637,0.2751531805897025,-1,0.3042326291032518,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,0.30210180172760936,0.46252119001333136,0.4033734675000187,-1,0.5108198961071945,-1,0.49963971261120266,-1,0.2203879660126068,-1,0.30707405380512165,0.3030775118755892,-1,0.25497113937113636,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,0.2328906037550007,0.47488204392376665,0.3989299849946031,-1,0.473887955158548,-1,0.439623070640186,-1,0.17519463164361515,-1,0.3671523490511466,0.3542672636681816,-1,0.297261429340542,-1
strike,0.35325331612112665,0.2786394021456542,0.35361172607815017,-1,0.26580769330097365,-1,0.3110782729539092,-1,0.303884017395452,-1,0.27899017232802636,0.16770169827205472,-1,0.3730479376814133,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,1.0,0.482505444041726,0.3987306340236574,-1,0.2630113596038891,-1,0.25973348769812854,-1,0.154192105028933,-1,0.18861985626740463,0.35212189254279336,-1,0.32302959023897304,-1
rail,0.685136280854384,0.41967715307129505,0.582750457574451,-1,0.27089517533745,-1,0.21194134549019727,-1,0.08902291549535113,-1,0.4112038505582276,0.2631488235422236,-1,0.26203239123167255,-1
conductors,0.36543429695537544,0.18176016719156718,0.21843390684106867,-1,0.06349004502209443,-1,0.05951183403467242,-1,-0.08585145308345288,-1,0.17972333158902287,0.034226125260826024,-1,0.027295860053784815,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,0.3431023007291355,0.40995660531532707,0.3225217758229254,-1,0.2725850777513201,-1,0.3408089774871128,-1,0.23922508235959605,-1,0.25938057178387686,0.445388956079661,-1,0.486946069226146,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.4240212159555079,0.4901130839512746,0.3719667858065263,-1,0.3643844526981568,-1,0.383951405844296,-1,0.43155663387939514,-1,0.2483381496273892,0.46283318500136184,-1,0.6579449931330185,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
