model,rmt,general,secretary,mick,cash,said,:,``,this,dispute,is,about,safety,.
talks,0.3532508092451392,0.37453637710342724,0.35952208790942175,0.15003573970972428,0.3265285675989603,-1,-1,-1,-1,0.5749568037006784,-1,-1,0.2954056727379879,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,0.1573966305838036,0.16114894567735183,0.1726998366051401,-0.10808174577061491,0.4697122530824229,-1,-1,-1,-1,0.44273493785448004,-1,-1,0.49371729628826455,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,0.16500356071863032,0.27638906716335665,0.2522485506746712,0.014214058248360306,0.5359417397131404,-1,-1,-1,-1,0.4699425466661188,-1,-1,0.5089999466512437,-1
strike,0.364586095503894,0.3284141853076361,0.18942145984167158,0.06563850081214628,0.34044328972237725,-1,-1,-1,-1,0.49286374342975225,-1,-1,0.2645594208418063,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,0.47392438499120204,0.33318329370032995,0.34330456485378114,0.24953475266702463,0.3339609432556332,-1,-1,-1,-1,0.4873217424594647,-1,-1,0.36980731915683873,-1
rail,0.5091828385155294,0.2815736091473714,0.33399877171406445,0.17958246468730688,0.40780919626935497,-1,-1,-1,-1,0.5247503870032708,-1,-1,0.555491856061869,-1
conductors,0.3571473048775018,0.1826709935242794,0.18828972818030354,0.13196180194754992,0.23192643663565504,-1,-1,-1,-1,0.39172016984628155,-1,-1,0.20174287151137305,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,0.21463459837752108,0.28146025478598524,0.2490067886155155,-0.00935732231689812,0.31003296864972574,-1,-1,-1,-1,0.3824856723757961,-1,-1,0.28789608448221193,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.26286866985316515,0.38637025229250566,0.29282503067054844,0.08104722840186895,0.2715756355189437,-1,-1,-1,-1,0.36898756252986975,-1,-1,0.34919192632822615,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
