model,latest,updates,here,.
talks,0.3150761900384347,0.07594599710588956,0.35146951090451917,-1
to,-1,-1,-1,-1
prevent,0.3735490886146843,0.20838480239135115,0.3882127682395846,-1
a,-1,-1,-1,-1
further,0.4469393240791425,0.30485401162532466,0.4476302250597507,-1
strike,0.3370327253672356,0.07722299633102103,0.20692275356281276,-1
by,-1,-1,-1,-1
southern,0.26438882687910625,0.22286388958496572,0.3092943575746985,-1
rail,0.2415380084154859,0.1973313083810474,0.1695720401461407,-1
conductors,0.11940617875490822,-0.010502737029131737,0.0060168156965674235,-1
are,-1,-1,-1,-1
to,-1,-1,-1,-1
be,-1,-1,-1,-1
held,0.20713753584240147,0.06797828211154533,0.4184977215801251,-1
on,-1,-1,-1,-1
friday,0.39412521698629943,0.23352031703798914,0.5170836770628571,-1
.,-1,-1,-1,-1
