model,the,rmt,confirmed,it,would,attend,talks,with,southern,``,over,the,guards,jobs,and,safety,dispute,'',on,friday,.
talks,-1,0.3532508092451392,0.3996204314348474,-1,-1,0.4154842283309048,1.0,-1,0.30495659950798093,-1,-1,-1,0.26037937720032356,0.20499679147330552,-1,0.2954056727379879,0.5749568037006784,-1,-1,0.5334557875252655,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,0.1573966305838036,0.3143957090156313,-1,-1,0.2821328936613584,0.32149418821114806,-1,0.30210180172760936,-1,-1,-1,0.21972780833231031,0.420244270773265,-1,0.49371729628826455,0.44273493785448004,-1,-1,0.26090930408566204,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,0.16500356071863032,0.4990819341863707,-1,-1,0.24955987610796604,0.4518849503233334,-1,0.2328906037550007,-1,-1,-1,0.11758601369447441,0.45255276849159864,-1,0.5089999466512437,0.4699425466661188,-1,-1,0.4341642862381081,-1
strike,-1,0.364586095503894,0.27801729570829514,-1,-1,0.22111498058119672,0.3301343382173141,-1,0.35325331612112665,-1,-1,-1,0.351967889425562,0.18513003297143105,-1,0.2645594208418063,0.49286374342975225,-1,-1,0.4611603580540651,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,0.47392438499120204,0.41852362670036614,-1,-1,0.22311924940256056,0.30495659950798093,-1,1.0,-1,-1,-1,0.4512647291301872,0.2829897207436112,-1,0.36980731915683873,0.4873217424594647,-1,-1,0.4240212159555079,-1
rail,-1,0.5091828385155294,0.37831061581288006,-1,-1,0.2454838011920779,0.335000943723631,-1,0.685136280854384,-1,-1,-1,0.4849237154895897,0.30212667215830225,-1,0.555491856061869,0.5247503870032708,-1,-1,0.3331958575753218,-1
conductors,-1,0.3571473048775018,0.060817597946609236,-1,-1,0.12138761699984524,0.23131898091120517,-1,0.36543429695537544,-1,-1,-1,0.41494704346676126,0.12311235060726522,-1,0.20174287151137305,0.39172016984628155,-1,-1,0.11279462925480577,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,0.21463459837752108,0.48458657003972205,-1,-1,0.5016126160506814,0.5922845085658124,-1,0.3431023007291355,-1,-1,-1,0.4022260557138777,0.27758087489056416,-1,0.28789608448221193,0.3824856723757961,-1,-1,0.5717596357271632,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,0.26286866985316515,0.5828047158508045,-1,-1,0.513121213720069,0.5334557875252655,-1,0.4240212159555079,-1,-1,-1,0.23903199818295406,0.24857203165919317,-1,0.34919192632822615,0.36898756252986975,-1,-1,1.0,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
