model,paul,barker,a,commuter,from,rye,normally,catches,a,southern,train,to,ashford,then,a,high-speed,service,to,st,pancras,.
talks,0.16272938193276798,0.10024481605816649,-1,0.0673117767496294,-1,-0.11294891887990555,0.2901294947210875,0.03967210802019061,-1,0.30495659950798093,0.27405805564638164,-1,0.03185712917229255,0.36603243681744924,-1,0.19916993355444546,0.35793944502591324,-1,0.2094759035613658,-0.05725610649236024,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,0.05787559830802691,-0.06597809729443305,-1,0.009243577390957602,-1,-0.19867607578003366,0.37800321276872373,0.11726175083294099,-1,0.30210180172760936,0.3286425836900997,-1,-0.00027376229346698366,0.4014085790069515,-1,0.23103873727024626,0.31775377496311175,-1,0.11014071734749387,-0.21109021600969013,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,0.15003183697957967,-0.01018716820404686,-1,0.026141311258380817,-1,-0.25258610288009864,0.2757281628409022,0.22327994279748475,-1,0.2328906037550007,0.2798663888776203,-1,-0.02741981503605362,0.46092229137097585,-1,0.15187959987009325,0.3715079451548089,-1,0.06817312953833521,-0.2398346071050288,-1
strike,0.1723108919484604,0.021743533740776977,-1,0.15681883655207407,-1,-0.15139693075976268,0.25403405304429194,0.17034469555292275,-1,0.35325331612112665,0.4625583325252458,-1,-0.043486600154948984,0.39433864720882095,-1,0.3518041303625037,0.2963011609787243,-1,0.24990769437870808,-0.004052643388630983,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,0.2724222438455475,0.06774756889027733,-1,0.3109072573572256,-1,-0.02245053065313818,0.19858704218417278,-0.03353109371784302,-1,1.0,0.4617235376852218,-1,0.3622512888077226,0.3132297028003874,-1,0.38165535622890157,0.4706689399692985,-1,0.44774921370133514,0.2801582369748197,-1
rail,0.18123485433954922,0.08339636770311387,-1,0.5479225247396837,-1,-0.014276069412617831,0.2563860106595781,-0.07932309209867938,-1,0.685136280854384,0.7163573566571101,-1,0.19478481912490786,0.25522842843059235,-1,0.7702371675345998,0.689666748905528,-1,0.24739601343944362,0.15076634628419328,-1
conductors,0.17662497996269633,0.05619635885196672,-1,0.17859222781789663,-1,-0.05820323166750363,0.07868141227419323,0.02686452321768995,-1,0.36543429695537544,0.24364147667030533,-1,0.07961141077994349,0.06367105339500856,-1,0.2931722897158453,0.1708360506879083,-1,0.2833038491245462,0.09398448268725645,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,0.23933895755959744,0.0826181121400219,-1,0.06858809101571794,-1,-0.018924679021570467,0.3903765990451814,0.21113378239339253,-1,0.3431023007291355,0.33413764485151976,-1,0.11423649440834271,0.5265695203076953,-1,0.10470576122003505,0.4676886250881295,-1,0.37620001577913986,0.044505877359939605,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.31144733955991244,0.1432504733129799,-1,0.11931844953350779,-1,-0.07384723875880894,0.30948159348052573,0.1317671100998945,-1,0.4240212159555079,0.4409012576702265,-1,0.14184302789134717,0.5289010580833565,-1,0.1642120490764919,0.45511593942816553,-1,0.40385798945815976,0.056880214453398414,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
