model,west,berkshire,council,is,setting,up,an,emotional,health,academy,to,train,psychology,graduates,and,health,professionals,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,0.5546704693875267,0.4439101171936113,1.0,-1,0.40112037026300373,-1,-1,0.09386557014074126,0.41751129156178746,0.350075709816724,-1,0.25118751815320683,0.11455905495843888,0.10578436617185638,-1,0.41751129156178746,0.30078190265046745,-1
plans,0.30309684033851847,0.1064592185664639,0.5483487898117739,-1,0.5048508511419336,-1,-1,0.16026642749740083,0.3512271064697303,0.2998118919215519,-1,0.31485996821753015,0.019425818926334104,0.16072010728327235,-1,0.3512271064697303,0.20281944240474525,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,0.14183735351365445,0.04436260446857554,0.14064787157879366,-1,0.17695813407971928,-1,-1,0.08031020717953663,0.16620323917151558,0.16779310261952096,-1,0.40608780981180836,0.19249908282672312,0.5588627946091839,-1,0.16620323917151558,0.4885890885742956,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,0.30778241666005124,0.07174685002387049,0.34748958374261774,-1,0.5222046782333856,-1,-1,0.30177480888190655,0.4088951785409003,0.3186012158407162,-1,0.28509873392279406,0.08604767919161527,0.2188110267092238,-1,0.4088951785409003,0.31388988164837117,-1
staff,0.3004854038484832,0.20569274021537476,0.4105894861841257,-1,0.2733754508853785,-1,-1,0.3006949959199392,0.4921265011806476,0.4453039295697947,-1,0.46191659374257055,0.2761890284589573,0.43994881309508616,-1,0.4921265011806476,0.5303201789621506,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,0.31283926624013525,0.03650500851693905,0.17507461722314355,-1,0.23356699267031877,-1,-1,0.32548374684947745,0.420468902943243,0.3662841783967894,-1,0.3287876078335208,0.2160285134316614,0.5632281522147653,-1,0.420468902943243,0.5605398151709782,-1
people,0.3837155072012699,0.09597639133090308,0.2562250746911965,-1,0.3851042267726099,-1,-1,0.34615545577877627,0.4289706346603417,0.18500479810876902,-1,0.4241572091361727,0.12279672655432006,0.4007028673803268,-1,0.4289706346603417,0.4354291138764568,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,0.25293132839553123,0.10631150760662478,0.24880837221340735,-1,0.2610316801765795,-1,-1,0.5201066897136144,0.830658311995454,0.22502051928771571,-1,0.3086835062245328,0.38653255790820207,0.21348903015066,-1,0.830658311995454,0.7031371427939209,-1
health,0.34048601828451486,0.11888306906324098,0.41751129156178746,-1,0.31825864209038723,-1,-1,0.36898356260851783,1.0,0.2121272158296521,-1,0.2637710612377502,0.32728488590066684,0.1508996906398018,-1,1.0,0.7241788843894278,-1
problems,0.23809843312066215,0.011170593196953238,0.21406557305357365,-1,0.36542612140791153,-1,-1,0.4944517536561942,0.6413673393317475,0.20273480619265416,-1,0.31498570496627876,0.1675516485088523,0.1521540466713931,-1,0.6413673393317475,0.5026103608302488,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
