model,``,there,are,lots,more,things,you,can,do,early,on,without,needing,to,go,to,a,very,high-level,with,a,psychologist,or,psychiatrist,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,-1,-1,-1,0.14266553681420624,-1,0.1761462594900347,-1,-1,0.3246675412038771,0.1280580371760135,-1,0.3707383694238464,0.17762625464054105,-1,0.33880098610219966,-1,-1,-1,0.040936081390505086,-1,-1,0.11317042483589324,-1,0.10347588113079609,-1
plans,-1,-1,-1,0.29898861271069754,-1,0.3715242352532242,-1,-1,0.4212737935578834,0.3384432744756165,-1,0.4464672446818325,0.1637289183000301,-1,0.5127094991832718,-1,-1,-1,0.08441271516187532,-1,-1,-0.013515989511200255,-1,-0.007596211823599042,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,-1,-1,-1,0.4412425740047484,-1,0.31028438525782986,-1,-1,0.44889664122705253,0.07287825841379969,-1,0.23456209040130482,0.4369743201913835,-1,0.33274961115870894,-1,-1,-1,0.03462942241497469,-1,-1,0.25203997780367704,-1,0.13454830141487983,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,-1,-1,-1,0.35344817322319966,-1,0.48841318625313157,-1,-1,0.5443789305419128,0.38097829710062503,-1,0.5687799744727081,0.20354488575592444,-1,0.566238906519809,-1,-1,-1,-0.02476093471147811,-1,-1,0.04070797574891083,-1,0.05954631108467534,-1
staff,-1,-1,-1,0.3698938405713773,-1,0.3450623520639914,-1,-1,0.45336896609073163,0.30620892071524364,-1,0.46687574868905113,0.35442342218294587,-1,0.40623256362034277,-1,-1,-1,0.10770383379486659,-1,-1,0.2956719738263708,-1,0.24256130017462563,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,-1,-1,-1,0.5416573807975104,-1,0.5255892677351303,-1,-1,0.5587428196265161,0.3337219030399077,-1,0.4058986744567309,0.40989235470611174,-1,0.4742571093487483,-1,-1,-1,-0.05765207646889636,-1,-1,0.2864590305536986,-1,0.19488382260401516,-1
people,-1,-1,-1,0.604779929642379,-1,0.5408526646613291,-1,-1,0.6120096687472196,0.3084384077194007,-1,0.5196049322202013,0.4946501348229173,-1,0.5494076478274444,-1,-1,-1,0.01583884421101478,-1,-1,0.08689104696400018,-1,0.0019025051216301492,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,-1,-1,-1,0.3021298182489631,-1,0.3100080864251854,-1,-1,0.4004777731919149,0.2530510487726022,-1,0.44631789967903845,0.4469368496405519,-1,0.2751073307566143,-1,-1,-1,0.07644676136427653,-1,-1,0.2526599537400349,-1,0.20517200211366948,-1
health,-1,-1,-1,0.20782844087480778,-1,0.3151588365032376,-1,-1,0.40564357304966314,0.3053698622688429,-1,0.4355778370242376,0.337553126082465,-1,0.31104638807203455,-1,-1,-1,0.020128756162213213,-1,-1,0.25109894617147543,-1,0.19394269601841208,-1
problems,-1,-1,-1,0.47583345086091655,-1,0.5224515128919124,-1,-1,0.48795714880324903,0.35873025143902826,-1,0.5270030822117313,0.3350807510927085,-1,0.40785586739495605,-1,-1,-1,0.11715521263961193,-1,-1,0.14479243498556937,-1,0.09442318719542764,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
