model,reprinting,the,anti-semitic,book,was,banned,after,ww2,by,bavaria,'s,regional,government,which,held,the,copyright,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-0.40490213005984166,-1,0.1723332933413546,0.3021762885877808,-1,0.4543578598919036,-1,0.05435702354712868,-1,0.04031934799598791,-1,0.26322599654070955,0.3363961908590076,-1,0.39530743126177137,-1,-0.0437217983402014,-1
years,-0.4338957658606535,-1,0.13928419091647215,0.35303377502379263,-1,0.5305021294981768,-1,0.09075596758380156,-1,0.0768228029142114,-1,0.37068533688655136,0.4157362954435908,-1,0.4543981740736083,-1,0.003713578622942082,-1
adolf,0.11700111107517852,-1,0.23632472958960282,0.12525943619516144,-1,-0.05146361530826993,-1,0.15499269560676276,-1,0.25570663606389865,-1,-0.28279794938308633,-0.11261225092665494,-1,-0.1308880711181768,-1,0.21837004586075448,-1
hitler,-0.10632612464503532,-1,0.3280815050385055,0.3141323755271974,-1,0.13561229231135818,-1,0.24856493746152297,-1,0.32798841343352136,-1,-0.0740301081093846,0.06482529452455488,-1,0.07280756142779632,-1,0.2465181362995441,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,-0.19114218223417634,-1,0.2692141886896351,0.08474479653313716,-1,0.22260641558220895,-1,0.44647005787430016,-1,0.3583322507057951,-1,0.1897563406867322,0.09990016349876096,-1,0.1473420616352734,-1,0.24417821562195052,-1
manifesto,-0.12837975191361828,-1,0.21339042826287047,0.3397777501931223,-1,0.12938803517450503,-1,0.11290759681262763,-1,0.0700896181665297,-1,0.3862390269625534,0.42987924037733594,-1,0.25948420162893227,-1,0.12865755829299086,-1
mein,0.3211516272732816,-1,-0.08398943903253797,-0.15875033590900656,-1,-0.3854195633972166,-1,-0.009461954740496159,-1,0.39522208061655295,-1,-0.18778037803676506,-0.27365356810788644,-1,-0.3083659357522852,-1,0.029037937760430288,-1
kampf,0.4250400860758906,-1,-0.0854825458491364,-0.22294418428924145,-1,-0.43286717146441545,-1,-0.009075516448195264,-1,0.282828656185635,-1,-0.31760187938728857,-0.4059547579290721,-1,-0.37962477891210833,-1,0.03263947380890864,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-0.29646973934739984,-1,0.10704938989609736,0.3263529523873403,-1,0.4750529613874336,-1,-0.06844335079572805,-1,-0.09268129636854106,-1,0.3052649525183587,0.28153941096173907,-1,0.30141313003868975,-1,0.1251850740163477,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-0.470601274170789,-1,-0.022514122227560662,0.47072130713347415,-1,0.33881216339542497,-1,-0.07902112719084586,-1,-0.015776672249867563,-1,0.262654991475217,0.4118644507439648,-1,0.24648999540526062,-1,0.32573372408394097,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-0.4909654258614753,-1,0.057256444631390235,0.24144466558363753,-1,0.4578796314028939,-1,0.12484876685869473,-1,0.3720290364110186,-1,0.45776423069734806,0.3537604439255615,-1,0.41098559457729644,-1,0.14652986759439368,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
