model,historians,say,the,book,helps,academics,understand,what,happened,in,the,nazi,era,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0.14265037167012962,-1,-1,0.3021762885877808,0.25012241972811977,0.28763856587078207,0.2589833980685956,-1,0.43172806140972475,-1,-1,0.1528384337787071,0.21996813559354556,-1
years,0.15278195566818675,-1,-1,0.35303377502379263,0.21317810704217377,0.2216606631318957,0.3531285059317377,-1,0.4980338275127514,-1,-1,0.14625005618014475,0.3674996653085574,-1
adolf,0.06227504491021685,-1,-1,0.12525943619516144,0.05114881529506021,-0.035647669045128394,0.047699037014500956,-1,0.04199609885341482,-1,-1,0.4030407412438626,0.09537201695760344,-1
hitler,0.07131860884551644,-1,-1,0.3141323755271974,0.17097416212142702,0.010875964660171822,0.21096583114058787,-1,0.24556179016939927,-1,-1,0.5323311839304654,0.2524925598462717,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,0.05113784572376212,-1,-1,0.08474479653313716,0.022899270402999217,0.07422989680063374,0.08210573739019478,-1,0.1180198196706218,-1,-1,1.0,0.3886759657894371,-1
manifesto,0.13831817790540613,-1,-1,0.3397777501931223,0.20437121148968518,0.14639539962527237,0.25366629016253517,-1,0.11697212700280202,-1,-1,-0.012599214055998287,0.14972395547231931,-1
mein,-0.047209692608916276,-1,-1,-0.15875033590900656,-0.2302302071348421,-0.036971171679248904,-0.2535338517607717,-1,-0.3287192109928512,-1,-1,0.16423284603219113,-0.06975082839305724,-1
kampf,-0.15362710564098858,-1,-1,-0.22294418428924145,-0.3091324688830466,-0.16994779070568433,-0.38613513153695234,-1,-0.37863095842976247,-1,-1,0.15406151031995363,-0.10702805429806728,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,0.07927226754536965,-1,-1,0.3263529523873403,0.2144073487563103,0.16478498263550256,0.29254555546425154,-1,0.21747635488944905,-1,-1,-0.06530233594662715,0.1397099516999114,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,0.20569750275085052,-1,-1,0.47072130713347415,0.565579298743148,0.267054750600193,0.45683140685538337,-1,0.24803192186952805,-1,-1,0.06971421307559666,0.2597012459617837,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,0.07493306681332479,-1,-1,0.24144466558363753,0.2213959597772286,0.19922450315331353,0.2946209046112951,-1,0.3352381589774316,-1,-1,0.5828075959405247,0.294020296925798,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
