model,under,european,copyright,law,the,rights,of,an,author,of,a,literary,or,artistic,work,runs,for,the,life,of,the,author,and,for,70,years,after,his,death,-,in,hitler,'s,case,on,30,april,1945,when,he,shot,himself,in,his,bunker,in,berlin,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0.4119919370815447,0.3036406805900933,-0.0437217983402014,0.22359861715057683,-1,0.22365773503715758,-1,-1,0.23246592137170152,-1,-1,-0.018953095165021194,-1,-0.03967329325077684,-1,0.570667600135672,-1,-1,0.4536264787325033,-1,-1,0.23246592137170152,-1,-1,1.0,0.7839877650058263,-1,-1,0.33664743039805267,-1,-1,0.17159166672006676,-1,0.3091900032331908,-1,0.791894313774573,0.6039593619028037,0.30411177146889834,-1,-1,0.4439894933473254,0.31137697885113924,-1,-1,-0.06065232350255423,-1,0.268810602423337,-1
years,0.5045700645919381,0.41856412277168076,0.003713578622942082,0.3626401024528859,-1,0.2730769768440895,-1,-1,0.2591818170277407,-1,-1,0.06474794018656549,-1,0.12360235487037141,-1,0.5173393230502626,-1,-1,0.6663202123046282,-1,-1,0.2591818170277407,-1,-1,0.7839877650058263,1.0,-1,-1,0.41262139165027867,-1,-1,0.09979753421393622,-1,0.4619559893878218,-1,0.73351865904454,0.609644282062383,0.27688327755881925,-1,-1,0.3448318526570504,0.3332681170358718,-1,-1,-0.046537788640212296,-1,0.2778799363117075,-1
adolf,-0.23753405322479781,-0.272257517724811,0.21837004586075448,-0.10066422569841738,-1,-0.2103188410081489,-1,-1,-0.0007703488115573531,-1,-1,-0.09048384688874522,-1,-0.14856779464629577,-1,-0.08278373489181967,-1,-1,-0.0840659179327623,-1,-1,-0.0007703488115573531,-1,-1,-0.005378274941432615,-0.12173162263290127,-1,-1,0.005752344080892313,-1,-1,0.9011337864661549,-1,-0.13498677174959495,-1,-0.1588437799822493,-0.1198083678448345,0.23044383926250278,-1,-1,-0.06512309695418672,0.0017173471792617523,-1,-1,0.20418673570607093,-1,0.09237054222846619,-1
hitler,-0.04962637334951858,-0.006766582073156835,0.2465181362995441,0.09048903421698884,-1,-0.034858307359796115,-1,-1,0.1141432468719451,-1,-1,-9.428886371742884e-05,-1,-0.04784858423739968,-1,0.06007091455959046,-1,-1,0.11211573676438735,-1,-1,0.1141432468719451,-1,-1,0.17159166672006676,0.09979753421393622,-1,-1,0.15837471878073328,-1,-1,1.0,-1,0.07526579965156299,-1,0.045696090642965204,0.11539600690320018,0.38950103037104433,-1,-1,0.09273638110147875,0.18538220622710488,-1,-1,0.3045296104006471,-1,0.2517103499226634,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
