model,``,stalled,'',she,said,before,challenging,anyone,in,the,room,to,name,a,significant,change,that,had,taken,place,in,the,last,two,years,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,0.11267599035460851,-1,-1,-1,-1,0.2714020386432954,0.254217743190831,-1,-1,0.31577312091646625,-1,0.3736297119778895,-1,0.196594609129096,0.35391690152624566,-1,-1,0.2864746239499243,0.26835193050756145,-1,-1,-1,0.29588819738743544,0.21396547302470992,-1
conference,-1,0.194505637554943,-1,-1,-1,-1,0.2872053658059086,0.11631437146993973,-1,-1,0.38996525111013813,-1,0.3839227192745134,-1,0.25666869540906156,0.4001902545878655,-1,-1,0.2945647028786229,0.3721263259726213,-1,-1,-1,0.28318440774991127,0.22465124554609517,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.3488414448992152,-1,-1,-1,-1,0.49181532634065095,0.38312967343330695,-1,-1,0.4436172115006147,-1,0.5073823081158053,-1,0.3952869194602999,0.49326167647100616,-1,-1,0.5756599795994634,0.49211575744268343,-1,-1,-1,0.6318699402809922,0.6872817189349585,-1
opposition,-1,0.19319876506548428,-1,-1,-1,-1,0.3598644989787517,0.21276230629578108,-1,-1,0.226743536341929,-1,0.3858268872648233,-1,0.3393412815807251,0.44338696747851514,-1,-1,0.3080541312199552,0.20436470508358096,-1,-1,-1,0.4115145056202173,0.30539287064791965,-1
leader,-1,0.061957827702252,-1,-1,-1,-1,0.27446833762970013,0.1655316687780909,-1,-1,0.13822647238307662,-1,0.4298847010263376,-1,0.24537446702340604,0.40452584404697767,-1,-1,0.2676951139702002,0.19374755084450812,-1,-1,-1,0.29057664347918655,0.30773326184657834,-1
aung,-1,0.03190797704724124,-1,-1,-1,-1,-0.21534048323720634,-0.27246041220445405,-1,-1,-0.1958374045777127,-1,-0.17647498410229745,-1,-0.2645772895524401,-0.1265732691477457,-1,-1,-0.23595050155080877,-0.24011691720739936,-1,-1,-1,-0.146495258866008,-0.19432029186380073,-1
san,-1,0.1776814831359801,-1,-1,-1,-1,0.01494477224036761,-0.020284612559070325,-1,-1,0.11703215508051745,-1,0.06643469005306202,-1,-0.07970300920109419,0.044292455174439804,-1,-1,0.09317831561842682,0.0582509671347925,-1,-1,-1,0.1391285109224435,0.08826611569832676,-1
suu,-1,0.01848319039805013,-1,-1,-1,-1,-0.1365151283592354,-0.038931341827029176,-1,-1,-0.11411153654200423,-1,-0.05939972472488231,-1,-0.263463203388574,-0.10489144574031295,-1,-1,-0.04678319227562011,-0.1456662001815836,-1,-1,-1,-0.06523389488127962,-0.04479081389635131,-1
kyi,-1,0.0722443266869568,-1,-1,-1,-1,-0.08213296661012515,-0.02563710507108885,-1,-1,-0.08486717518222231,-1,0.00520792257006264,-1,-0.22928758496492607,-0.062344191179106945,-1,-1,-0.003400038260130911,-0.09796691447390438,-1,-1,-1,-0.029214813660738637,0.012842314113517439,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,0.05153426283714968,-1,-1,-1,-1,0.29778874484073237,0.674927188290268,-1,-1,0.37030199645756445,-1,0.5332011901595051,-1,0.2811814372762056,0.4664478678903414,-1,-1,0.534489988071105,0.30574793346297513,-1,-1,-1,0.3818649522730755,0.3920835285446337,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
