model,so,is,she,right,?,has,the,much,vaunted,burmese,reform,project,ground,to,a,halt,?,the,answer,depends,on,how,narrowly,you,define,reform,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,0.296645270001511,-1,-1,0.34483421052940966,-1,-1,-1,0.27829778891451795,-0.2429232707143809,0.1045188891533736,0.407182314914758,0.27770885539769763,0.2838303434565981,-1,-1,0.21379798892384527,-1,-1,0.3698252096495984,0.10657199732261902,-1,0.28718330446456375,-0.04850637361153076,-1,0.07819379391930248,0.407182314914758,-1
conference,0.31955189612435975,-1,-1,0.24566619662885425,-1,-1,-1,0.2346526535924942,-0.31059826403719937,0.0576458294969846,0.4340459221711015,0.3509457250302115,0.3355230790718595,-1,-1,0.1970870852604366,-1,-1,0.30497103581397367,0.12575962202294544,-1,0.29158501558824956,-0.027163861542950807,-1,0.04665313912107294,0.4340459221711015,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.5899194662478845,-1,-1,0.31850480328785846,-1,-1,-1,0.4887592380645306,-0.37290475610236573,0.10906674605148381,0.43441017795507875,0.5059179786508834,0.5429728486705585,-1,-1,0.36824318354953856,-1,-1,0.38331541877042197,0.24847742651395555,-1,0.4844324372304687,0.19790404509782578,-1,0.18139100450812207,0.43441017795507875,-1
opposition,0.3625843259107193,-1,-1,0.2883002167453108,-1,-1,-1,0.36550498453528046,-0.12815911976036398,0.3618801194406268,0.4053114442052872,0.2358212432593787,0.37327478682062765,-1,-1,0.24754610567313895,-1,-1,0.3522784895849762,0.12287683136430283,-1,0.25365795104977096,0.2662574365977479,-1,0.11029044499052876,0.4053114442052872,-1
leader,0.2957916199483521,-1,-1,0.2241851881548078,-1,-1,-1,0.23555252591066522,-0.290660795843968,0.2110966956176128,0.3507067741072881,0.3158743668677748,0.2355102487019659,-1,-1,0.10387793044382854,-1,-1,0.2154388835616533,0.03700827148496266,-1,0.2781091685830721,0.12720431952798283,-1,0.0774322837346405,0.3507067741072881,-1
aung,-0.3036152916957715,-1,-1,-0.04891992386391375,-1,-1,-1,-0.29913745622630117,-0.12185644523755212,0.23766140492494436,-0.00888984633444978,-0.04564699743672218,-0.1091860898654371,-1,-1,-0.012109340420864978,-1,-1,-0.205595391864424,-0.2322890193618672,-1,-0.27376663468604545,-0.0811938040384732,-1,-0.09651972323162061,-0.00888984633444978,-1
san,-0.0477930282201966,-1,-1,0.19992277952592785,-1,-1,-1,-0.09808124820094433,-0.38342058244167987,0.2555533863029005,0.1710393227004352,0.16221610427380784,0.21126938726465405,-1,-1,0.1770773940958904,-1,-1,-0.03034713313298476,-0.07557527838584477,-1,-0.0387430393114121,-0.002539606101120029,-1,0.012855142999686486,0.1710393227004352,-1
