model,there,was,no,way,it,could,.
at,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,0.314523509429542,0.28046379639549546,-1,-1,-1
conference,-1,-1,0.2670290571351539,0.25379546687114174,-1,-1,-1
last,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.3954041341728941,0.48579613338258965,-1,-1,-1
opposition,-1,-1,0.3216395489064924,0.3084228184672615,-1,-1,-1
leader,-1,-1,0.24628926679251506,0.22745540164913292,-1,-1,-1
aung,-1,-1,-0.22745425662543228,-0.25519295606902004,-1,-1,-1
san,-1,-1,-0.043588615195581104,0.007706592923477085,-1,-1,-1
suu,-1,-1,-0.11548924299164764,-0.12195931549750516,-1,-1,-1
kyi,-1,-1,-0.09202000139166233,-0.09325019971200121,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,0.44759122330467427,0.40992807226865746,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,0.4313706755309772,0.3951043438954889,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,0.07818826437327209,0.11422884462149696,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1
reform,-1,-1,0.39981319097564594,0.4438489986416403,-1,-1,-1
process,-1,-1,0.29358091183211277,0.5080577774353415,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1
