model,so,did,the,reformers,run,out,of,steam,?,did,thein,sein,'s,project,reach,a,roadblock,manned,by,hardliners,in,the,burmese,army,?,or,perhaps,we,'re,close,to,the,final,destination,-,that,is,with,sanctions,lifted,and,the,army,still,really,in,charge,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,0.296645270001511,0.3848736939304198,-1,-0.15252014491553267,0.27978857281139125,-1,-1,0.0035059436291658974,-1,0.3848736939304198,-0.16764742454533987,-0.1827738849751066,-1,0.27770885539769763,0.21675907401044858,-1,-0.09303694920534333,-0.07709692469641527,-1,0.017421869489023023,-1,-1,0.1045188891533736,0.32923049678929317,-1,-1,0.2055959583610315,-1,-1,0.3324055286117338,-1,-1,0.34621759186260515,0.08086224655551755,-1,-1,-1,-1,0.30821832229383095,0.23524819549274567,-1,-1,0.32923049678929317,0.3256484459623262,0.26902617166449927,-1,0.2773036130020303,-1
conference,0.31955189612435975,0.3669329276909108,-1,-0.260309154005951,0.3185753177597328,-1,-1,0.11319232437680715,-1,0.3669329276909108,-0.09898843836745796,-0.13081260100366565,-1,0.3509457250302115,0.26031966599509904,-1,-0.04074760215017581,-0.0715485784131571,-1,-0.09158644100006841,-1,-1,0.0576458294969846,0.3066216902994612,-1,-1,0.19467808108180362,-1,-1,0.3256366930726149,-1,-1,0.4396283288254842,0.231325029269687,-1,-1,-1,-1,0.30704999557348267,0.2466700109380049,-1,-1,0.3066216902994612,0.2752400582762198,0.23005744759988678,-1,0.21049203548060125,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.5899194662478845,0.6140100841660993,-1,-0.33405455204382317,0.6048374729292008,-1,-1,0.1454534643711789,-1,0.6140100841660993,-0.12687416302134125,-0.1471052589737154,-1,0.5059179786508834,0.5006045599586418,-1,-0.19333320495304185,0.07902807722138905,-1,-0.09593610194224378,-1,-1,0.10906674605148381,0.4225691058706914,-1,-1,0.5161636242827383,-1,-1,0.43819844383153583,-1,-1,0.6047763060954748,0.250830002047127,-1,-1,-1,-1,0.3708694868748609,0.41057291964295106,-1,-1,0.4225691058706914,0.4830116793427708,0.48592503711368984,-1,0.42637696158102734,-1
opposition,0.3625843259107193,0.37165710226561843,-1,0.028384091008637924,0.2886265600297713,-1,-1,0.04657437457887181,-1,0.37165710226561843,0.0005954845796513064,-0.016682041321664176,-1,0.2358212432593787,0.31911795682358046,-1,-0.037537492005166984,-0.02115344193655444,-1,0.3632888431326443,-1,-1,0.3618801194406268,0.4591206471888354,-1,-1,0.38071581629685536,-1,-1,0.3582852713724841,-1,-1,0.35061530473059843,0.25115735379760273,-1,-1,-1,-1,0.4197355066438391,0.2759765522584272,-1,-1,0.4591206471888354,0.36747560989326544,0.26487838090994276,-1,0.20270636860650426,-1
leader,0.2957916199483521,0.3593190371120816,-1,-0.17917532218634702,0.23382060647079395,-1,-1,0.10802477278238476,-1,0.3593190371120816,0.06497467095106257,0.06617492879006337,-1,0.3158743668677748,0.22534042505539653,-1,-0.19359744623139852,-0.1123570871494004,-1,0.15318008374655556,-1,-1,0.2110966956176128,0.40592457834341067,-1,-1,0.2897993333979789,-1,-1,0.30456784036450313,-1,-1,0.28263849501390825,0.11131199543338377,-1,-1,-1,-1,0.1922485988165482,0.15037220090872327,-1,-1,0.40592457834341067,0.2287879175374763,0.21245487417814324,-1,0.2093744709816674,-1
aung,-0.3036152916957715,-0.2154359643715411,-1,0.05085492083620313,-0.250436396699387,-1,-1,0.10057906342975853,-1,-0.2154359643715411,0.1038330298518031,0.12846042159032978,-1,-0.04564699743672218,-0.15041490137954394,-1,0.10262221966933804,0.020316681834145256,-1,0.3125500913604584,-1,-1,0.23766140492494436,0.21793418104700413,-1,-1,-0.32385328447547934,-1,-1,-0.0919948869709426,-1,-1,-0.05539057055918106,-0.10907293421965081,-1,-1,-1,-1,0.05194888189200075,-0.0665463414695111,-1,-1,0.21793418104700413,-0.27636653431824865,-0.2509310638596527,-1,-0.1681731219102396,-1
san,-0.0477930282201966,0.052179866123554075,-1,-0.040922748619103944,0.01466829193508179,-1,-1,0.1437754181159625,-1,0.052179866123554075,0.07778411481412506,0.11920460148641732,-1,0.16221610427380784,0.023407031214878637,-1,0.07094778331467178,0.018619436181494087,-1,0.27918746440212394,-1,-1,0.2555533863029005,0.45232307865295973,-1,-1,-0.08046938764882472,-1,-1,0.13882189549417578,-1,-1,0.14029119906081955,0.01527323178172868,-1,-1,-1,-1,0.2149391256322819,0.1647084708869092,-1,-1,0.45232307865295973,-0.017034821485033103,-0.007804413083416728,-1,0.10992396244220026,-1
