model,drafted,in,2008,it,entrenches,the,military,'s,control,of,political,life,guaranteeing,it,a,quarter,of,the,seats,in,the,hluttaw,-lrb-,the,burmese,parliament,-rrb-,and,a,veto,over,any,changes,to,the,constitution,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,0.09250102358008261,-1,0.2411853611228959,-1,-0.32950489259991134,-1,0.22651878631475497,-1,0.25808469981354976,-1,0.33082309074252725,0.2858624175269121,0.24189902369899396,-1,-1,0.22187324761206917,-1,-1,0.13386765480135987,-1,-1,-0.32941302756177593,-1,-1,0.1045188891533736,0.4689120756027323,-1,-1,-1,0.1464350227667408,-1,0.35936140069768296,0.2233798850535489,-1,-1,0.229422541083372,-1
conference,0.05165796037011072,-1,0.3822505630070523,-1,-0.36569773830098096,-1,0.2520753878590343,-1,0.2761920557066173,-1,0.3650364656771943,0.22639229439730113,0.128749407774416,-1,-1,0.3222524770059525,-1,-1,0.3406144569896319,-1,-1,-0.3504096510674368,-1,-1,0.0576458294969846,0.6120444499586766,-1,-1,-1,0.15952520065550502,-1,0.29315663267437964,0.2677091415305153,-1,-1,0.18395216572582873,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.2376231133406288,-1,0.5169021019588662,-1,-0.33062252982829143,-1,0.35277823471813896,-1,0.3870636161111767,-1,0.30803065392886886,0.5206049441011638,0.1121905897686607,-1,-1,0.6248478858965939,-1,-1,0.4900842042606618,-1,-1,-0.5533306869370502,-1,-1,0.10906674605148381,0.6855705573490423,-1,-1,-1,0.243227855512421,-1,0.46388980253030077,0.45961398548334453,-1,-1,0.2979813370166364,-1
opposition,0.15355646060828765,-1,0.2994649793031756,-1,-0.2689985421655865,-1,0.43779446713752934,-1,0.43745723729252783,-1,0.5811498179820659,0.21181287475466115,0.10610829245459807,-1,-1,0.23766588266046418,-1,-1,0.4235923400853683,-1,-1,-0.36185971093252123,-1,-1,0.3618801194406268,0.534790551544009,-1,-1,-1,0.28483898255149875,-1,0.4026052178715307,0.3114478182781001,-1,-1,0.2955406768964872,-1
leader,0.07419918672267833,-1,0.26723021032024596,-1,-0.36934815614229755,-1,0.2781594536118219,-1,0.3538604002383765,-1,0.3488460754332652,0.21227050010664072,-0.1180405141766816,-1,-1,0.18899768144179885,-1,-1,0.3920134263127053,-1,-1,-0.3249453339435886,-1,-1,0.2110966956176128,0.5175823365379185,-1,-1,-1,0.18013140320436583,-1,0.24711511557946086,0.2406343053656972,-1,-1,0.23397653410499852,-1
aung,-0.012683629921158568,-1,-0.06082819203896905,-1,-0.2427067852422582,-1,-0.0148098719905283,-1,-0.0747769037951369,-1,-0.03642246885154421,-0.36055325770789737,-0.14158379925943732,-1,-1,-0.18263743369197472,-1,-1,-0.016729348972425173,-1,-1,0.04038347855903346,-1,-1,0.23766140492494436,0.02651418763619451,-1,-1,-1,0.008919075711809388,-1,-0.3074008401472623,-0.18036951994582395,-1,-1,0.09699141154448532,-1
san,0.17409912703942787,-1,0.2250827477426982,-1,-0.5446656237782017,-1,0.13400463002428853,-1,0.09021593497170699,-1,0.0360947133231152,-0.058308142923884976,-0.05158727925860984,-1,-1,0.03313143750078418,-1,-1,0.10104982871298274,-1,-1,-0.28471849442657815,-1,-1,0.2555533863029005,0.20591290796282558,-1,-1,-1,0.08254449802011177,-1,-0.09643478338171763,-0.00300580278758944,-1,-1,0.20774770508505847,-1
suu,0.05422108860737607,-1,-0.03101350600434105,-1,-0.3522699655741146,-1,-0.055297152293379614,-1,-0.07856389119739804,-1,-0.04116421844870777,-0.14015172593744607,-0.23018781356745888,-1,-1,-0.20028147220690795,-1,-1,-0.056024697986468475,-1,-1,-0.017584136963884944,-1,-1,0.20840172604335117,0.06645322913845064,-1,-1,-1,0.030926807096325892,-1,-0.19569533340883472,-0.12674746906228496,-1,-1,0.10604381615323766,-1
kyi,0.08163187088098633,-1,0.009802129668888937,-1,-0.3475715268612727,-1,-0.018337829077831325,-1,-0.02353375629531218,-1,0.0032945148238603394,-0.07676493502549353,-0.2193905712815276,-1,-1,-0.16389563952157582,-1,-1,-0.021534681767904518,-1,-1,-0.0707002305302955,-1,-1,0.23176280577219266,0.1020956427803561,-1,-1,-1,0.08264359162442902,-1,-0.16130274901594843,-0.09390661391979305,-1,-1,0.1548557482968338,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,0.2999459823049009,-1,0.30320387850486985,-1,-0.46093611818802094,-1,0.32457649442048875,-1,0.31780172563164333,-1,0.30739890503991996,0.43012131077661797,0.07574233434497113,-1,-1,0.12405271847568589,-1,-1,0.2737595343643636,-1,-1,-0.42311126907789043,-1,-1,0.16871508320275685,0.54949010945349,-1,-1,-1,0.23985367596910612,-1,0.4944422665943633,0.4328180495700469,-1,-1,0.24064591715932337,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,0.1854408274662639,-1,0.28390479943565405,-1,-0.3138251809453865,-1,0.29746028533630153,-1,0.478485239331515,-1,0.29023301904048393,0.5040548676358295,0.28284321765146647,-1,-1,0.30513265304492065,-1,-1,-0.022098766945701787,-1,-1,-0.5216695519691157,-1,-1,-0.07757099023779523,0.26392849683997843,-1,-1,-1,0.2474074289901348,-1,0.4920170213786955,0.4040064147652118,-1,-1,0.19555775138302178,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
