model,this,is,what,its,architects,proudly,call,a,``,disciplined,democracy,'',.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,-1,-1,0.06275959777206608,0.15887699676355982,0.5304682480367734,-1,-1,0.13026877065682596,0.2620450663299947,-1,-1
conference,-1,-1,-1,-1,0.04956772370874252,0.19295980902241872,0.5270533754415347,-1,-1,0.03815221860027096,0.2857494260352842,-1,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,-1,-1,0.03061825551361319,-0.002950714250768316,0.6162168857125698,-1,-1,0.1952682398750617,0.3200226636819612,-1,-1
opposition,-1,-1,-1,-1,0.07054236660843693,0.11882456984825496,0.37989980855037686,-1,-1,0.18788537864642807,0.36129447370220047,-1,-1
leader,-1,-1,-1,-1,0.09485923952487685,0.08057449312579823,0.2906695798460919,-1,-1,0.11246350794587356,0.3283074226938467,-1,-1
aung,-1,-1,-1,-1,0.10213631516953559,0.02350164437953317,-0.24074470703888262,-1,-1,-0.09731617301013151,-0.004822038840661458,-1,-1
san,-1,-1,-1,-1,0.23816650585711052,0.08234244111097333,0.04370637448650172,-1,-1,0.0648223510458743,0.13586077052713874,-1,-1
suu,-1,-1,-1,-1,0.04456684563418012,-0.008091292358517688,-0.14197922711901168,-1,-1,-0.10077969696344713,0.019994661120276258,-1,-1
kyi,-1,-1,-1,-1,0.04325239121003155,0.01377787003598363,-0.1326127834539652,-1,-1,-0.049676431558360656,0.0910283110514718,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,-1,-1,0.03301692803749523,0.1336870144536101,0.697316327303575,-1,-1,0.2230543882814252,0.2776299413491633,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,-1,-1,0.19462423412770002,0.1115823891783505,0.3329639429801563,-1,-1,0.38269498635237253,0.7470682171858387,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,-1,-1,0.008907622620151656,-0.07590909551944214,0.18021151027416848,-1,-1,0.043718382653390675,0.16494513825362545,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,-1,-1,-1,0.38063092416847166,0.02003186959721248,0.47030376623763237,-1,-1,0.17734382883316657,0.2661552385337085,-1,-1
process,-1,-1,-1,-1,0.07678250363344497,0.12486711764842062,0.37173997316961804,-1,-1,0.20933756827944583,0.3948328614485682,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
