model,the,opposition,have,focused,on,the,two,parts,they,want,changed,most,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,0.3451396106093815,-1,0.24092457924847321,-1,-1,0.29588819738743544,0.16476022783100652,-1,0.3306377124779032,0.26757852061158505,-1,-1
conference,-1,0.45288871282213017,-1,0.28769925133298146,-1,-1,0.28318440774991127,0.19964928730919884,-1,0.3345059529318902,0.22914403409386197,-1,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.4025893529093837,-1,0.39460056295571677,-1,-1,0.6318699402809922,0.38248368413724343,-1,0.5108354326945443,0.5433287717829631,-1,-1
opposition,-1,1.0,-1,0.372843138243764,-1,-1,0.4115145056202173,0.3280052067663386,-1,0.4141995392140665,0.3212930008119974,-1,-1
leader,-1,0.6185656853132759,-1,0.268649220180165,-1,-1,0.29057664347918655,0.22521446820348312,-1,0.33621705434203397,0.30361029144262175,-1,-1
aung,-1,0.14406555908820495,-1,-0.13912564124011717,-1,-1,-0.146495258866008,-0.12741556456998548,-1,-0.22322663760792993,-0.2722108056145336,-1,-1
san,-1,0.14341269203110873,-1,0.03515530096898212,-1,-1,0.1391285109224435,0.08657602812145027,-1,-0.012297632069696363,-0.019731107767662515,-1,-1
suu,-1,0.04990470651600676,-1,-0.11399543736935347,-1,-1,-0.06523389488127962,-0.13076714981732773,-1,-0.09636570134393718,-0.07473913162197876,-1,-1
kyi,-1,0.10232824320708289,-1,-0.045722774839067615,-1,-1,-0.029214813660738637,-0.11885214979162417,-1,-0.054659688589406175,-0.005433749614236927,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,0.3461725161534226,-1,0.2876028018997263,-1,-1,0.3818649522730755,0.19148329933138863,-1,0.6127252446918894,0.46875733309106193,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,0.29524744408204695,-1,0.3328619938762919,-1,-1,0.29582573890411523,0.2511722628533207,-1,0.3127725705969653,0.34988766261672244,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,0.3923218429488029,-1,0.12260216227075627,-1,-1,0.2789325985891564,0.3617343504137176,-1,0.18215377556134416,0.18290825494304297,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,0.4053114442052872,-1,0.3857051399193008,-1,-1,0.2739464194839314,0.32942972012692395,-1,0.43580066708614607,0.46073360001258123,-1,-1
process,-1,0.28315413950351087,-1,0.43045380412283296,-1,-1,0.3004515256760698,0.28077697019787085,-1,0.3994768169496806,0.46396677826761745,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
