model,the,pace,of,political,change,has,certainly,slowed,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,0.10825679012487233,-1,0.33082309074252725,0.35391690152624566,-1,0.21280369037121027,0.10518782000070503,-1
conference,-1,0.16776033797418877,-1,0.3650364656771943,0.4001902545878655,-1,0.18828548311802473,0.11289912748143427,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.35195824605215253,-1,0.30803065392886886,0.49326167647100616,-1,0.4927860060254263,0.29739647062692076,-1
opposition,-1,0.24430427961301981,-1,0.5811498179820659,0.44338696747851514,-1,0.36633411231266333,0.18871440435673748,-1
leader,-1,0.23309056662007077,-1,0.3488460754332652,0.40452584404697767,-1,0.2429514447970531,0.1669996743227693,-1
aung,-1,-0.08120101835189497,-1,-0.03642246885154421,-0.1265732691477457,-1,-0.18903059749733564,-0.010329197005030544,-1
san,-1,0.05420216484237461,-1,0.0360947133231152,0.044292455174439804,-1,0.038182932455509966,0.05904281693201374,-1
suu,-1,-0.06084662209748326,-1,-0.04116421844870777,-0.10489144574031295,-1,-0.031015802276057824,-0.03712921363280741,-1
kyi,-1,-0.02721090753153077,-1,0.0032945148238603394,-0.062344191179106945,-1,0.036945642869928186,-0.00846187758167627,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,0.1344358681325768,-1,0.30739890503991996,0.4664478678903414,-1,0.4160391284328864,0.1161879202039523,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,0.23697473437087302,-1,0.29023301904048393,0.4526415944444304,-1,0.32613767209947575,0.10484172553503546,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,0.13671413799371157,-1,0.23670699247532645,0.2422174169622946,-1,0.21484667342761687,0.19201464462581375,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,0.2449286595759499,-1,0.4846680058335455,0.6827267276846758,-1,0.3415287816761461,0.24368266514679737,-1
process,-1,0.26284745323403036,-1,0.5106362890379978,0.567820775781895,-1,0.3728994628722082,0.19964801727001324,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
