model,in,part,that,'s,because,the,easiest,reforms,took,place,in,the,first,18,months,of,thein,sein,'s,presidency,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,0.2797266092173156,-1,-1,0.3513969694132755,-1,-0.06363348258280332,0.26228070256845415,0.23298375073201472,0.26835193050756145,-1,-1,-1,0.20102801608994303,0.26335553221872776,-1,-0.16764742454533987,-0.1827738849751066,-1,0.22326617240283952,-1
conference,-1,0.3986390505328743,-1,-1,0.34044032956424486,-1,-0.1210704811407175,0.3327220526172727,0.3137175009516099,0.3721263259726213,-1,-1,-1,0.27124000928536873,0.283690940751673,-1,-0.09898843836745796,-0.13081260100366565,-1,0.38244368577477506,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.5657557028805857,-1,-1,0.6110938220370042,-1,0.04204348222739174,0.36412398602310914,0.49694808883692776,0.49211575744268343,-1,-1,-1,0.6255637291055494,0.7848825990686852,-1,-0.12687416302134125,-0.1471052589737154,-1,0.4050778169213376,-1
opposition,-1,0.36829058763593914,-1,-1,0.40875810348088093,-1,0.016276058697386686,0.3725976141067716,0.3130210539216267,0.20436470508358096,-1,-1,-1,0.27069810114434323,0.33447375396721934,-1,0.0005954845796513064,-0.016682041321664176,-1,0.37814688416984543,-1
leader,-1,0.3604852036176611,-1,-1,0.2846013138442638,-1,-0.07926317226804724,0.25912332097798885,0.34293142877674865,0.19374755084450812,-1,-1,-1,0.24958476774873128,0.27415152489119365,-1,0.06497467095106257,0.06617492879006337,-1,0.31850073385050837,-1
aung,-1,-0.1519513503969543,-1,-1,-0.2706956235607936,-1,-0.03713478480208221,-0.03191666441139218,-0.14187478190001368,-0.24011691720739936,-1,-1,-1,-0.16190390736501414,-0.3167031282120645,-1,0.1038330298518031,0.12846042159032978,-1,0.048130815777171376,-1
san,-1,0.11027227813731855,-1,-1,0.03198340410939171,-1,-0.020152858985349686,0.06538652367571796,0.12087773867873186,0.0582509671347925,-1,-1,-1,0.15723511988380934,-0.006216881210402203,-1,0.07778411481412506,0.11920460148641732,-1,0.2272302787934033,-1
suu,-1,-0.11544210518535558,-1,-1,-0.1012700554098922,-1,0.011986279442208536,-0.038170392868942526,-0.034008378404139394,-0.1456662001815836,-1,-1,-1,-0.02662250816042233,-0.12649077767826555,-1,0.11212814492326051,0.16306089755451536,-1,0.08952999970306053,-1
kyi,-1,-0.07763365251980181,-1,-1,-0.03995627024401971,-1,0.0502917152406942,-0.009934469240762134,-0.02246096732377456,-0.09796691447390438,-1,-1,-1,0.008881203023855977,-0.07243847779721246,-1,0.10293429776892227,0.15324992071816934,-1,0.1695809920844582,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,0.3904510625397928,-1,-1,0.5125899893767752,-1,0.00892385140636276,0.3201147936492865,0.38090459429993817,0.30574793346297513,-1,-1,-1,0.38374097162004395,0.39667485384618617,-1,-0.07348976693891895,-0.0712431341646318,-1,0.3726695647410272,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,0.44846985003800965,-1,-1,0.4542491517791277,-1,0.1561661333321288,0.3697435711180279,0.2915600306630829,0.3469240579680706,-1,-1,-1,0.26550175512920215,0.3265302628868587,-1,-0.40438338750269187,-0.3812120853493115,-1,0.188145723486839,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,0.26029621780936396,-1,-1,0.2280106962609756,-1,-0.07579364516715059,0.29407389686871643,0.18929499034811836,0.11533013055443819,-1,-1,-1,0.2543322372177569,0.16150829377672626,-1,0.15907017027561177,0.1610981505325354,-1,0.31452576698030477,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,0.5080223917286808,-1,-1,0.46096605230492904,-1,0.16366746616959804,0.7325913111826597,0.2495932361166806,0.3441173387265237,-1,-1,-1,0.16820744416966438,0.32253310026105275,-1,0.01878876364738502,0.03114200029513392,-1,0.3609844321042843,-1
process,-1,0.5163930943761592,-1,-1,0.4688008302334954,-1,0.28876639100106427,0.5247553543728244,0.3025711004991054,0.34532796142672173,-1,-1,-1,0.3050288718462997,0.434262366755203,-1,-0.19439955305104673,-0.18682043990614572,-1,0.356893374146086,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
